"R0000100","R0000600","R0175800","R0175900","R0176700","R0176800","R0177600","R0177700","R0178500","R0178600","R0179400","R0179500","R0180300","R0180400","R0181200","R0181300","R0182100","R0182200","R0183000","R0183100","R0183900","R0184000","R0184800","R0184900","R0185700","R0185800","R0186600","R0186700","R0187500","R0187600","R2303100","R2303200","R2303500","R2303600","R2505300","R2505400","R2505700","R2505800"
4025,16,5,48,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,60,-2,50,-4,-4,-4,-4
4026,16,5,51,4,54,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,23,-4,26,-4,-4,-4,-4,-4
4027,19,5,-2,4,-2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,66,-4,66,-4
4028,15,5,42,4,41,6,12,16,15,9,65,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,37,-4,36,-4,-4,-4,-4,-4
4029,15,13,42,12,41,16,12,16,15,36,65,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,45,-2,-2,-4,-4,-4,-4
4030,19,4,46,5,41,6,14,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,32,-4,37,-4,-4,-4,-4,-4
4031,14,4,46,5,41,7,19,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,34,-4,38,-4,-4,-4,-4,-4
4032,17,9,76,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,54,-2,48,-4,-4,-4,-4
4033,20,5,43,4,43,7,18,7,17,6,14,7,13,7,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,51,-2,50,-4,-4,-4,-4
4034,18,5,43,4,43,7,20,7,17,6,14,7,13,7,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,36,-4,35,-4,-4,-4,-4,-4
4035,17,5,43,4,43,7,20,7,18,6,14,7,13,7,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,36,-4,35,-4,-4,-4,-4,-4
4036,14,5,43,4,43,7,20,7,18,7,17,7,13,7,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,36,-4,36,-4,-4,-4,-4,-4
4037,15,5,35,4,32,7,9,6,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,66,-4,47,-4,-4,-4,-4,-4
4038,15,5,34,4,35,7,13,7,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,43,-4,44,-4,-4,-4,-4,-4
4039,20,5,46,4,47,7,17,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,31,-4,32,-4,-4,-4,-4,-4
4040,17,5,46,4,47,7,20,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-2,-4,-2,-4
4041,22,1,27,2,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,20,-4,34,-4,-4,-4,-4,-4
4042,18,4,50,5,45,6,15,7,14,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,65,-2,60,-4,-4,-4,-4
4043,15,4,50,5,45,6,18,6,14,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,29,-4,35,-4,-4,-4,-4,-4
4044,14,4,50,5,45,6,18,6,15,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,58,-2,-2,-4,-4,-4,-4
4045,17,5,51,7,14,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,63,-2,60,-4,-4,-4,-4
4046,19,5,54,6,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,13,-4,24,-4,-4,-4,-4,-4
4047,16,5,54,6,19,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,64,25,-4,-4,-4,-4,-4
4048,19,1,18,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,-2,-2,66,-4,-4,-4,-4
4049,18,1,19,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,23,-4,36,-4,-4,-4,-4,-4
4050,17,4,43,5,34,7,15,6,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,-4,45,-4,-4,-4,-4,-4
4051,15,4,43,5,34,1,17,6,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,52,-2,41,-4,-4,-4,-4
4052,15,4,37,5,36,7,13,6,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,41,-4,-2,45,-4,-4,-4,-4
4053,19,4,50,5,50,6,26,7,18,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,28,-4,28,-4,-4,-4,-4,-4
4054,18,4,50,5,50,6,26,7,19,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,-2,-2,-2,-4,-4,-4,-4
4055,14,4,45,5,38,7,15,6,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,33,-4,41,-4,-4,-4,-4,-4
4056,18,4,43,5,43,7,14,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,36,-4,35,-4,-4,-4,-4,-4
4057,14,4,43,5,43,6,18,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,36,-4,35,-4,-4,-4,-4,-4
4058,15,4,42,6,8,7,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,36,-4,40,-4,-4,-4,-4,-4
4059,16,4,63,5,60,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,15,-4,18,-4,-4,-4,-4,-4
4060,21,1,23,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,55,36,-4,-4,-4,-4,-4
4061,17,4,43,5,47,6,15,6,12,9,68,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,31,-4,-2,50,-4,-4,-4,-4
4062,15,5,43,4,47,6,17,6,12,7,68,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,-4,39,-4,-4,-4,-4,-4
4063,18,4,47,5,40,6,14,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,52,41,-4,-4,-4,-4,-4
4064,14,4,47,5,40,6,18,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,58,-2,50,-4,-4,-4,-4
4065,15,5,43,4,45,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,33,-4,35,-4,-4,-4,-4,-4
4066,21,1,23,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,62,-2,58,-4,-4,-4,-4
4067,17,4,50,5,42,6,16,7,11,7,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,-2,-2,-2,-4,-4,-4,-4
4068,16,4,50,5,42,6,17,7,11,7,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,28,-4,36,-4,-4,-4,-4,-4
4069,15,5,38,6,9,7,8,6,6,7,3,6,2,18,6,18,4,18,3,17,2,6,17,17,7,17,4,18,1,-2,-2,-2,42,-4,-4,-4,-4
4070,17,5,38,6,15,6,9,7,8,6,6,7,3,6,2,18,6,18,4,18,3,17,2,17,7,17,4,18,0,-2,-2,-2,40,-4,-4,-4,-4
4071,15,5,49,7,17,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,29,-4,29,-4,-4,-4,-4,-4
4072,17,5,49,7,15,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,29,-4,28,-4,-4,-4,-4,-4
4073,17,4,58,5,55,6,22,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5
4074,15,4,51,5,41,7,12,6,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,28,-4,37,-4,-4,-4,-4,-4
4075,18,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,-2,-2,-2,-4,-4,-4,-4
4076,18,5,46,7,17,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,54,-2,52,-4,-4,-4,-4
4077,17,5,46,6,18,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,56,-2,53,-4,-4,-4,-4
4078,14,4,41,5,37,6,18,7,7,7,17,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,-4,44,-4,-4,-4,-4,-4
4079,17,4,41,5,37,6,18,7,14,7,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,37,-4,-2,-2,-4,-4,-4,-4
4080,17,1,14,16,29,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,44,43,-4,-4,-4,-4,-4
4081,14,7,17,16,29,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,37,-4,-2,-2,-4,-4,-4,-4
4082,18,9,60,5,42,7,8,6,7,49,31,16,7,16,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,31,-4,36,-4,-4,-4,-4,-4
4083,14,4,52,5,51,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,63,-2,-2,-4,-4,-4,-4
4084,21,1,23,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,-2,-2,-2,-4,-4,-4,-4
4085,15,4,41,5,37,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,50,-2,48,-4,-4,-4,-4
4086,21,4,48,5,46,6,13,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,-2,-2,-2,-4,-4,-4,-4
4087,17,4,43,5,43,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,-4,35,-4,-4,-4,-4,-4
4088,21,4,49,5,49,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,57,-2,56,-4,-4,-4,-4
4089,19,1,31,2,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,-4,39,-4,-4,-4,-4,-4
4090,15,4,47,5,45,7,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,57,-2,50,-4,-4,-4,-4
4091,19,4,50,5,44,7,17,7,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,58,-2,54,-4,-4,-4,-4
4092,17,4,50,5,44,6,19,7,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,57,-2,53,-4,-4,-4,-4
4093,16,4,50,5,44,6,19,7,17,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,28,-4,34,-4,-4,-4,-4,-4
4094,16,5,42,6,45,7,15,6,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,34,-4,33,-4,-4,-4,-4,-4
4095,15,4,42,5,45,7,16,6,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,52,-2,54,-4,-4,-4,-4
4096,20,4,45,5,45,7,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5
4097,17,4,36,5,35,6,15,7,14,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,42,-4,43,-4,-4,-4,-4,-4
4098,15,4,36,5,35,7,17,7,14,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,42,-4,43,-4,-4,-4,-4,-4
4099,14,4,36,5,35,7,17,6,14,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,43,-4,44,-4,-4,-4,-4,-4
4100,18,4,39,5,35,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5
4101,18,24,38,25,35,1,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,30,-4,36,-4
4102,16,4,46,5,45,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,34,-4,35,-4,-4,-4,-4,-4
4103,20,4,55,5,50,6,18,26,21,7,20,18,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,23,-4,27,-4,-4,-4,-4,-4
4104,18,4,55,5,47,7,20,26,22,7,20,18,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,63,-2,57,-4,-4,-4,-4
4105,20,4,55,5,50,7,20,6,18,1,21,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,27,-4,32,-4,-5,-5,-5,-5
4106,15,4,38,7,17,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,41,-4,42,-4,-4,-4,-4,-4
4107,17,4,38,6,15,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,41,-4,41,-4,-4,-4,-4,-4
4108,17,4,39,5,38,7,15,6,13,6,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,39,-4,41,-4,-4,-4,-4,-4
4109,15,4,39,5,38,7,17,6,13,6,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,47,-2,44,-4,-4,-4,-4
4110,17,4,40,5,38,6,15,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,38,-4,40,-4,-4,-4,-4,-4
4111,15,4,40,5,38,7,17,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,38,-4,42,-4
4112,19,4,45,38,35,6,17,6,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,34,-4,41,-4
4113,17,4,45,38,35,7,19,6,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,-2,66,-4,-4,-4,-4,-4
4114,15,4,44,5,46,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,-4,32,-4,-4,-4,-4,-4
4115,14,5,52,7,28,4,79,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,22,-4,27,-4
4116,16,37,41,5,42,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,60,37,-4,-4,-4,-4,-4
4117,17,5,50,6,16,18,2,18,0,6,23,27,21,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,-2,-2,-2,-4,-4,-4,-4
4118,16,5,50,6,17,18,2,18,0,6,23,27,21,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,-2,24,-4,-5,-5,-5,-5
4119,22,1,18,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,58,-2,55,-4,-4,-4,-4
4120,18,1,22,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,-4,38,-4,-4,-4,-4,-4
4121,21,1,38,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,34,-4,31,-4,-4,-4,-4,-4
4122,21,1,21,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,20,-4,-2,56,-4,-4,-4,-4
4123,14,4,-2,5,29,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,38,-4,49,-4,-4,-4,-4,-4
4124,18,4,41,5,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,49,-2,48,-4,-4,-4,-4
4125,16,4,36,5,36,6,13,6,7,13,20,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,42,-4,42,-4,-4,-4,-4,-4
4126,20,26,36,7,36,18,16,17,13,17,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5
4127,17,5,43,6,22,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,-4,38,-4,-4,-4,-4,-4
4128,20,5,42,6,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,55,-2,54,-4,-4,-4,-4
4129,16,4,37,5,34,6,14,6,13,7,11,7,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,42,-4,44,-4,-4,-4,-4,-4
4130,14,4,37,5,34,6,16,6,13,7,11,7,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,41,-4,44,-4,-4,-4,-4,-4
4131,15,5,31,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,-2,48,-4,-4,-4,-4,-4
4132,17,37,49,5,41,7,16,7,10,7,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,27,-4,37,-4,-4,-4,-4,-4
4133,16,37,49,5,41,7,17,7,10,7,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,27,-4,38,-4,-4,-4,-4,-4
4134,16,4,52,5,53,6,15,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,28,-4,27,-4,-4,-4,-4,-4
4135,15,4,52,5,53,6,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,54,32,-4,-4,-4,-4,-4
4136,20,12,37,9,62,5,42,3,3,7,14,6,14,7,13,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,36,-4,35,-4,-4,-4,-4,-4
4137,17,4,57,5,56,6,26,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5
4138,15,37,24,5,33,7,7,7,3,6,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,66,-4,43,-4,-4,-4,-4,-4
4139,20,5,41,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5
4140,19,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,66,-4,37,-4,-4,-4,-4,-4
4141,16,4,39,5,37,6,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,39,-4,41,-4,-4,-4,-4,-4
4142,17,4,43,5,40,6,14,7,11,7,6,6,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,34,-4,38,-4,-4,-4,-4,-4
4143,16,4,39,5,35,6,14,6,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,43,-4,47,-4,-4,-4,-4,-4
4144,14,4,51,5,49,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5
4145,16,4,63,5,53,6,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,16,-4,25,-4
4146,18,4,54,5,53,7,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5
4147,16,4,54,5,53,6,18,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,62,-2,61,-4,-4,-4,-4
4148,16,4,38,5,37,6,13,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,39,-4,41,-4,-4,-4,-4,-4
4149,19,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,-2,-2,-2,-4,-4,-4,-4
4150,16,4,38,5,37,6,12,6,6,7,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,-4,41,-4,-4,-4,-4,-4
4151,21,1,23,3,1,4,66,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,12,-4,14,-4,-4,-4,-4,-4
4152,21,1,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,32,-4,36,-4,-4,-4,-4,-4
4153,15,5,37,7,14,6,12,6,9,18,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,-2,-2,46,-4,-4,-4,-4
4154,14,5,37,7,15,6,12,6,9,18,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,-2,-2,48,-4,-4,-4,-4
4155,14,4,38,38,37,40,13,7,11,40,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,-4,44,-4,-4,-4,-4,-4
4156,16,37,41,5,31,6,13,6,12,7,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-2,-4,46,-4
