C0000100,C0000200,C0005700,m_age_ya,m_HGC
106501,1065,1984,26,12
106502,1065,1988,29,12
106503,1065,1991,32,12
106901,1069,1982,24,10
106902,1069,1985,27,10
107001,1070,1975,16,12
107002,1070,1981,22,12
107003,1070,1982,23,12
107101,1071,1979,17,12
107102,1071,1984,21,12
107103,1071,1985,23,12
107401,1074,1992,30,13
107601,1076,1982,17,14
107701,1077,1976,16,11
107702,1077,1977,17,11
107703,1077,1990,29,11
107901,1079,1980,19,14
108001,1080,1987,23,12
108002,1080,1990,26,12
108003,1080,1993,29,12
108201,1082,1991,28,16
108202,1082,1994,31,16
108301,1083,1984,24,14
108302,1083,1987,27,14
108601,1086,2001,39,18
108701,1087,1997,34,20
108702,1087,2000,37,20
108703,1087,2003,39,20
108704,1087,2007,44,20
108705,1087,2009,46,20
108801,1088,1987,27,18
108802,1088,1989,29,18
108803,1088,1991,30,18
108804,1088,1993,33,18
108805,1088,1998,37,18
108806,1088,2003,43,18
109001,1090,1980,16,10
109002,1090,1982,18,10
109003,1090,1990,25,10
109301,1093,1993,32,16
109302,1093,1994,33,16
109303,1093,1997,36,16
110101,1101,1985,28,19
110102,1101,1988,31,19
110301,1103,1993,35,16
110401,1104,1991,32,15
110801,1108,1987,29,11
110802,1108,1991,33,11
111001,1110,1995,32,12
111101,1111,1976,19,12
111102,1111,1985,28,12
111201,1112,1984,20,12
111202,1112,1986,21,12
111601,1116,1988,26,15
111602,1116,1998,36,15
111701,1117,1990,27,13
111702,1117,1993,30,13
111703,1117,2000,38,13
111801,1118,1985,22,12
112101,1121,1982,20,8
112102,1121,1990,29,8
112301,1123,1977,19,15
112302,1123,1978,20,15
112303,1123,1982,24,15
112304,1123,1986,28,15
112305,1123,1990,32,15
112601,1126,1982,23,13
112602,1126,1983,24,13
112603,1126,1986,27,13
112801,1128,1981,22,12
113001,1130,1989,30,13
113002,1130,1992,33,13
113101,1131,1987,28,12
113201,1132,1985,22,12
113202,1132,1988,26,12
113301,1133,1985,24,12
113302,1133,1987,26,12
113303,1133,1994,34,12
113501,1135,1990,26,18
113502,1135,1998,34,18
113601,1136,1994,32,19
113602,1136,1997,34,19
114101,1141,1984,25,13
114102,1141,1985,26,13
114701,1147,1994,33,12
114702,1147,1997,35,12
115201,1152,1981,20,12
115202,1152,1986,25,12
115203,1152,1991,29,12
115501,1155,1981,19,16
115701,1157,1979,19,16
115702,1157,1995,35,16
115801,1158,1985,25,14
115802,1158,1987,27,14
115901,1159,1989,27,16
115902,1159,2006,44,16
116001,1160,1984,20,15
116002,1160,1988,24,15
116003,1160,1993,29,15
116004,1160,1995,31,15
116005,1160,1998,35,15
116006,1160,2001,37,15
116101,1161,1975,18,12
116102,1161,1978,21,12
116201,1162,1987,23,13
116301,1163,1980,21,14
116302,1163,1986,27,14
116401,1164,1981,20,8
116402,1164,1989,28,8
116501,1165,1979,20,14
116502,1165,1981,23,14
116503,1165,1982,24,14
116601,1166,1984,22,14
116602,1166,1989,28,14
116701,1167,1988,25,19
116702,1167,1990,27,19
116801,1168,1981,20,12
117001,1170,1985,24,12
117002,1170,1987,25,12
117003,1170,1990,29,12
117004,1170,1992,31,12
117201,1172,1983,23,13
117202,1172,1984,24,13
117203,1172,1987,27,13
117701,1177,1988,27,16
117702,1177,1992,31,16
117901,1179,1985,22,12
117902,1179,1988,25,12
118101,1181,1983,26,14
118102,1181,1988,31,14
118103,1181,1995,38,14
118401,1184,1985,28,16
118402,1184,1987,30,16
118403,1184,1999,41,16
118701,1187,1987,27,19
118702,1187,1991,30,19
118703,1187,1993,32,19
118901,1189,1975,16,18
118902,1189,1977,18,18
119101,1191,1983,22,18
119501,1195,1996,34,16
119502,1195,1999,37,16
119901,1199,1977,19,13
119902,1199,1988,30,13
120001,1200,1988,28,20
120002,1200,1991,31,20
120201,1202,1982,22,16
120202,1202,1985,26,16
120301,1203,1987,26,12
120302,1203,1989,29,12
120701,1207,1979,19,13
120702,1207,1984,25,13
120901,1209,1976,18,16
120902,1209,1984,26,16
120903,1209,1987,29,16
121001,1210,1975,13,10
121002,1210,1977,15,10
121003,1210,1986,24,10
121004,1210,1988,27,10
121005,1210,1989,28,10
121006,1210,1989,28,10
121201,1212,1974,16,95
121202,1212,1993,35,95
121301,1213,1981,20,11
121302,1213,1983,22,11
121401,1214,1982,17,12
121402,1214,1985,20,12
121403,1214,1994,29,12
121404,1214,1996,31,12
121601,1216,1977,16,13
121602,1216,1980,19,13
121603,1216,1981,21,13
121604,1216,1988,27,13
122001,1220,1984,20,12
122002,1220,1988,24,12
122003,1220,1996,32,12
122101,1221,1975,15,12
122102,1221,1981,21,12
122103,1221,1989,29,12
122301,1223,1991,27,13
122302,1223,1993,29,13
122401,1224,1976,17,13
122402,1224,1980,21,13
122403,1224,1987,28,13
122501,1225,1973,16,12
122502,1225,1982,24,12
122601,1226,1973,15,13
122602,1226,1982,24,13
122701,1227,1975,16,11
122702,1227,1977,18,11
122703,1227,1982,24,11
122704,1227,1986,28,11
122801,1228,1982,20,12
122802,1228,1983,22,12
122803,1228,1993,32,12
123001,1230,1979,21,14
123002,1230,1983,25,14
123101,1231,1997,33,19
123102,1231,1999,35,19
