code,birthyear,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,44,45,48,49
8901,1986,,,,,,17787.0076,,,,,,25759.98345,,,,27293.46205,,,,,,,,,,,,
9101,1994,,9360.329243,,22999.98522,,26687.64736,,17058.41378,,,,,,,,,,,,,,,,,,,,
9102,1996,,,,8895.882452,,25587.62067,,,,,,,,,,,,,,,,,,,,,,
9201,1982,,,,,,,,,,28459.21216,,31990.1225,,,,,,,,42646.03445,,,,,,,,
9202,1992,,3489.831546,,655.223047,,14719.99054,,17791.7649,,13646.73102,,,,,,,,,,,,,,,,,,
9501,1985,2370.705323,,2791.40815,,21033.37113,,45738.01955,,27143.13425,,,,,,,,,,,,,,,,,,,
9502,1987,558.2816301,,12620.02268,,23377.20999,,30051.3272,,35101.23466,,38639.97518,,,,55439.84478,,,,,,,,,,,,,
9503,1988,,2629.171391,,7623.003258,,24234.94129,,37441.31697,,58879.96218,,26687.64736,,,,,,,,,,,,,,,,
9601,1980,,10472.42383,,17240.83396,,4741.410645,,42429.40388,,47325.08503,,55902.02389,,,,62246.18947,,,,62271.17716,,,,,,,,
9602,1986,,2791.40815,,13671.69123,,25410.01086,,48469.88258,,32761.15235,,36799.97636,,,,34116.82756,,,,,,,,,,,,
9603,1998,,2223.970613,,14499.65171,,,,,,,,,,,,,,,,,,,,,,,,
9701,1987,7815.942821,,18404.19974,,32524.8139,,31020.72485,,15725.35313,,9199.99409,,,,5117.524134,,,,,,,,,,,,,
9702,1989,7361.679894,,33541.21434,,50408.67789,,936.0329243,,18399.98818,,,,,,,,,,,,,,,,,,,
9801,1987,1137.777962,,5468.676493,,7623.003258,,12602.16947,,20592.72433,,49679.96809,,,,50322.32065,,,,,,,,,,,,,
9802,1990,,4065.601738,,4846.988258,,56161.97546,,50599.96749,,51596.11822,,72498.25856,,,,,,,,,,,,,,,,
9803,1994,,2995.305358,,13799.99113,,59602.41243,,68233.65512,,,,,,,,,,,,,,,,,,,,
9901,1987,3349.68978,,26291.71391,,26426.4113,,17449.15773,,12168.42802,,8279.994681,,,,27293.46205,,,,,,,,,,,,,
9902,1993,9693.976517,,28080.98773,,18399.98818,,26687.64736,,34116.82756,,,,,,,,,,,,,,,,,,,
10001,1985,,,24564.39172,,,,,,,,,,,,,,,,,,,,,,,,,
10002,1991,17787.0076,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003,1993,16964.4589,,18720.65849,,6899.995567,,13343.82368,,10235.04827,,,,,,,,,,,,,,,,,,,
10201,1992,,3392.891781,,14976.52679,,18399.98818,,,,,,,,,,,,,,,,,,,,,,
11101,1982,,23398.27466,,24892.40589,,31263.77128,,33653.3938,,33541.21434,,19387.95303,,,,29439.98109,,,,37528.51031,,,,,,,,
11102,1983,3694.46442,,1185.352661,,,,,,,,3877.590607,,,,18399.98818,,,,,,,,,,,,,
11103,1987,,,34705.06236,,,,,,,,,,,,25587.62067,,,,,,,,,,,,,
11201,1982,,18472.3221,,43858.04847,,29030.64476,,15775.02834,,29475.6126,,25204.33894,,,,34959.97754,,,,32410.98618,,,,,,,,
11202,1997,,,2223.970613,,17058.41378,,,,,,,,,,,,,,,,,,,,,,,
11802,1991,,,,,,,,,2223.970613,,25587.62067,,,,,,,,,,,,,,,,,
12101,1992,,38775.90607,,18720.65849,,36799.97636,,33359.5592,,1705.841378,,,,,,,,,,,,,,,,,,
12401,1988,,8413.34845,,13213.20565,,46531.08728,,42121.48159,,140840.8695,,144403.3015,,,,,,,,,,,,,,,,
12402,1990,,4065.601738,,9693.976517,,28080.98773,,50599.96749,,88958.82452,,85292.06889,,,,,,,,,,,,,,,,
12801,1982,,9236.16105,,41487.34315,,33496.8978,,39963.40514,,10164.00434,,16479.76008,,,,,,,,,,,,,,,,
12802,1986,,2791.40815,,1051.668556,,17787.0076,,16964.4589,,9360.329243,,,,,,5288.108271,,,,,,,,,,,,
13301,1992,,,,11232.39509,,34959.97754,,22417.62378,,25587.62067,,,,,,,,,,,,,,,,,,
13701,1988,,4206.674225,,2541.001086,,58163.8591,,65522.3047,,140840.8695,,44479.41226,,,,,,,,,,,,,,,,
13702,1991,3049.201303,,1938.795303,,,,68999.95567,,86290.05979,,110879.6896,,,,,,,,,,,,,,,,,
13801,1989,2103.337113,,4065.601738,,43622.89432,,84242.96319,,140840.8695,,144403.3015,,,,,,,,,,,,,,,,,
