,C0000100,C0000200,Y1211300,HGC_ya
289,32101,321,8,5
290,32102,321,8,5
291,32103,321,-7,
292,32201,322,8,5
293,32202,322,8,5
294,32203,322,10,7
295,33301,333,8,5
296,33302,333,8,5
297,33501,335,6,4
298,33801,338,3,3
299,33802,338,-7,
300,33901,339,1,1
301,34001,340,3,3
302,34002,340,3,3
303,34003,340,3,3
304,34301,343,8,5
305,34401,344,2,2
306,34402,344,10,7
307,34501,345,-7,
308,34701,347,10,7
309,34702,347,8,5
310,35401,354,6,4
311,35402,354,8,5
312,36501,365,-7,
313,36502,365,-7,
314,36503,365,-7,
315,36504,365,-7,
316,36505,365,-7,
317,36901,369,10,7
318,36902,369,8,5
319,37101,371,3,3
320,37102,371,-7,
321,37103,371,8,5
322,37301,373,7,5
323,37302,373,3,3
324,37401,374,7,5
325,37402,374,7,5
326,37403,374,3,3
327,37901,379,2,2
328,37902,379,2,2
329,37903,379,2,2
330,38201,382,5,3
331,38202,382,6,4
332,38501,385,3,3
333,38502,385,3,3
334,38503,385,3,3
335,38801,388,7,5
336,38802,388,6,4
337,38803,388,3,3
338,38901,389,6,4
339,38902,389,-7,
340,39001,390,8,5
341,39002,390,8,5
342,39003,390,3,3
343,39004,390,2,2
344,39101,391,2,2
345,39102,391,7,5
346,39103,391,6,4
347,39501,395,6,4
348,39502,395,7,5
349,39701,397,6,4
350,39702,397,6,4
351,39703,397,2,2
352,39704,397,2,2
353,39901,399,5,3
354,40001,400,8,5
355,40101,401,6,4
356,40102,401,7,5
357,40201,402,2,2
358,40202,402,7,5
359,40203,402,3,3
360,40501,405,6,4
361,40502,405,6,4
362,40503,405,2,2
363,40701,407,8,5
364,40702,407,8,5
365,41401,414,14,7
366,41402,414,8,5
367,41601,416,8,5
368,41602,416,8,5
369,41603,416,10,7
370,41604,416,8,5
371,41801,418,3,3
372,42301,423,8,5
373,42302,423,8,5
374,42501,425,6,4
375,42502,425,6,4
376,42503,425,7,5
377,42504,425,6,4
378,42505,425,6,4
379,42701,427,3,3
380,42801,428,8,5
381,42802,428,6,4
382,43101,431,2,2
383,43102,431,6,4
384,43103,431,7,5
385,43701,437,6,4
386,43702,437,7,5
387,43703,437,6,4
388,43801,438,7,5
389,43901,439,8,5
390,43902,439,6,4
391,44201,442,6,4
392,44202,442,7,5
393,44203,442,7,5
394,44401,444,10,7
395,44402,444,8,5
396,44601,446,2,2
397,44602,446,3,3
398,44901,449,8,5
399,44902,449,3,3
400,45201,452,8,5
401,45202,452,8,5
402,45501,455,10,7
403,45502,455,14,7
404,45801,458,8,5
405,45901,459,10,7
406,45902,459,8,5
407,45903,459,8,5
408,46201,462,8,5
409,46501,465,2,2
410,46701,467,8,5
411,46702,467,6,4
412,47101,471,6,4
413,47102,471,4,2
414,47201,472,8,5
415,47401,474,2,2
416,47402,474,2,2
417,47403,474,2,2
418,47501,475,3,3
419,47601,476,6,4
420,47602,476,6,4
421,47801,478,3,3
422,47802,478,5,3
423,48501,485,-7,
424,48502,485,6,4
425,48503,485,6,4
426,49101,491,-7,
427,49102,491,-7,
428,49201,492,12,9
429,49202,492,8,5
430,49203,492,8,5
431,49401,494,-7,
432,49402,494,8,5
433,49501,495,6,4
434,49502,495,10,7
435,49901,499,8,5
436,50101,501,6,4
437,50102,501,6,4
438,50301,503,3,3
439,50302,503,7,5
440,50303,503,3,3
441,50401,504,-7,
442,50402,504,6,4
443,50403,504,3,3
444,50601,506,6,4
445,50701,507,2,2
446,50702,507,6,4
447,51401,514,6,4
448,51402,514,6,4
449,51403,514,3,3
450,51501,515,-7,
451,51502,515,-7,
452,51901,519,6,4
453,52201,522,3,3
454,52202,522,6,4
455,52501,525,6,4
456,52502,525,-7,
457,52801,528,6,4
458,52802,528,7,5
459,52901,529,6,4
460,52902,529,3,3
461,52903,529,3,3
462,53001,530,-7,
463,53002,530,2,2
464,53003,530,7,5
465,53201,532,-7,
466,53202,532,-7,
467,53301,533,6,4
468,53601,536,8,5
469,53602,536,5,3
470,54201,542,3,3
471,54202,542,9,6
472,54401,544,3,3
473,54601,546,8,5
474,54602,546,7,5
475,54801,548,8,5
476,54802,548,8,5
477,54803,548,3,3
478,54804,548,3,3
479,55001,550,10,7
480,55002,550,7,5
481,55201,552,8,5
482,55202,552,8,5
483,55701,557,8,5
484,55702,557,8,5
485,55703,557,8,5
486,55704,557,6,4
487,55801,558,8,5
488,55802,558,8,5
489,55803,558,8,5
490,56301,563,8,5
491,56302,563,8,5
492,56303,563,8,5
493,56701,567,5,3
494,56702,567,7,5
495,56801,568,7,5
496,57201,572,-7,
497,57401,574,-7,
498,57601,576,8,5
499,57602,576,8,5
500,57603,576,8,5
501,57604,576,3,3
502,57901,579,7,5
503,57902,579,8,5
504,58201,582,8,5
505,58501,585,3,3
506,58502,585,2,2
507,58503,585,6,4
508,58504,585,1,1
509,58505,585,3,3
510,58801,588,8,5
511,58802,588,4,2
512,58803,588,2,2
513,58804,588,3,3
514,58901,589,5,3
515,58902,589,-7,
516,59001,590,3,3
517,59002,590,5,3
518,59003,590,1,1
519,59004,590,3,3
520,59301,593,-7,
521,59302,593,-7,
522,60401,604,6,4
523,60402,604,6,4
524,60403,604,8,5
525,60404,604,6,4
526,60801,608,6,4
527,60802,608,6,4
528,60803,608,10,7
529,61101,611,5,3
530,61102,611,8,5
531,61401,614,14,7
532,61402,614,8,5
533,61501,615,3,3
534,61502,615,8,5
535,61801,618,-7,
536,61802,618,6,4
537,61803,618,3,3
538,61901,619,7,5
539,61902,619,8,5
540,61903,619,10,7
541,61904,619,6,4
542,61905,619,2,2
543,61906,619,7,5
544,62101,621,2,2
545,62102,621,2,2
546,62103,621,3,3
547,62201,622,7,5
548,62202,622,7,5
549,62203,622,1,1
550,62301,623,7,5
551,62302,623,6,4
552,62701,627,3,3
553,62702,627,2,2
554,62703,627,2,2
555,62704,627,-7,
556,63201,632,6,4
557,63202,632,7,5
558,63203,632,1,1
559,63401,634,-7,
560,63402,634,-7,
561,63403,634,-7,
562,63501,635,7,5
563,63502,635,8,5
564,64001,640,10,7
565,64002,640,6,4
566,64201,642,3,3
567,64202,642,3,3
568,64301,643,-7,
569,64801,648,6,4
570,65001,650,2,2
571,65002,650,-7,
572,65401,654,6,4
573,65601,656,8,5
574,65602,656,8,5
575,65701,657,8,5
576,65702,657,6,4
577,66001,660,-7,
578,66002,660,-7,
579,66003,660,-7,
580,66201,662,3,3
581,66202,662,3,3
582,66401,664,8,5
583,66402,664,7,5
584,66501,665,6,4
585,66502,665,3,3
586,66801,668,10,7
587,66802,668,-7,
588,66803,668,6,4
589,66804,668,6,4
590,66805,668,-7,
591,67701,677,6,4
592,67702,677,6,4
593,67703,677,6,4
594,67704,677,7,5
595,68801,688,6,4
596,68802,688,6,4
597,68901,689,6,4
598,68902,689,6,4
599,68903,689,3,3
600,69101,691,-7,
601,69102,691,-7,
602,69103,691,-7,
603,69201,692,5,3
604,69202,692,2,2
605,69401,694,-7,
606,69402,694,-7,
607,69403,694,-7,
608,69404,694,-7,
609,69601,696,7,5
610,69801,698,3,3
611,69802,698,8,5
612,70301,703,6,4
613,70302,703,7,5
614,70303,703,2,2
615,70401,704,8,5
616,70402,704,4,2
617,70601,706,2,2
618,70602,706,2,2
619,70603,706,7,5
620,70604,706,7,5
621,70605,706,6,4
622,70801,708,2,2
623,71201,712,6,4
624,71202,712,6,4
625,71301,713,2,2
626,71302,713,6,4
627,72001,720,7,5
628,72002,720,5,3
629,72101,721,3,3
630,72102,721,3,3
631,72401,724,12,9
632,72402,724,6,4
633,72601,726,3,3
634,72602,726,6,4
635,72603,726,-7,
636,73301,733,4,2
637,73302,733,7,5
638,73303,733,5,3
639,73304,733,6,4
640,73601,736,6,4
641,73602,736,3,3
642,73901,739,8,5
643,73902,739,3,3
644,73903,739,8,5
645,74001,740,6,4
646,74301,743,8,5
647,74302,743,9,6
648,74401,744,9,6
649,74402,744,6,4
650,74601,746,3,3
651,74602,746,3,3
652,75201,752,10,7
653,75202,752,12,9
654,75501,755,7,5
655,75502,755,6,4
656,75503,755,7,5
657,75601,756,8,5
658,75602,756,7,5
659,75603,756,3,3
660,75604,756,2,2
661,75605,756,6,4
662,75701,757,6,4
663,75702,757,8,5
664,75801,758,9,6
665,75901,759,7,5
666,75902,759,7,5
667,75903,759,3,3
668,75904,759,3,3
669,76101,761,6,4
670,76102,761,2,2
671,76103,761,2,2
672,76401,764,7,5
673,76402,764,6,4
674,76403,764,6,4
675,76404,764,8,5
676,76405,764,8,5
677,76801,768,2,2
678,76802,768,6,4
679,76803,768,6,4
680,76804,768,3,3
681,77001,770,8,5
682,77002,770,2,2
683,77501,775,7,5
684,77502,775,8,5
685,77503,775,8,5
686,77901,779,7,5
687,78301,783,2,2
688,78501,785,-7,
689,78701,787,-7,
690,78801,788,-7,
691,78901,789,7,5
692,79001,790,2,2
693,79201,792,7,5
694,79202,792,8,5
695,79203,792,7,5
696,79204,792,7,5
697,80101,801,10,7
698,80102,801,7,5
699,80103,801,6,4
700,80301,803,6,4
701,80302,803,2,2
702,80303,803,3,3
703,80304,803,3,3
704,80305,803,3,3
705,80306,803,3,3
706,80401,804,3,3
707,80402,804,3,3
708,80501,805,-7,
709,81001,810,14,7
710,81101,811,9,6
711,81201,812,8,5
712,81202,812,8,5
713,81203,812,10,7
714,81204,812,8,5
715,81401,814,6,4
716,81402,814,3,3
717,81601,816,3,3
718,81602,816,10,7
719,82001,820,10,7
720,82401,824,-7,
721,82801,828,7,5
722,82802,828,6,4
723,82901,829,5,3
724,82902,829,3,3
725,83001,830,3,3
726,83101,831,6,4
727,83102,831,8,5
728,83103,831,6,4
729,83104,831,-7,
730,83401,834,8,5
731,83402,834,7,5
732,83403,834,6,4
733,83501,835,-7,
734,83502,835,8,5
735,83601,836,6,4
736,83602,836,2,2
737,83603,836,6,4
738,83901,839,6,4
739,84001,840,-7,
740,84002,840,-7,
741,84101,841,6,4
742,84102,841,3,3
743,84201,842,7,5
744,84301,843,6,4
745,84501,845,3,3
746,84502,845,-7,
747,84503,845,3,3
748,84801,848,10,7
749,85201,852,6,4
750,85401,854,6,4
751,85402,854,2,2
752,85403,854,3,3
753,85404,854,3,3
754,85501,855,3,3
755,85502,855,6,4
756,85601,856,3,3
757,85602,856,3,3
758,85603,856,2,2
759,86201,862,9,6
760,86202,862,6,4
761,86601,866,5,3
762,86602,866,3,3
763,86603,866,3,3
764,86701,867,-7,
765,86901,869,-7,
766,86902,869,-7,
767,87501,875,6,4
768,87601,876,8,5
769,87602,876,8,5
770,87603,876,8,5
771,87604,876,6,4
772,87901,879,10,7
773,87902,879,3,3
774,88001,880,8,5
775,88002,880,10,7
776,88003,880,14,7
777,88601,886,8,5
778,88602,886,6,4
779,88701,887,11,8
780,88702,887,8,5
781,88901,889,6,4
782,88902,889,3,3
783,89301,893,8,5
784,89302,893,6,4
785,89303,893,7,5
786,89401,894,-7,
787,89402,894,-7,
788,89403,894,-7,
789,89501,895,-7,
790,89502,895,-7,
791,89601,896,6,4
792,89602,896,8,5
793,89801,898,8,5
794,89802,898,8,5
795,89803,898,8,5
796,90001,900,8,5
797,90002,900,3,3
798,90003,900,8,5
799,90004,900,3,3
800,90401,904,-7,
801,90601,906,8,5
802,90602,906,3,3
803,90603,906,6,4
