"C0000100","C0000200","Y1211300"
51403,514,3
51501,515,-7
51502,515,-7
51901,519,6
52201,522,3
52202,522,6
52501,525,6
52502,525,-7
52801,528,6
52802,528,7
52901,529,6
52902,529,3
52903,529,3
53001,530,-7
53002,530,2
53003,530,7
53201,532,-7
53202,532,-7
53301,533,6
53601,536,8
53602,536,5
54201,542,3
54202,542,9
54401,544,3
54601,546,8
54602,546,7
54801,548,8
54802,548,8
54803,548,3
54804,548,3
55001,550,10
55002,550,7
55201,552,8
55202,552,8
55701,557,8
55702,557,8
55703,557,8
55704,557,6
55801,558,8
55802,558,8
55803,558,8
56301,563,8
56302,563,8
56303,563,8
56701,567,5
56702,567,7
56801,568,7
57201,572,-7
57401,574,-7
57601,576,8
57602,576,8
57603,576,8
57604,576,3
57901,579,7
57902,579,8
58201,582,8
58501,585,3
58502,585,2
58503,585,6
58504,585,1
58505,585,3
58801,588,8
58802,588,4
58803,588,2
58804,588,3
58901,589,5
58902,589,-7
59001,590,3
59002,590,5
59003,590,1
59004,590,3
59301,593,-7
59302,593,-7
60401,604,6
60402,604,6
60403,604,8
60404,604,6
60801,608,6
60802,608,6
60803,608,10
61101,611,5
61102,611,8
61401,614,14
61402,614,8
61501,615,3
61502,615,8
61801,618,-7
61802,618,6
61803,618,3
61901,619,7
61902,619,8
61903,619,10
61904,619,6
61905,619,2
61906,619,7
62101,621,2
62102,621,2
62103,621,3
62201,622,7
62202,622,7
62203,622,1
62301,623,7
62302,623,6
62701,627,3
62702,627,2
62703,627,2
62704,627,-7
63201,632,6
63202,632,7
63203,632,1
63401,634,-7
63402,634,-7
63403,634,-7
63501,635,7
63502,635,8
64001,640,10
64002,640,6
64201,642,3
64202,642,3
64301,643,-7
64801,648,6
65001,650,2
65002,650,-7
65401,654,6
65601,656,8
65602,656,8
65701,657,8
65702,657,6
66001,660,-7
66002,660,-7
66003,660,-7
66201,662,3
66202,662,3
66401,664,8
66402,664,7
66501,665,6
66502,665,3
66801,668,10
66802,668,-7
66803,668,6
66804,668,6
66805,668,-7
67701,677,6
67702,677,6
67703,677,6
67704,677,7
68801,688,6
68802,688,6
68901,689,6
68902,689,6
68903,689,3
69101,691,-7
69102,691,-7
69103,691,-7
69201,692,5
69202,692,2
69401,694,-7
69402,694,-7
69403,694,-7
69404,694,-7
69601,696,7
69801,698,3
69802,698,8
70301,703,6
70302,703,7
70303,703,2
70401,704,8
70402,704,4
70601,706,2
70602,706,2
70603,706,7
70604,706,7
70605,706,6
70801,708,2
71201,712,6
71202,712,6
71301,713,2
71302,713,6
72001,720,7
72002,720,5
72101,721,3
72102,721,3
72401,724,12
72402,724,6
72601,726,3
72602,726,6
72603,726,-7
73301,733,4
73302,733,7
73303,733,5
73304,733,6
73601,736,6
73602,736,3
73901,739,8
73902,739,3
73903,739,8
74001,740,6
74301,743,8
74302,743,9
74401,744,9
74402,744,6
74601,746,3
74602,746,3
75201,752,10
75202,752,12
75501,755,7
75502,755,6
75503,755,7
75601,756,8
75602,756,7
75603,756,3
75604,756,2
75605,756,6
75701,757,6
75702,757,8
75801,758,9
75901,759,7
75902,759,7
75903,759,3
75904,759,3
76101,761,6
76102,761,2
76103,761,2
76401,764,7
76402,764,6
76403,764,6
76404,764,8
76405,764,8
76801,768,2
76802,768,6
76803,768,6
76804,768,3
77001,770,8
77002,770,2
77501,775,7
77502,775,8
77503,775,8
77901,779,7
78301,783,2
78501,785,-7
78701,787,-7
78801,788,-7
78901,789,7
79001,790,2
79201,792,7
79202,792,8
79203,792,7
79204,792,7
80101,801,10
80102,801,7
80103,801,6
80301,803,6
80302,803,2
80303,803,3
80304,803,3
80305,803,3
80306,803,3
80401,804,3
80402,804,3
80501,805,-7
81001,810,14
81101,811,9
81201,812,8
81202,812,8
81203,812,10
81204,812,8
81401,814,6
81402,814,3
81601,816,3
81602,816,10
82001,820,10
82401,824,-7
82801,828,7
82802,828,6
82901,829,5
82902,829,3
83001,830,3
83101,831,6
83102,831,8
83103,831,6
83104,831,-7
83401,834,8
83402,834,7
83403,834,6
83501,835,-7
83502,835,8
83601,836,6
83602,836,2
83603,836,6
83901,839,6
84001,840,-7
84002,840,-7
84101,841,6
84102,841,3
84201,842,7
84301,843,6
84501,845,3
84502,845,-7
84503,845,3
84801,848,10
85201,852,6
85401,854,6
85402,854,2
85403,854,3
85404,854,3
85501,855,3
85502,855,6
85601,856,3
85602,856,3
85603,856,2
86201,862,9
86202,862,6
86601,866,5
86602,866,3
86603,866,3
86701,867,-7
86901,869,-7
86902,869,-7
87501,875,6
87601,876,8
87602,876,8
87603,876,8
87604,876,6
87901,879,10
87902,879,3
88001,880,8
88002,880,10
88003,880,14
88601,886,8
88602,886,6
88701,887,11
88702,887,8
88901,889,6
88902,889,3
89301,893,8
89302,893,6
89303,893,7
89401,894,-7
89402,894,-7
89403,894,-7
89501,895,-7
89502,895,-7
89601,896,6
89602,896,8
89801,898,8
89802,898,8
89803,898,8
90001,900,8
90002,900,3
90003,900,8
90004,900,3
90401,904,-7
90601,906,8
90602,906,3
90603,906,6
91201,912,8
91202,912,8
91401,914,8
91402,914,8
91801,918,7
92301,923,6
92302,923,6
92303,923,6
92801,928,8
92802,928,8
93001,930,-7
93002,930,-7
93003,930,2
93004,930,2
93201,932,6
93202,932,6
93203,932,7
93501,935,8
93502,935,8
93503,935,5
93601,936,6
93602,936,7
93603,936,10
93901,939,3
93902,939,3
93903,939,2
93904,939,2
94001,940,8
94002,940,8
94201,942,6
94202,942,7
94901,949,7
94902,949,6
95001,950,3
95201,952,6
95301,953,2
95302,953,2
95401,954,6
95402,954,6
96201,962,8
96202,962,-7
96203,962,2
96401,964,-7
96601,966,6
96602,966,-7
96701,967,6
96702,967,6
97101,971,8
97102,971,6
97401,974,8
97402,974,8
97501,975,3
97502,975,2
97801,978,8
97802,978,10
97901,979,3
97902,979,6
98101,981,6
98102,981,8
98601,986,8
98801,988,-7
99201,992,10
99202,992,10
99203,992,10
99501,995,8
99502,995,2
99801,998,2
99802,998,6
99803,998,6
99804,998,-7
99805,998,-7
99901,999,8
99902,999,8
100501,1005,6
100502,1005,6
100503,1005,2
100504,1005,2
100505,1005,6
100801,1008,-7
100901,1009,8
101501,1015,8
101502,1015,8
101503,1015,10
101504,1015,7
101601,1016,-7
101701,1017,8
101702,1017,6
101801,1018,-7
101802,1018,-7
101901,1019,6
101902,1019,2
101903,1019,2
102401,1024,10
102501,1025,-7
102502,1025,-7
102503,1025,3
102504,1025,7
102505,1025,2
103001,1030,2
103002,1030,3
103003,1030,4
103004,1030,3
103301,1033,3
103302,1033,1
103303,1033,-7
103304,1033,2
103401,1034,2
103402,1034,3
103403,1034,2
103501,1035,6
103502,1035,2
103601,1036,5
103801,1038,3
103802,1038,8
103901,1039,3
104001,1040,4
104801,1048,12
104802,1048,8
104901,1049,10
104902,1049,6
104903,1049,6
105001,1050,2
105601,1056,7
105602,1056,7
105603,1056,3
105701,1057,4
105702,1057,6
105703,1057,7
105704,1057,6
106301,1063,6
106302,1063,7
106501,1065,11
106502,1065,8
106503,1065,8
106901,1069,3
106902,1069,2
107001,1070,2
107002,1070,2
107003,1070,3
107101,1071,7
107102,1071,5
107103,1071,6
107401,1074,-7
107601,1076,9
107701,1077,2
107702,1077,2
107703,1077,6
107901,1079,3
108001,1080,8
108002,1080,8
108003,1080,3
108201,1082,10
108202,1082,6
108301,1083,8
108302,1083,6
108601,1086,-7
108701,1087,8
108702,1087,6
108703,1087,2
108704,1087,1
108705,1087,-7
108801,1088,6
108802,1088,6
108803,1088,2
108804,1088,8
108805,1088,8
108806,1088,2
109001,1090,8
109002,1090,6
109003,1090,3
109301,1093,-7
109302,1093,-7
109303,1093,-7
110101,1101,10
110102,1101,12
110301,1103,6
110401,1104,7
110801,1108,7
110802,1108,3
111001,1110,2
111101,1111,3
111102,1111,8
111201,1112,3
111202,1112,10
111601,1116,6
111602,1116,8
111701,1117,-7
111702,1117,8
111703,1117,6
111801,1118,7
112101,1121,-7
112102,1121,-7
112301,1123,4
112302,1123,11
112303,1123,6
112304,1123,8
112305,1123,8
112601,1126,-7
112602,1126,-7
112603,1126,-7
112801,1128,-7
113001,1130,8
113002,1130,3
113101,1131,3
113201,1132,2
113202,1132,7
113301,1133,-7
113302,1133,-7
113303,1133,-7
113501,1135,9
113502,1135,-7
113601,1136,-7
113602,1136,-7
114101,1141,4
114102,1141,5
114701,1147,6
114702,1147,6
115201,1152,2
115202,1152,7
115203,1152,6
115501,1155,8
115701,1157,8
115702,1157,6
115801,1158,10
115802,1158,9
115901,1159,8
115902,1159,2
116001,1160,12
116002,1160,8
116003,1160,-7
116004,1160,10
116005,1160,6
116006,1160,6
116101,1161,3
116102,1161,6
116201,1162,-7
116301,1163,8
116302,1163,3
116401,1164,6
116402,1164,3
116501,1165,7
116502,1165,3
116503,1165,6
116601,1166,7
116602,1166,6
116701,1167,-7
116702,1167,-7
116801,1168,6
117001,1170,6
117002,1170,6
117003,1170,10
117004,1170,6
117201,1172,3
117202,1172,3
117203,1172,3
117701,1177,8
117702,1177,5
117901,1179,7
117902,1179,2
118101,1181,3
118102,1181,8
118103,1181,11
118401,1184,8
118402,1184,8
118403,1184,2
118701,1187,10
118702,1187,7
118703,1187,7
118901,1189,10
118902,1189,7
119101,1191,6
119501,1195,6
119502,1195,6
119901,1199,5
119902,1199,3
120001,1200,13
120002,1200,6
120201,1202,7
120202,1202,3
120301,1203,3
120302,1203,2
120701,1207,8
120702,1207,8
120901,1209,3
120902,1209,6
120903,1209,6
121001,1210,2
121002,1210,1
121003,1210,2
121004,1210,6
121005,1210,2
121006,1210,2
121201,1212,2
121202,1212,6
121301,1213,2
121302,1213,2
121401,1214,6
121402,1214,-7
121403,1214,-7
121404,1214,-7
121601,1216,3
121602,1216,-7
121603,1216,10
121604,1216,6
122001,1220,3
122002,1220,6
122003,1220,6
122101,1221,6
122102,1221,3
122103,1221,3
122301,1223,6
122302,1223,3
122401,1224,6
122402,1224,6
122403,1224,7
122501,1225,6
122502,1225,3
122601,1226,3
122602,1226,7
122701,1227,8
122702,1227,2
122703,1227,-7
122704,1227,3
122801,1228,-7
122802,1228,-7
122803,1228,3
123001,1230,8
123002,1230,3
123101,1231,9
123102,1231,6
123301,1233,6
123302,1233,5
123401,1234,7
123402,1234,2
123601,1236,8
123602,1236,8
123603,1236,3
123801,1238,10
123802,1238,6
123803,1238,5
123804,1238,6
123805,1238,5
124101,1241,-7
124102,1241,-7
124103,1241,6
124104,1241,6
124201,1242,3
124401,1244,7
124402,1244,2
124403,1244,3
124601,1246,3
124602,1246,3
125001,1250,7
125002,1250,2
125003,1250,7
125101,1251,6
125301,1253,14
125401,1254,-7
125402,1254,-7
125403,1254,-7
125404,1254,-7
125501,1255,-7
125801,1258,9
125802,1258,8
125803,1258,10
125804,1258,2
125901,1259,9
126101,1261,7
126301,1263,2
126901,1269,7
126902,1269,6
126903,1269,3
127001,1270,8
127002,1270,6
127101,1271,-7
127701,1277,-7
127901,1279,8
127902,1279,8
127903,1279,8
128601,1286,3
128602,1286,8
129001,1290,4
129002,1290,6
129301,1293,10
129302,1293,3
129303,1293,6
129501,1295,2
129502,1295,2
129503,1295,4
129504,1295,2
129601,1296,3
129602,1296,-7
129701,1297,3
129702,1297,7
129703,1297,3
129801,1298,-7
129802,1298,-7
130201,1302,-7
130401,1304,3
130402,1304,-7
130403,1304,-7
130501,1305,8
130502,1305,6
130601,1306,2
130602,1306,6
130603,1306,4
130604,1306,3
130801,1308,2
130802,1308,-7
130803,1308,3
131001,1310,8
131002,1310,8
131003,1310,8
131201,1312,5
131301,1313,3
131302,1313,3
132201,1322,2
132301,1323,8
132302,1323,8
132401,1324,12
132402,1324,8
132403,1324,7
132404,1324,9
132405,1324,6
132601,1326,8
132602,1326,6
