,Unnamed: 0,C0000100,C0000200,C0005700,m_age_ya,m_HGC_ya,dad_distance_ya,HGC_ya,R0000100,dad_age,mom_age,f_HGC,m_HGC,HGC,reside_parent_type,age_stopped_living_w_parent,urban_at_14,rural_at_14,farm_at_14,AFQT,desire_child_#,ever_married,married_age,1st_marry_age,abort_#,foreign_lang_child,female_work_14,male_work_14,mother_work_1978,father_work_1978,#sibling,#sibling_school,cultural_influence,income_18,income_19,income_20,income_21,income_22,income_23,income_24,income_25,income_26,income_27,income_28,income_29,income_30,income_31,income_32,income_33,income_34,income_35,income_36,income_37,income_38,income_39,income_40,income_41,income_42,income_43,income_44,income_45,income_46,income_47,income_48,income_49,income_50,income_51,income_52,income_53,income_54,income_55,income_56,income_57,income_58,income_59,income_60,income_61,income_62,teen_mom,teen_dad,teen_mom_not_teen_dad,teen_dad_not_teen_mom,teen_dad_and_teen_mom
12,12,1201,12,1989,30,7,0,,12,43,39,4,6,7,,,1,0,0,89.641,2,1,23,23,0,0,1,1,1,1,3,0,1,,6755.597836,3001.549356,15876.22206,21583.71735,42255.3145,45975.55723,52476.05487,,,,,,,,62160.96924,64303.41598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
13,13,1202,12,1993,33,7,0,,12,43,39,4,6,7,,,1,0,0,89.641,2,1,23,23,0,0,1,1,1,1,3,0,1,,6755.597836,3001.549356,15876.22206,21583.71735,42255.3145,45975.55723,52476.05487,,,,,,,,62160.96924,64303.41598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
14,14,1601,16,1990,31,6,5,3,16,35,27,4,5,6,1,18,1,0,0,50.283,4,1,29,29,2,0,0,1,1,1,3,1,1,,,27410.14461,33050.093,18522.25907,28298.65163,35024.45855,35028.99598,40931.3228,46624.82027,53713.96792,65248.73047,67302.02875,63323.45792,58411.44843,60040.98085,52836.82385,42265.15604,,35774.1715,,29886.12397,,49744.0132,,48028.03746,,77047.92299,,79275.99147,,69410.12472,,65049.6278,,67857.83562,,69266.4364,,91999.9409,,80062.94207,,79321.62407,,0,0,0,0,0
15,15,1602,16,1993,34,6,5,3,16,35,27,4,5,6,1,18,1,0,0,50.283,4,1,29,29,2,0,0,1,1,1,3,1,1,,,27410.14461,33050.093,18522.25907,28298.65163,35024.45855,35028.99598,40931.3228,46624.82027,53713.96792,65248.73047,67302.02875,63323.45792,58411.44843,60040.98085,52836.82385,42265.15604,,35774.1715,,29886.12397,,49744.0132,,48028.03746,,77047.92299,,79275.99147,,69410.12472,,65049.6278,,67857.83562,,69266.4364,,91999.9409,,80062.94207,,79321.62407,,0,0,0,0,0
16,16,1603,16,1996,37,6,5,3,16,35,27,4,5,6,1,18,1,0,0,50.283,4,1,29,29,2,0,0,1,1,1,3,1,1,,,27410.14461,33050.093,18522.25907,28298.65163,35024.45855,35028.99598,40931.3228,46624.82027,53713.96792,65248.73047,67302.02875,63323.45792,58411.44843,60040.98085,52836.82385,42265.15604,,35774.1715,,29886.12397,,49744.0132,,48028.03746,,77047.92299,,79275.99147,,69410.12472,,65049.6278,,67857.83562,,69266.4364,,91999.9409,,80062.94207,,79321.62407,,0,0,0,0,0
17,17,1901,19,1987,29,5,5,3,19,37,35,4,4,5,1,18,1,0,0,,2,1,21,21,1,0,0,1,1,1,3,0,1,,,,13370.80225,25538.70823,26460.37011,21583.71735,,,,1013.583049,11936.43732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
18,18,2001,20,1990,30,8,0,7,20,29,27,4,5,8,1,18,1,0,0,67.021,2,1,28,28,0,0,0,1,2,1,2,2,1,,4011.240674,3605.464691,3969.055516,19185.52653,45192.84974,45975.55723,41980.84389,48651.98637,53713.96792,53734.24863,55316.73596,59805.48803,40053.56464,56038.24879,59052.92078,61586.37024,,65824.47556,,65206.08867,,68070.75491,,55416.9663,,87716.09694,,71460.04865,,92546.83296,,,,111480.7299,,104835.6875,,116839.9249,,,,,,,0,0,0,0,0
19,19,2501,25,1990,30,6,0,5,25,41,27,4,6,6,1,18,1,0,0,51.39,2,1,27,27,1,0,0,1,1,1,1,,1,,1076.349581,12174.45244,25137.3516,26380.09898,24856.06735,24082.43474,27287.54853,34259.10707,38793.42128,40300.68647,41487.55197,43974.62355,36715.76759,13449.17971,12432.19385,18113.6383,,25757.40348,,20376.90271,,26181.05958,,24629.7628,,23707.05323,,25680.95498,,34705.06236,,33297.27823,,33928.91781,,33697.18527,,45999.97045,,42700.23577,,47957.17158,,,0,0,0,0,0
20,20,2502,25,1993,33,6,0,5,25,41,27,4,6,6,1,18,1,0,0,51.39,2,1,27,27,1,0,0,1,1,1,1,,1,,1076.349581,12174.45244,25137.3516,26380.09898,24856.06735,24082.43474,27287.54853,34259.10707,38793.42128,40300.68647,41487.55197,43974.62355,36715.76759,13449.17971,12432.19385,18113.6383,,25757.40348,,20376.90271,,26181.05958,,24629.7628,,23707.05323,,25680.95498,,34705.06236,,33297.27823,,33928.91781,,33697.18527,,45999.97045,,42700.23577,,47957.17158,,,0,0,0,0,0
21,21,2701,27,1988,27,7,0,7,27,29,24,4,6,7,1,18,1,0,0,96.674,2,1,24,24,0,0,0,1,3,1,1,1,1,7236.946717,8550.960426,19316.07018,23159.32871,27115.70984,30540.90587,36943.14263,7500.514565,,,,,,,,,,236.1095319,,11599.89148,,17182.6294,,,,,,,,16583.76146,,16262.40695,,15545.26074,,43057.51452,,156552.6194,,51596.11822,,170584.1378,,,,0,0,0,0,0
