,C0000100,C0000200,C0005700,m_age_ya,m_HGC_ya,dad_distance_ya,HGC_ya
190,22801,228,1980,22,4,5,2
191,22802,228,1986,28,4,0,3
192,22803,228,1987,30,4,5,2
193,22804,228,1990,32,4,5,2
194,22901,229,1992,29,5,5,5
195,23101,231,1990,32,5,0,8
196,23102,231,1993,35,5,0,5
197,23601,236,1988,26,6,0,5
198,23602,236,1990,29,6,0,7
199,23603,236,1995,33,6,0,3
200,23701,237,1981,23,6,5,5
201,23901,239,1980,19,4,55,2
202,23902,239,1983,22,4,55,2
203,23903,239,1984,23,4,55,4
204,24001,240,1984,22,5,0,3
205,24002,240,1986,24,5,0,5
206,24201,242,1986,27,6,5,5
207,24401,244,1975,18,5,55,5
208,24402,244,1979,22,5,55,4
209,24403,244,1991,34,5,0,5
210,24501,245,1992,29,6,0,5
211,24502,245,1996,33,6,0,5
212,24503,245,1999,36,6,0,5
213,24901,249,1982,18,8,100,3
214,24902,249,1984,21,8,100,5
215,24903,249,1993,30,8,5,4
216,24904,249,2002,39,8,0,4
217,25001,250,1982,24,5,0,4
218,25002,250,1986,27,5,0,5
219,25201,252,1983,19,5,5,5
