"C0000100","C0000200","C0005700","C0007000","C0053500","C0054100","C0055100","C0057500","C0058100","C0058700","C0059300","C0059900","C0060500","C0061100","C0061106","C0061112","C0061114","C0061116","C0061118","C0061120","C0061122","C0061124","C0061126","C0061128","C0061130","C0061132","C3602400","C3982400","C5526200","C5802500"
383501,3835,1984,24,12,13,13,13,13,13,13,-7,-7,-7,-7,-7,13,13,13,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
383601,3836,1994,32,10,11,12,13,15,16,16,17,18,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18
383602,3836,1995,33,10,11,12,13,15,16,16,17,18,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18
383701,3837,1980,17,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12
383702,3837,1984,21,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12
383703,3837,1987,24,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12
383901,3839,1981,22,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
383902,3839,1982,23,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
383903,3839,1988,29,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
384201,3842,1978,16,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8
384202,3842,1981,20,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8
384203,3842,1992,31,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8
384301,3843,1989,30,12,-7,-7,-7,12,-7,-7,-7,-7,12,12,12,12,12,12,12,12,12,12,12,-7,-7,-7,-7,-7,-7
384302,3843,1991,32,12,-7,-7,-7,12,-7,-7,-7,-7,12,12,12,12,12,12,12,12,12,12,12,-7,-7,-7,-7,-7,-7
384601,3846,1995,31,8,9,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,-7,-7
384602,3846,1999,35,8,9,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,-7,-7
384901,3849,1992,30,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,-7,12,12,-7,-7,12,14,14
385101,3851,1981,19,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12
385102,3851,1985,23,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12
385301,3853,1989,25,9,10,11,12,13,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,16,14,16,16
385302,3853,1990,27,9,10,11,12,13,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,16,14,16,16
385901,3859,1990,31,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,-7,12,12,12
386401,3864,1987,29,15,15,15,14,15,16,16,16,16,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
387601,3876,2000,39,11,12,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16
387701,3877,1984,23,12,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,20,16,16,16
387702,3877,1985,24,12,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,20,16,16,16
387703,3877,1988,28,12,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,20,16,16,16
387901,3879,1979,20,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,-7,-7,-7,-7,-7
387902,3879,1982,22,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,-7,-7,-7,-7,-7
388901,3889,1987,27,12,13,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
388902,3889,1992,31,12,13,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
389301,3893,1985,22,8,9,10,11,12,12,12,12,12,12,12,12,12,-7,12,-7,12,12,12,-7,-7,-7,-7,-7,-7,-7
389302,3893,1988,25,8,9,10,11,12,12,12,12,12,12,12,12,12,-7,12,-7,12,12,12,-7,-7,-7,-7,-7,-7,-7
389901,3899,1988,25,10,11,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-7
389902,3899,1990,28,10,11,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-7
389903,3899,1991,29,10,11,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-7
389904,3899,1995,32,10,11,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-7
390601,3906,1984,22,9,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
390602,3906,1989,27,9,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
390801,3908,1993,33,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12
390802,3908,1994,35,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12
391301,3913,1997,35,11,12,13,14,15,15,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,16,16,16,16
391302,3913,1999,38,11,12,13,14,15,15,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,16,16,16,16
391401,3914,1980,18,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12
391402,3914,1981,20,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12
391501,3915,1990,26,8,9,10,12,13,14,14,14,15,15,15,15,16,16,16,16,16,16,16,16,16,16,17,17,17,17
391502,3915,1996,32,8,9,10,12,13,14,14,14,15,15,15,15,16,16,16,16,16,16,16,16,16,16,17,17,17,17
391503,3915,2005,41,8,9,10,12,13,14,14,14,15,15,15,15,16,16,16,16,16,16,16,16,16,16,17,17,17,17
391801,3918,1997,33,9,10,11,12,13,15,16,16,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20
391802,3918,1999,36,9,10,11,12,13,15,16,16,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20
391901,3919,1985,21,9,10,11,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
391902,3919,1992,28,9,10,11,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
391903,3919,1993,30,9,10,11,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
392101,3921,1986,22,9,10,11,12,12,12,12,12,12,12,12,12,12,13,13,14,14,14,14,14,14,14,14,14,14,16
392102,3921,1990,27,9,10,11,12,12,12,12,12,12,12,12,12,12,13,13,14,14,14,14,14,14,14,14,14,14,16
392103,3921,1992,28,9,10,11,12,12,12,12,12,12,12,12,12,12,13,13,14,14,14,14,14,14,14,14,14,14,16
392201,3922,1983,23,12,13,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
392301,3923,1989,26,9,10,11,12,12,13,14,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18
392302,3923,1991,28,9,10,11,12,12,13,14,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18
392303,3923,1994,32,9,10,11,12,12,13,14,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18
392304,3923,1999,37,9,10,11,12,12,13,14,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18
392401,3924,1997,33,8,9,10,11,12,13,14,15,17,18,20,20,20,20,20,20,20,20,20,20,20,20,18,18,18,18
392402,3924,1997,33,8,9,10,11,12,13,14,15,17,18,20,20,20,20,20,20,20,20,20,20,20,20,18,18,18,18
392701,3927,1976,17,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12
392801,3928,1980,20,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,12,12,12,12,12,12
392901,3929,1976,18,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,12,12,12
392902,3929,1989,31,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,12,12,12
393101,3931,1977,16,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
393102,3931,1977,16,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
393103,3931,1983,21,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
393104,3931,1983,21,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
393105,3931,1988,26,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
393401,3934,1979,18,9,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12
393501,3935,1983,23,12,-7,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,12,13,13
393502,3935,1989,30,12,-7,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,12,13,13
393601,3936,1986,22,9,10,11,12,12,12,12,12,12,-7,12,12,12,12,12,12,12,12,12,-7,12,12,-7,-7,-7,-7
393602,3936,1988,25,9,10,11,12,12,12,12,12,12,-7,12,12,12,12,12,12,12,12,12,-7,12,12,-7,-7,-7,-7
394001,3940,1984,20,8,10,-7,-7,-7,-7,-7,-7,-7,-7,10,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
394401,3944,1977,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,14,14
394402,3944,1989,27,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,14,14
394501,3945,1991,28,8,9,9,9,9,9,9,9,-7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,-7,-7
394502,3945,1999,36,8,9,9,9,9,9,9,9,-7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,-7,-7
394801,3948,1974,15,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11
394802,3948,1975,17,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11
394803,3948,1981,23,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11
394804,3948,1988,30,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11
395201,3952,1982,25,13,14,14,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
395202,3952,1979,21,13,14,14,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
395301,3953,1983,23,12,13,14,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
395302,3953,1987,26,12,13,14,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
395303,3953,1991,31,12,13,14,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
395304,3953,1993,33,12,13,14,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
396001,3960,1992,28,9,10,11,12,13,14,14,14,14,13,13,13,13,13,13,14,14,14,14,14,14,14,14,13,13,13
396201,3962,1982,23,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,17,14,13,13
396202,3962,1983,24,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,17,14,13,13
396203,3962,1986,27,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,17,14,13,13
396204,3962,1989,31,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,17,14,13,13
396401,3964,1985,27,13,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18
396402,3964,1987,28,13,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18
396901,3969,1994,30,9,10,11,12,13,14,14,14,14,17,17,17,17,17,17,17,17,17,17,17,17,17,16,14,14,14
396902,3969,1999,35,9,10,11,12,13,14,14,14,14,17,17,17,17,17,17,17,17,17,17,17,17,17,16,14,14,14
397001,3970,1987,29,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
397002,3970,1990,32,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
397003,3970,1993,35,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
397201,3972,1987,27,12,13,14,15,16,17,17,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17
397202,3972,1990,29,12,13,14,15,16,17,17,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17
397203,3972,1992,32,12,13,14,15,16,17,17,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17
397501,3975,1978,17,11,11,11,11,-7,11,-7,11,-7,-7,-7,-7,-7,-7,11,11,11,11,11,-7,-7,-7,-7,-7,-7,-7
397502,3975,1979,18,11,11,11,11,-7,11,-7,11,-7,-7,-7,-7,-7,-7,11,11,11,11,11,-7,-7,-7,-7,-7,-7,-7
397503,3975,1981,19,11,11,11,11,-7,11,-7,11,-7,-7,-7,-7,-7,-7,11,11,11,11,11,-7,-7,-7,-7,-7,-7,-7
397504,3975,1984,23,11,11,11,11,-7,11,-7,11,-7,-7,-7,-7,-7,-7,11,11,11,11,11,-7,-7,-7,-7,-7,-7,-7
397701,3977,1980,18,10,11,12,12,-7,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,-7
397702,3977,2008,45,10,11,12,12,-7,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,-7
397801,3978,1989,25,8,9,10,11,12,13,-7,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,16,16
398201,3982,1979,20,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
398202,3982,1981,22,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
398203,3982,1985,26,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
398204,3982,1986,27,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
398301,3983,1985,23,10,12,12,12,12,12,12,-7,-7,-7,-7,-7,-7,12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
398302,3983,1989,28,10,12,12,12,12,12,12,-7,-7,-7,-7,-7,-7,12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
398601,3986,1978,21,12,12,12,12,12,12,12,12,12,12,12,12,12,-7,12,12,12,-7,-7,12,12,12,12,12,12,12
398602,3986,1993,36,12,12,12,12,12,12,12,12,12,12,12,12,12,-7,12,12,12,-7,-7,12,12,12,12,12,12,12
398801,3988,1979,20,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
398802,3988,1982,22,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
399101,3991,1982,20,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,11,11
399102,3991,1988,27,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,11,11
399201,3992,1973,16,12,12,12,12,12,12,12,12,12,13,13,13,12,13,13,13,13,13,13,13,13,13,12,12,12,12
399301,3993,1977,19,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13
399302,3993,1978,20,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13
399303,3993,1983,24,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13
399501,3995,1979,17,10,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,14,14,14,14,14
399502,3995,1983,21,10,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,14,14,14,14,14
399503,3995,1985,23,10,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,14,14,14,14,14
399601,3996,1984,21,9,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14
399602,3996,1989,26,9,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14
399801,3998,1982,23,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11
400101,4001,1990,28,10,11,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14
400102,4001,1992,30,10,11,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14
400201,4002,1990,26,9,10,11,12,13,14,15,16,-7,16,17,17,17,17,17,17,17,16,16,-7,16,16,16,18,18,18
400202,4002,1991,28,9,10,11,12,13,14,15,16,-7,16,17,17,17,17,17,17,17,16,16,-7,16,16,16,18,18,18
400301,4003,1977,17,9,9,-7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,-7,-7,-7,-7,-7,-7
400302,4003,1980,20,9,9,-7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,-7,-7,-7,-7,-7,-7
400501,4005,1980,20,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,12,12,12,12,12,12,12,14,14,14,14
400502,4005,1981,22,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,12,12,12,12,12,12,12,14,14,14,14
400503,4005,1983,23,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,12,12,12,12,12,12,12,14,14,14,14
400701,4007,1980,20,13,-7,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,12,13,15,16,16,16,16,16,16
400702,4007,1985,25,13,-7,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,12,13,15,16,16,16,16,16,16
401201,4012,1982,19,10,11,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,-7,14,14,14,14
401202,4012,1984,21,10,11,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,-7,14,14,14,14
401501,4015,1982,19,10,11,12,13,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,13,12,12
401502,4015,1985,22,10,11,12,13,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,13,12,12
401503,4015,1987,24,10,11,12,13,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,13,12,12
401601,4016,1975,17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,13
401602,4016,1978,19,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,13
401901,4019,1989,27,11,12,13,13,15,15,16,16,16,-7,16,16,16,17,16,16,16,16,16,16,16,16,16,-7,17,17
401902,4019,1997,35,11,12,13,13,15,15,16,16,16,-7,16,16,16,17,16,16,16,16,16,16,16,16,16,-7,17,17
402101,4021,1982,18,8,9,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,12,14,16,18
402301,4023,1995,30,8,9,10,11,12,13,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
402302,4023,2001,36,8,9,10,11,12,13,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
402401,4024,1972,15,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,12,12
402402,4024,1977,19,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,12,12
402403,4024,1979,21,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,12,12
402601,4026,1993,30,10,11,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,-7,-7,-7,-7,-7
402602,4026,1996,33,10,11,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,-7,-7,-7,-7,-7
402603,4026,1998,36,10,11,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,-7,-7,-7,-7,-7
402701,4027,1994,34,13,13,13,13,13,13,13,13,-7,13,13,13,14,14,14,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
402702,4027,2000,40,13,13,13,13,13,13,13,13,-7,13,13,13,14,14,14,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
402703,4027,2002,42,13,13,13,13,13,13,13,13,-7,13,13,13,14,14,14,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
402704,4027,2002,42,13,13,13,13,13,13,13,13,-7,13,13,13,14,14,14,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
402801,4028,1982,18,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,12,12
402802,4028,1984,20,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,12,12
402803,4028,1987,23,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,12,12
403301,4033,1996,37,13,14,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,15,15,16,16,16
403302,4033,1997,38,13,14,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,15,15,16,16,16
403501,4035,1993,31,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12
403502,4035,1995,34,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12
403701,4037,1988,24,8,9,10,12,12,12,12,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,12,15,15,15
403801,4038,1983,19,8,9,10,11,12,12,12,12,12,12,12,12,12,12,12,12,-7,12,12,12,-7,-7,-7,13,13,13
403802,4038,1986,22,8,9,10,11,12,12,12,12,12,12,12,12,12,12,12,12,-7,12,12,12,-7,-7,-7,13,13,13
404001,4040,1990,28,10,12,13,13,14,14,15,-7,-7,16,-7,16,16,16,-7,16,16,16,16,16,16,-7,-7,-7,-7,-7
404002,4040,1995,33,10,12,13,13,14,14,15,-7,-7,16,-7,16,16,16,-7,16,16,16,16,16,16,-7,-7,-7,-7,-7
404101,4041,1978,21,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
404102,4041,1980,22,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
404103,4041,1985,28,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
404501,4045,1981,19,11,12,12,12,12,12,12,12,12,12,12,12,12,12,13,14,14,15,16,16,16,16,16,16,16,16
404502,4045,1986,24,11,12,12,12,12,12,12,12,12,12,12,12,12,12,13,14,14,15,16,16,16,16,16,16,16,16
404503,4045,1991,29,11,12,12,12,12,12,12,12,12,12,12,12,12,12,13,14,14,15,16,16,16,16,16,16,16,16
404901,4049,1981,21,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,12,11,11,11,11
404902,4049,1983,23,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,12,11,11,11,11
404903,4049,1990,29,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,12,11,11,11,11
404904,4049,1992,31,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,12,11,11,11,11
405001,4050,1984,22,10,11,12,12,12,-7,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,-7,-7,-7,-7
405002,4050,1989,27,10,11,12,12,12,-7,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,-7,-7,-7,-7
405003,4050,1995,33,10,11,12,12,12,-7,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,-7,-7,-7,-7
405101,4051,1984,21,9,10,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,13,13,13
405102,4051,1990,27,9,10,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,13,13,13
405103,4051,1992,29,9,10,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,13,13,13
405701,4057,1990,26,8,9,10,11,12,13,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,17,-7,-7
405702,4057,1994,30,8,9,10,11,12,13,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,17,-7,-7
405703,4057,1998,33,8,9,10,11,12,13,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,17,-7,-7
406001,4060,1983,25,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,15,15,15,15
406002,4060,1985,27,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,15,15,15,15
406501,4065,1989,25,9,10,10,10,10,10,10,10,10,10,10,10,10,10,-7,-7,-7,10,10,-7,10,10,10,12,12,12
406502,4065,1990,27,9,10,10,10,10,10,10,10,10,10,10,10,10,10,-7,-7,-7,10,10,-7,10,10,10,12,12,12
406503,4065,1997,33,9,10,10,10,10,10,10,10,10,10,10,10,10,10,-7,-7,-7,10,10,-7,10,10,10,12,12,12
406601,4066,1979,21,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
406602,4066,1980,23,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
407101,4071,2001,37,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12
407401,4074,1994,30,10,11,13,14,15,16,17,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,-7
407402,4074,1994,30,10,11,13,14,15,16,17,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,-7
407403,4074,1994,30,10,11,13,14,15,16,17,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,-7
407701,4077,1986,24,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
407702,4077,1995,33,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
