R0000100,dad_age,mom_age,f_HGC,m_HGC,HGC,reside_parent_type,age_stopped_living_w_parent,urban_at_14,rural_at_14,farm_at_14,AFQT,desire_child_#,ever_married,married_age,1st_marry_age,abort_#,foreign_lang_child,female_work_14,male_work_14,mother_work_1978,father_work_1978,#sibling,#sibling_school,cultural_influence,income_18,income_19,income_20,income_21,income_22,income_23,income_24,income_25,income_26,income_27,income_28,income_29,income_30,income_31,income_32,income_33,income_34,income_35,income_36,income_37,income_38,income_39,income_40,income_41,income_42,income_43,income_44,income_45,income_46,income_47,income_48,income_49,income_50,income_51,income_52,income_53,income_54,income_55,income_56,income_57,income_58,income_59,income_60,income_61,income_62,teen_mom,teen_dad,teen_mom_not_teen_dad,teen_dad_not_teen_mom,teen_dad_and_teen_mom
938,29,28,5,5,5,1,18,1,0,0,21.712,3,1,36,36,,0,1,1,1,1,6,4,0.666666667,,3342.700562,3004.55391,2646.037011,10791.85867,9400.112745,10946.56124,6087.222365,18244.49489,19894.06219,18231.26293,25814.47678,22866.80425,18357.88379,,18648.29077,19623.10816,,18602.56918,,7824.73064,,,,23398.27466,,28448.46387,,,,,,,,11839.25352,,,,11840.39239,,11386.72954,,,,,0,0,0,0,0
939,31,27,4,5,5,1,18,1,0,0,17.528,4,1,20,20,0,0,0,1,2,1,5,3,0.666666667,1337.080225,3605.464691,4868.708099,2877.82898,13557.85492,21893.12249,20990.42195,28380.32538,21883.46841,32624.36524,35955.87837,34300.20637,20026.78232,22415.29952,,13585.22873,,18602.56918,,20376.90271,,,,,,,,,,,,9330.555988,,9693.976517,,16848.59264,,,,17791.7649,,,,,,0,0,0,0,0
940,23,20,5,5,5,1,18,1,0,0,57.979,2,1,19,19,1,0,1,1,1,2,3,2,1,,,10028.10169,42063.75473,50274.7032,45565.62551,45192.84974,50354.18173,52476.05487,56760.65076,55703.37414,57572.40924,64536.19195,56287.51815,56742.54991,54437.15597,54390.84808,57359.85463,,50083.8401,,51621.48686,,52362.11916,,40639.10862,,44995.98703,,44662.5304,,47325.08503,,,,46980.88779,,46801.64621,,48566.7688,,80062.94207,,36675.58962,,1,0,1,0,0
941,40,33,5,5,6,1,18,1,0,0,44.224,3,1,27,27,,0,1,1,1,1,3,0,1,11271.49684,7016.189922,8757.248996,18891.37975,28380.32538,27851.68707,26867.12431,26736.42238,24625.78919,26702.37643,27218.57799,26418.41193,30189.39717,,31481.27092,,29206.89388,,28799.16554,,30787.2035,,27263.11121,,16748.4489,,1577.502834,,12196.80521,,2908.192955,,9360.329243,,13799.99113,,22239.70613,,22175.93791,,,,,,,0,0,0,0,0
942,,32,5,5,5,2,5,1,0,0,55.978,2,1,24,24,0,0,1,,1,1,3,0,1,10515.93868,15876.22206,35972.86225,25985.8886,26271.74699,23089.46414,46016.67044,47347.86802,63329.65017,71911.75674,80913.30734,48398.05727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
943,29,26,6,6,6,,,1,0,0,20.661,3,0,,,0,0,0,1,3,1,0,,0.666666667,,90252.91517,60091.07819,31223.23672,,,,,,59682.18658,57572.40924,,65082.44286,,,,,,85858.0116,,,,,,,,,,39079.7141,,47325.08503,,11180.40478,,11632.77182,,11232.39509,,9659.993794,,22239.70613,,,,,0,0,0,0,0
944,36,36,5,5,9,0,16,1,0,0,97.299,2,0,,,,0,0,1,2,1,0,,1,,2674.16045,3004.55391,7938.111032,14389.1449,,3283.968373,2099.042195,40543.32197,39788.12439,46057.92739,44253.38876,130662.6785,135983.5209,13449.17971,40404.63,72454.55322,,51514.80696,,78790.69048,,104724.2383,,135463.6954,,106681.7395,,312432.2652,,152491.9407,,146361.6626,,145409.6477,,159125.5971,,306317.4832,,353139.8457,,413350.1006,,,0,0,0,0,0
945,34,29,5,5,7,1,18,1,0,0,51.523,3,0,,,,0,0,1,2,1,1,1,0.666666667,12018.21564,2646.037011,8393.667857,1807.713989,9851.90512,20990.42195,62842.14906,118144.8671,109625.5435,55316.73596,130662.6785,135983.5209,144618.7092,156875.6381,153442.1395,,198582.426,,201011.3529,,283017.2541,,290631.2011,,315224.3893,,167484.489,,157750.2834,,162624.0695,,333307.9946,,346626.0963,,306317.4832,,,,413350.1006,,,,,0,0,0,0,0
946,38,33,5,5,7,1,18,1,0,0,84.064,2,1,24,24,,0,0,1,2,1,1,1,0.666666667,2786.276972,,1016.839119,4378.624498,8396.168779,11149.41354,35809.31195,53734.24863,51628.95356,59805.48803,81776.02781,73650.26984,80809.26001,69435.6135,,85858.0116,,108676.8145,,143995.8277,,135463.6954,,130388.7927,,156318.8564,,147233.5979,,142296.0608,,333307.9946,,135724.774,,137999.9113,,137886.178,,136467.3102,,,,,,0,0,0,0,0
947,37,37,5,4,6,1,18,1,0,0,77.263,2,1,23,23,,0,1,1,2,1,9,1,1,21031.87737,20578.22983,27579.19439,31634.99482,30650.37148,30646.01604,34461.82368,39788.12439,28786.20462,27658.36798,33244.81541,21695.68085,18412.56746,18648.29077,19623.10816,,35774.1715,,16301.52217,,27490.11256,,39407.62048,,47414.10645,,50803.62833,,67937.78874,,73180.83128,,87245.78865,,82370.89734,,91999.9409,,87179.64803,,98085.87923,,,,,0,0,0,0,0
948,42,42,5,4,5,,,1,0,0,18.274,4,0,,,,0,1,1,2,1,9,1,0.666666667,17993.05167,23981.90816,22596.42487,28461.05924,39881.8017,,49735.15548,71005.9714,66380.08315,70359.39769,61749.24549,67245.89855,66823.04193,60378.79435,,71548.343,,81507.61084,,71997.91385,,66500.35956,,71121.15968,,72576.61191,,68358.45616,,50820.02172,,58163.8591,,,,55199.96454,,66719.11839,,,,,,,,0,0,0,0,0
949,28,23,4,5,5,1,18,0,0,1,64.067,1,1,19,19,2,0,0,1,3,1,1,1,1,3023.401647,24082.43474,30436.11182,33448.24063,23872.87463,28786.20462,31346.15037,26384.77413,20026.78232,28819.67081,27972.43616,,,38636.10522,,39395.34524,,,,47978.77794,,50970.16444,,53595.03649,,14933.6935,,43705.21868,,40714.70137,,,,,,,,,,,,,,,,0,0,0,0,0
950,29,24,4,5,5,1,18,1,0,0,91.63,1,1,23,23,0,0,0,1,3,1,1,1,1,,,,16713.50281,12018.21564,25666.559,27339.37531,24969.04948,28461.05924,26028.12321,26353.15928,25862.28085,24948.044,,,,,,,,34343.20464,,65206.08867,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
951,19,20,5,5,5,2,6,0,1,0,52.109,2,1,21,21,,0,0,1,3,1,3,3,0,6427.223899,12470.59225,21636.07681,21893.12249,20990.42195,26555.87589,30835.7964,36462.52585,31346.15037,31661.72896,30040.17348,33622.94928,32634.50885,33208.33689,,24326.43662,,36678.42488,,41824.24268,,42482.64637,,45043.40113,,49128.78344,,42066.74225,,,,,,,,,,,,,,,,,,1,1,0,0,1
952,20,20,5,5,5,,7,0,1,0,63.71,2,1,17,17,0,0,0,1,3,1,3,3,0.333333333,5861.178355,8044.327253,7662.592871,18891.37975,31623.79114,39788.12439,28786.20462,38721.71517,58046.50309,50066.9558,28819.67081,32634.50885,31698.86703,,45790.93952,,46187.64614,,48434.96023,,55416.9663,,59267.63307,,62527.54257,,63100.11338,,81312.03475,,85306.99335,,,,,,,,,,,,,,,1,1,0,0,1
953,27,22,5,3,5,2,4,0,0,1,70.212,1,1,19,19,1,0,0,1,1,1,4,0,0.666666667,13370.80225,21031.87737,25931.1627,33574.67143,18077.13989,40502.2766,37782.75951,,59682.18658,57572.40924,55316.73596,52769.54826,,,54390.84808,57359.85463,,78703.1773,,67923.00903,,85088.44364,,86204.1698,,82974.6863,,72576.61191,,36808.39947,,30492.01303,,31020.72485,,37441.31697,,47839.96927,,53375.29471,,25587.62067,,,,0,0,0,0,0
954,,19,5,5,7,0,3,0,0,1,83.581,2,1,28,28,0,0,1,1,1,,0,,0.666666667,,,16044.9627,19024.83536,21697.50349,5276.019796,9095.061009,4378.624498,18891.37975,24325.99318,29841.09329,23028.9637,20282.80318,24625.78919,40053.56464,36024.58851,34810.14277,28679.92732,,32196.75435,,33961.50452,,34035.37746,,35713.15606,,33189.87452,,34613.46106,,34705.06236,,35574.01521,,41199.4002,,33697.18527,,7359.995272,,8006.294207,,,,1,0,1,0,0
955,26,24,5,5,5,1,18,0,1,0,45.546,0,0,,,,0,1,1,2,1,2,1,1,20056.20337,30045.5391,15876.22206,10062.80867,15817.49741,37218.30823,46178.92828,32840.0908,43766.93682,53542.34059,57160.62715,56287.51815,48398.05727,49633.8775,71485.11462,63397.73407,,68686.40928,,76073.77012,,143995.8277,,,,315224.3893,,122821.9586,,73616.79894,,111804.0478,,96939.76517,,117004.1155,,66239.95745,,115646.4719,,,,,,0,0,0,0,0
956,30,29,5,5,6,1,18,0,1,0,55.543,2,1,37,37,,0,1,1,1,1,2,0,1,7938.111032,3645.250041,23229.12476,24082.43474,20990.42195,32434.65758,30636.85578,34159.62948,30792.98302,30782.23649,30040.17348,32021.85645,31080.48462,37736.74647,,25757.40348,,47546.10632,,45816.85427,,35713.15606,,41487.34315,,3349.68978,,41015.0737,,50820.02172,,72704.82387,,70202.46932,,45999.97045,,23129.29438,,4264.603445,,,,,,0,0,0,0,0
957,29,27,5,5,5,1,18,1,0,0,26.602,2,1,20,20,,0,0,1,3,1,6,2,1,815.3848776,1208.90873,16507.41436,1771.591612,15536.20098,13925.84354,23028.9637,27289.58974,29902.74402,35046.86906,32021.85645,34188.53308,31698.86703,,24326.43662,,25422.22382,,35344.43043,,38791.87641,,37931.28516,,42429.40388,,45221.74792,,43705.21868,,43622.89432,,40249.41574,,45079.97104,,48037.76524,,42646.03445,,,,,,,0,0,0,0,0
958,41,37,5,2,5,1,18,0,0,1,41.439,4,1,30,30,,0,1,1,1,1,1,0,0.666666667,2646.037011,11990.95408,5649.106217,10946.56124,12594.25317,32029.22436,33819.90573,28786.20462,34480.76541,31661.72896,35046.86906,30420.76363,38850.60577,37736.74647,,37205.13836,,36678.42488,,40580.64235,,46796.54932,,41487.34315,,46895.65692,,44170.07936,,44721.61912,,5816.38591,,,,,,,,,,,,,,0,0,0,0,0
959,27,23,7,6,6,1,18,1,0,0,96.442,2,1,26,26,,0,0,1,3,1,3,3,0.666666667,10362.37174,7511.384774,4762.866619,2877.82898,6778.92746,14668.39207,10069.10541,8311.381005,33223.08386,32624.36524,46097.27996,51010.56332,52570.30359,49313.65894,51282.79962,52831.44505,,52945.77382,,47546.10632,,43198.74831,,38176.13234,,41487.34315,,61410.97931,,68358.45616,,69115.22954,,68827.23327,,74882.63394,,80959.94799,,90738.00101,,67380.73443,,,,0,0,0,0,0
960,28,26,7,6,6,1,18,1,0,0,88.979,2,1,,,,0,0,1,3,1,3,3,0.666666667,7908.748704,7881.524096,7136.743462,4054.332197,5968.218658,5757.240924,12907.23839,33420.7139,13351.18821,,12432.19385,1811.36383,,21464.5029,,4618.764614,,5105.306618,,18472.3221,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
961,29,26,7,6,7,1,18,1,0,0,88.914,4,1,30,30,,1,0,1,3,1,3,3,0.666666667,,,,334.2700562,2403.643128,19051.46648,16787.33571,15591.53316,24082.43474,20990.42195,34461.82368,29841.09329,30705.28493,40565.60637,51010.56332,70093.73812,144618.7092,156875.6381,96606.07096,,42929.0058,,35319.9647,,39271.58937,,29555.71536,,53340.86976,,56944.72627,,68358.45616,,81312.03475,,77551.81213,,84242.96319,,68079.95627,,73835.82435,,24120.59708,0,0,0,0,0
962,20,21,3,5,9,1,18,1,0,0,67.25,3,1,19,19,0,0,0,1,3,1,3,3,0.666666667,19185.52653,7908.748704,21893.12249,20990.42195,36488.98978,39788.12439,57572.40924,36877.82397,49251.57838,31709.07201,35224.0421,46309.92208,49812.50534,,45790.93952,,50263.02668,,54980.22512,,64037.38328,,71121.15968,,69226.92213,,59945.10771,,60984.02607,,66888.43796,,65522.3047,,66239.95745,,71167.05962,,66101.35339,,,,,,,1,1,0,0,1
963,21,22,3,5,5,1,18,1,0,0,51.978,1,1,18,18,0,0,0,1,3,1,3,3,0.666666667,,4345.510731,14421.85877,10584.14804,11871.04454,18077.13989,28461.05924,31485.63292,34461.82368,35809.31195,36270.61782,,,,,,24151.51774,,28619.3372,,23093.82307,,26181.05958,,22166.78652,,23707.05323,,36846.58758,,35756.73091,,36590.41564,,37806.50841,,34633.2182,,24839.98404,,23129.29438,,25587.62067,,,0,1,0,1,0
964,23,24,3,5,5,0,16,1,0,0,28.308,0,1,24,24,1,0,0,1,3,1,3,3,0.666666667,,3342.700562,6009.107819,10584.14804,,,13354.80472,16372.52912,,,,,,,,,,,12163.21831,,101884.5135,,31417.2715,,36944.6442,,37931.28516,,,,60996.77627,,10164.00434,,10663.37417,,8985.916073,,7911.994917,,7116.705962,,,,,0,0,0,0,0
965,33,30,4,5,5,1,18,0,1,0,10.95,3,1,25,25,,0,1,1,1,1,7,5,0.666666667,,,46797.80787,36054.64691,39690.55516,,,,82679.17301,60814.98296,118144.8671,76763.21232,,58046.50309,,,26418.41193,27170.45746,,28619.3372,,32603.04434,,17017.68873,,73889.2884,,61638.33839,,53595.03649,,62048.44482,,60984.02607,,53316.87084,,16848.59264,,64399.95863,,,,,,0,0,0,0,0
966,40,31,4,5,5,1,18,0,1,0,18.824,4,1,21,21,0,0,1,1,1,1,7,4,0.666666667,11532.31694,25538.70823,23814.3331,28778.2898,31634.99482,30650.37148,27287.54853,30407.49148,29841.09329,32624.36524,36877.82397,40456.65367,8344.492633,,,,,6994.566011,,19018.44253,,31417.2715,,37141.6823,,40301.99049,,39079.7141,,34705.06236,,40656.01738,,31505.42368,,37441.31697,,44159.97163,,37006.871,,36675.58962,,,,0,0,0,0,0
967,38,35,4,5,5,1,18,1,0,0,17.834,3,1,24,24,0,0,1,1,1,1,7,4,0.666666667,12470.59225,20336.78238,23425.64106,35683.71731,32434.65758,11936.43732,30705.28493,23970.58558,24625.78919,35046.86906,35224.0421,37296.58154,39246.21633,,,,31244.58415,,43198.74831,,34481.66792,,45043.40113,,33496.8978,,51111.09184,,43456.20057,,48469.88258,,47737.67914,,45999.97045,,45369.00051,,,,,,,,,0,0,0,0,0
968,38,34,4,2,5,1,18,0,1,0,43.365,3,1,40,40,,0,0,1,3,1,6,0,1,,,10028.10169,6009.107819,9261.129537,6235.296123,2259.642487,3283.968373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
969,25,21,5,5,5,1,18,0,1,0,44.379,2,1,24,24,0,0,1,1,1,1,4,3,1,,,4679.780787,9013.661729,1323.018505,5276.019796,2259.642487,24082.43474,30436.11182,30002.05826,33819.90573,32624.36524,16595.02079,,37550.21685,38426.22774,54390.84808,52831.44505,,50083.8401,,47546.10632,,68070.75491,,56648.45444,,,,,,,,,,30245.20673,,23400.82311,,22999.98522,,,,19190.7155,,1,0,1,0,0
970,25,23,5,5,5,,17,0,1,0,57.553,4,1,27,27,,0,1,1,1,1,4,3,1,,,13370.80225,7874.935797,11907.16655,8393.667857,15139.60466,21893.12249,39881.8017,50679.15247,25862.28085,44138.84709,27658.36798,61564.47297,28371.27495,48032.78468,76147.18732,24151.51774,,8585.80116,,33961.50452,,78543.17874,,,,100754.9762,,83742.24451,,36808.39947,,24393.61043,,29081.92955,,28080.98773,,64399.95863,,8895.882452,,59.70444823,,0,0,0,0,0
971,30,24,5,5,5,0,17,0,1,0,53.275,4,1,30,30,0,0,1,1,1,1,4,2,1,,,31.48563292,,,44138.84709,44253.38876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
972,31,26,5,5,5,0,16,0,1,0,57.315,2,0,,,0,0,1,1,1,1,4,2,1,,16713.50281,15022.76955,21168.29608,16787.33571,13557.85492,10946.56124,,,15915.24975,15352.64246,14751.12959,14071.87954,30040.17348,36825.13492,40404.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
973,35,36,5,5,5,1,18,0,1,0,65.073,3,0,,,,0,0,1,3,,2,0,1,,,,15876.22206,14389.1449,2259.642487,13135.87349,,12162.99659,,13433.56216,14751.12959,21107.81931,25033.4779,,,,,,,,,,,,,,,28472.36313,,24188.3768,,25410.01086,,,,,,,,,,,,,0,0,0,0,0
974,14,20,5,5,10,2,16,1,0,0,66.668,2,1,26,26,0,0,1,1,2,1,2,2,0.333333333,,,,3676.970618,2704.098519,15876.22206,19185.52653,4519.284974,1970.381024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1
975,,20,,,5,2,13,1,0,0,,2,1,20,20,0,0,1,1,1,1,2,2,0.666666667,23398.90393,24036.43128,27783.38861,23981.90816,15817.49741,21893.12249,31485.63292,30407.49148,33819.90573,34543.44555,,,,1601.092823,7770.121155,,,50083.8401,,48904.5665,,43198.74831,,46796.54932,,54526.22242,,43545.96714,,39963.40514,,31508.41347,,,,45865.61329,,50599.96749,,69387.88313,,32410.98618,,,,1,0,1,0,0
976,36,32,5,4,9,1,18,1,0,0,62.466,2,0,,,0,0,1,1,1,1,3,1,0.666666667,10791.85867,22596.42487,26271.74699,,38516.15588,32626.262,34543.44555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
977,37,35,5,4,5,1,18,1,0,0,90.864,2,1,20,20,,0,1,1,2,1,3,1,1,,,20056.20337,7210.929383,,,,,,,,,,5276.954826,2002.678232,9606.556936,5439.084808,8679.451688,,2861.93372,,8558.299138,,,,8004.67291,,17780.28992,,,,2103.337113,,7927.923389,,8142.940274,,,,6439.995863,,10675.05894,,2047.009653,,0,0,0,0,0
978,22,22,5,4,7,1,18,1,0,0,20.867,4,1,23,23,0,0,1,1,1,1,4,2,1,3082.672311,23319.52417,,1129.821243,,,,,30705.28493,,,60914.79622,,,,,,,,,,,,,,,,,,,,,,,,,,,11564.64719,,,,,,,0,0,0,0,0
979,36,34,5,2,5,1,18,0,0,0,41.411,1,1,32,32,1,0,0,1,3,,7,0,0.333333333,,,,21059.01354,21031.87737,18561.94963,23125.75404,23500.28186,22549.91616,3148.563292,26675.47869,26856.98396,24948.044,25814.47678,31837.62745,31709.07201,33622.94928,34188.53308,31698.86703,,25757.40348,,27118.94059,,29694.55778,,34481.66792,,37931.28516,,38968.05778,,42688.27837,,23885.41021,,17449.15773,,27144.9548,,22608.06548,,24837.30381,,25204.65928,0,0,0,0,0
980,36,34,2,4,5,1,18,1,0,0,40.748,5,1,21,21,,0,0,1,3,1,5,2,1,10028.10169,36054.64691,52920.74021,43167.43469,27115.70984,17514.49799,20990.42195,24325.99318,25862.28085,76763.21232,51628.95356,35179.69884,25033.4779,,34188.53308,30189.39717,,25757.40348,,33961.50452,,,,30787.2035,,41487.34315,,66993.79561,,73616.79894,,71148.03041,,,,,,,,80062.94207,,4264.603445,,,,0,0,0,0,0
981,37,36,2,4,5,1,18,1,0,0,21.246,3,1,23,23,0,0,0,1,3,1,5,2,1,,8757.248996,5247.605487,10190.56398,17904.65597,23028.9637,27658.36798,31661.72896,31709.07201,30420.76363,31546.69189,30189.39717,,38636.10522,,36678.42488,,52362.11916,,55416.9663,,54526.22242,,51361.90996,,48376.75359,,48247.51222,,46531.08728,,43057.51452,,45999.97045,,51596.11822,,51175.24134,,,,,,,,0,0,0,0,0
982,40,38,2,4,5,1,18,1,0,0,55.097,4,1,41,41,0,0,0,1,3,1,5,1,1,,,,10028.10169,18027.32346,19051.46648,20624.44102,7908.748704,19493.63626,24138.98524,26758.5925,10145.97172,,,,166.8898527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
983,,,5,6,6,,,1,0,0,,2,0,,,,0,1,1,1,1,1,1,1,7194.572449,23687.83219,39407.62048,10747.09604,15203.74574,29841.09329,29170.02068,22126.69438,130662.6785,51735.85433,33366.77443,42657.96514,45284.09576,,25757.40348,,20376.90271,,19635.79469,,34629.4465,,32004.52186,,30147.20802,,22085.03968,,32524.8139,,38775.90607,,65522.3047,,62559.95981,,65829.53015,,85292.06889,,,,,,,0,0,0,0,0
984,55,43,10,5,7,1,18,1,0,0,37.731,2,1,33,33,,0,0,1,3,,7,0,1,,,,,,1259.425317,4459.765417,4177.753061,12577.65234,11800.90367,13192.38707,7827.13409,11047.54048,21756.33923,29434.66224,,38636.10522,,62489.16831,,,,70194.82398,,28448.46387,,3014.720802,,13671.69123,,,,4846.988258,,14040.49386,,22079.98582,,20460.52964,,18764.25516,,,,,0,0,0,0,0
985,19,20,5,6,6,1,18,1,0,0,52.705,2,1,27,27,,0,0,1,3,1,6,5,1,,13520.49259,6615.092526,719.4572449,,613.0074297,,4054.332197,1193.643732,1151.448185,1106.334719,1055.390965,10013.39116,6404.371291,4662.072693,15849.43352,,20033.53604,,16301.52217,,13090.52979,,25861.25094,,21336.3479,,22063.29002,,16826.6969,,,,14540.96477,,7020.246932,,11039.99291,,16012.58841,,16205.49309,,,,1,1,0,0,1
986,48,32,6,5,7,1,18,1,0,0,51.322,1,0,,,1,0,1,1,1,1,,,1,330.7546263,1342.986857,,1860.915412,1093.600983,,,2974.574477,2765.836798,2638.477413,,15210.38182,2331.036346,18868.37323,,17171.60232,,,,,,10159.77716,,5926.763307,,8374.224451,,1577.502834,,680.9882911,,,,1404.049386,,1195.999232,,,,,,,,,,0,0,0,0,0
987,31,29,7,5,7,1,18,1,0,0,86.122,2,1,32,32,,0,1,1,2,1,3,0,1,3163.499482,3283.968373,3358.467512,6081.498296,6962.921768,24948.044,25814.47678,56287.51815,31709.07201,86459.01243,69931.09039,83020.84223,,100167.6802,,67923.00903,,124360.033,,129306.2547,,,,78159.42821,,52583.42782,,45738.01955,,63010.84736,,37441.31697,,32199.97931,,,,,,,,,,,,0,0,0,0,0
988,30,26,,,6,1,18,1,0,0,5.508,2,1,33,33,0,0,0,1,1,1,0,,0.666666667,25070.25421,15022.76955,14553.20356,15588.24031,17444.44,17514.49799,19521.09241,26353.15928,39788.12439,37422.06601,36877.82397,35179.69884,36715.76759,46431.69186,49728.77539,58869.32449,,45790.93952,,48904.5665,,,,51722.50188,,49784.81178,,62527.54257,,60996.77627,,53869.22303,,51378.07554,,56161.97546,,55199.96454,,48927.35349,,38381.431,,,,0,0,0,0,0
989,,,6,5,6,,,1,0,0,67.749,3,0,,,0,0,0,1,2,1,8,4,1,,,3004.55391,1905.146648,256.6064174,,1455.892646,7758.059952,17068.73855,9947.031097,383.8160616,,,333.7797053,17612.02105,23310.36346,21132.57802,,,,20376.90271,,,,,,,,,,,,,,7270.482387,,1404.049386,,459.9997045,,8895.882452,,5117.524134,,,0,0,0,0,0
990,37,31,7,5,5,1,18,1,0,0,60.136,5,1,25,25,,0,1,1,2,1,8,5,1,,5014.050843,9915.027901,,,,,,,45756.34304,49896.08801,59004.51835,,,51234.97033,51282.79962,54039.02094,,52945.77382,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
991,40,35,6,5,5,1,18,1,0,0,38.234,6,0,,,0,0,1,1,1,1,8,3,1,,,23398.90393,25538.70823,26460.37011,35972.86225,29375.35233,48164.86948,55624.61816,60814.98296,118144.8671,109625.5435,115862.7474,130662.6785,135983.5209,88060.10525,77701.21155,105662.8901,,198582.426,,201011.3529,,130905.2979,,135463.6954,,112608.5028,,139570.4075,,157750.2834,,,,145409.6477,,149765.2679,,137999.9113,,142334.1192,,413350.1006,,0,0,0,0,0
992,32,29,7,7,5,1,18,0,1,0,24.577,3,1,18,18,0,0,0,1,3,1,6,2,1,,8356.751405,10215.48329,24872.7479,9592.763265,27115.70984,28461.05924,29386.59073,30407.49148,29841.09329,,,,34045.52994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
993,,42,2,6,4,,,1,0,0,90.719,,0,,,,0,0,1,,1,0,,1,,,,8691.021461,6009.107819,14182.75838,7194.572449,21762.61679,21893.12249,5755.573698,8108.664395,16909.95286,26867.12431,26736.42238,32541.22143,30874.62274,30420.76363,34188.53308,30189.39717,,40067.07208,,37357.65497,,34035.37746,,36944.6442,,42672.69581,,,,,,50820.02172,,,,,,,,,,,0,0,0,0,0
994,23,21,4,5,6,0,14,1,0,0,51.447,3,1,20,20,,0,,1,,1,4,4,0.666666667,7456.820206,8757.248996,16792.33756,14798.31252,27851.68707,51815.16832,64536.19195,130662.6785,73431.53517,91262.29089,82363.28424,90568.19152,,198582.426,,,,,,290631.2011,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0
995,37,32,4,,5,0,15,1,0,0,83.931,2,1,15,15,0,0,0,1,,1,4,0,0.666666667,23981.90816,36154.27979,40502.2766,35683.71731,42570.48807,29045.3308,36462.52585,42409.49757,43974.62355,46729.15875,29620.21722,47397.73904,51321.9752,,55092.22411,,63847.62849,,65452.64895,,49259.5256,,47414.10645,,50245.3467,,56790.10204,,54885.62346,,60102.6544,,59906.10716,,57039.96336,,55154.4712,,56719.22581,,,,,,,0,0,0,0,0
996,26,30,6,5,5,1,18,1,0,0,30.891,2,1,18,18,,0,0,1,3,1,2,,1,2249.131459,9381.722474,13557.85492,16419.84187,21830.03883,19258.07794,,30705.28493,14751.12959,,22029.46055,,14018.85259,,,,,,,,,,,,,,,,,,,,,,,,,11208.81189,,,,,,,,0,0,0,0,0
997,20,20,5,5,5,0,17,1,0,0,78.723,2,1,25,25,,0,1,1,1,1,1,1,1,4067.356476,3283.968373,,,,,,,21695.68085,19213.11387,,,,,,1358.460181,,126.978139,,295.5571536,,100.7549762,,27914.0815,,23662.54252,,,,24234.94129,,,,22999.98522,,,,,,,,,,,,1,1,0,0,1
998,29,21,2,5,5,1,18,1,0,0,92.133,4,1,19,19,0,0,1,1,1,1,3,1,0.333333333,7353.941236,,6085.885124,9592.763265,19206.96114,39407.62048,18891.37975,22298.82709,9947.031097,9595.40154,,13192.38707,5006.69558,8005.464114,31080.48462,45284.09576,,43644.48923,,46187.64614,,44507.80129,,39407.62048,,47414.10645,,44662.5304,,48376.75359,,43705.21868,,44592.29198,,48673.71206,,47839.96927,,48927.35349,,46057.7172,,,,1,0,1,0,0
999,48,43,2,4,7,0,9,1,0,0,67.602,2,1,19,19,0,0,1,,1,,9,1,0.666666667,,,13738.62632,13135.87349,4198.084389,,,,,1231.289459,35046.86906,,,,,1430.96686,,,,,,,,23707.05323,,22331.2652,,21033.37113,,36590.41564,,63980.24501,,28080.98773,,,,7116.705962,,3070.51448,,,,,,0,0,0,0,0
1000,,17,5,7,6,0,6,1,0,0,67.877,2,1,19,19,,0,1,0,1,1,4,3,1,5682.590955,7511.384774,18522.25907,17027.1548,22596.42487,26271.74699,29386.59073,32434.65758,33819.90573,47977.0077,12907.23839,12312.89459,2162.892491,,466.2072693,15094.69859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0
1001,29,15,5,5,6,1,18,1,0,0,16.807,2,0,,,0,0,0,1,,1,6,2,0.666666667,3274.963761,2907.994675,4556.562551,677.892746,7005.799197,21410.23039,26353.15928,32128.91044,46057.92739,46466.0582,16886.25544,,,,,,31481.27092,,38716.11515,,47125.90725,,49259.5256,,55711.57508,,58061.28953,,71513.46183,,51836.42216,,63010.84736,,68330.40347,,70839.95449,,72056.64786,,72498.25856,,,,,1,0,1,0,0
1002,28,18,5,4,5,0,13,1,0,0,5.271,3,0,,,,0,,1,,1,5,1,0.333333333,1129.821243,394.0762048,2623.802743,3040.749148,9947.031097,19190.80308,25814.47678,28143.75907,30373.95319,32021.85645,32634.50885,33208.33689,,,,,,10472.42383,,17240.83396,,21336.3479,,20656.42031,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0
