R0000100,dad_age,mom_age,f_HGC,m_HGC,HGC,reside_parent_type,age_stopped_living_w_parent,urban_at_14,rural_at_14,farm_at_14,AFQT,desire_child_#,ever_married,married_age,1st_marry_age,abort_#,foreign_lang_child,female_work_14,male_work_14,mother_work_1978,father_work_1978,#sibling,#sibling_school,cultural_influence,income_18,income_19,income_20,income_21,income_22,income_23,income_24,income_25,income_26,income_27,income_28,income_29,income_30,income_31,income_32,income_33,income_34,income_35,income_36,income_37,income_38,income_39,income_40,income_41,income_42,income_43,income_44,income_45,income_46,income_47,income_48,income_49,income_50,income_51,income_52,income_53,income_54,income_55,income_56,income_57,income_58,income_59,income_60,income_61,income_62,teen_mom,teen_dad,teen_mom_not_teen_dad,teen_dad_not_teen_mom,teen_dad_and_teen_mom
15,29,28,4,5,7,1,18,1,0,0,82.26,2,1,29,29,,0,1,1,2,1,1,1,0.666666667,2033.678238,2846.105924,4617.892828,2432.599318,15915.24975,4797.70077,,,3337.797053,48032.78468,40404.63,45284.09576,,54376.74068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
16,35,27,4,5,6,1,18,1,0,0,50.283,4,1,29,29,2,0,0,1,1,1,3,1,1,,,27410.14461,33050.093,18522.25907,28298.65163,35024.45855,35028.99598,40931.3228,46624.82027,53713.96792,65248.73047,67302.02875,63323.45792,58411.44843,60040.98085,52836.82385,42265.15604,,35774.1715,,29886.12397,,49744.0132,,48028.03746,,77047.92299,,79275.99147,,69410.12472,,65049.6278,,67857.83562,,69266.4364,,91999.9409,,80062.94207,,79321.62407,,0,0,0,0,0
17,,44,4,5,6,0,12,1,0,0,89.669,2,1,43,43,,0,1,,1,,2,0,1,,,,33427.00562,40411.25008,39690.55516,38371.05306,36154.27979,39407.62048,37782.75951,32434.65758,39788.12439,46057.92739,49785.06236,56287.51815,20026.78232,24016.39234,18648.29077,24261.70904,,28619.3372,,23773.05316,,62834.54299,,94824.58678,,73491.865,,48012.22018,,52583.42782,,50820.02172,,58163.8591,,63650.23885,,67159.95686,,61381.58892,,65674.89305,0,0,0,0,0
18,49,43,4,5,6,0,1,1,0,0,95.977,3,1,21,21,,0,0,,3,,2,0,1,,,15042.15253,15022.76955,31752.44413,35972.86225,38413.92228,54732.80622,62971.26584,67727.61936,55703.37414,109625.5435,115862.7474,130662.6785,135983.5209,144618.7092,156875.6381,153442.1395,,114477.3488,,100526.0534,,157086.3575,,290631.2011,,94828.21291,,133987.5912,,105166.8556,,60984.02607,,145409.6477,,141340.9716,,110399.9291,,133438.2368,,153525.724,,0,0,0,0,0
19,37,35,4,4,5,1,18,1,0,0,,2,1,21,21,1,0,0,1,1,1,3,0,1,,,,13370.80225,25538.70823,26460.37011,21583.71735,,,,1013.583049,11936.43732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
20,29,27,4,5,8,1,18,1,0,0,67.021,2,1,28,28,0,0,0,1,2,1,2,2,1,,4011.240674,3605.464691,3969.055516,19185.52653,45192.84974,45975.55723,41980.84389,48651.98637,53713.96792,53734.24863,55316.73596,59805.48803,40053.56464,56038.24879,59052.92078,61586.37024,,65824.47556,,65206.08867,,68070.75491,,55416.9663,,87716.09694,,71460.04865,,92546.83296,,,,111480.7299,,104835.6875,,116839.9249,,,,,,,0,0,0,0,0
21,31,28,4,5,7,1,18,1,0,0,88.416,3,1,31,31,0,0,0,1,2,1,2,2,1,5819.820923,8731.922135,4796.381633,13557.85492,17295.56677,15008.15169,26403.83844,36804.01506,41739.9967,51628.95356,52769.54826,53404.75285,56038.24879,63714.99347,76228.22786,,79418.66073,,74715.30993,,107342.3443,,135463.6954,,118535.2661,,312432.2652,,323727.77,,317446.2493,,333307.9946,,346626.0963,,119599.9232,,,,23881.77929,,,,,0,0,0,0,0
22,39,37,4,5,7,1,18,1,0,0,89.167,4,1,24,24,0,1,0,1,3,1,1,0,1,4796.381633,5649.106217,9414.04267,9025.881437,17920.14831,18899.35908,35502.9857,30424.20478,27264.2666,27036.15613,28179.23368,27817.03373,26717.6165,,21464.5029,,47546.10632,,47125.90725,,43102.0849,,11853.52661,,50580.31568,,47956.08617,,40656.01738,,38775.90607,,9641.13912,,38823.97506,,,,,,,,,,,0,0,0,0,0
23,31,31,4,5,10,,,1,0,0,83.214,0,0,,,,0,0,1,2,1,2,1,1,,,15376.42258,25238.25284,8731.922135,6714.934286,,,,,,,,,83444.92633,72049.17702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
24,,36,4,5,5,1,18,1,0,0,66.029,4,1,25,25,,0,0,1,2,1,2,0,1,5994.085049,5027.47032,21104.07918,13772.52096,,8396.168779,16217.32879,35809.31195,46057.92739,55316.73596,52769.54826,,17612.02105,49728.77539,52831.44505,,45790.93952,,46187.64614,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
