,(1),
,income_18,
,,
hgc,-7.60,
,(123.72),
,,
teen_mom,-666.59**,
,(318.10),
,,
outgoingnesswhenadulthighermore,264.28,
,(185.29),
,,
sf12mentalscore,5.68,
,(16.34),
,,
sf12physicalscore,-1.58,
,(16.99),
,,
_cons,6305.07***,
,(1328.27),
,,
N,3675,
,,
Standard errors in parentheses,,
"=""* p<0.1", ** p<0.05," *** p<0.01"""
