C0000100,C0000200,dad_distance
52801,528,55
52802,528,55
52901,529,55
52902,529,55
52903,529,0
53001,530,0
53002,530,0
53003,530,0
53201,532,55
53202,532,0
53301,533,0
53601,536,5
53602,536,0
54201,542,0
54202,542,0
54401,544,5
54601,546,100
54602,546,55
54801,548,5
54802,548,5
54803,548,5
54804,548,0
55001,550,5
55002,550,5
55201,552,0
55202,552,0
55701,557,0
55702,557,0
55703,557,0
55704,557,0
55801,558,0
55802,558,0
55803,558,0
56301,563,0
56302,563,0
56303,563,0
56701,567,5
56702,567,5
56801,568,5
57201,572,0
57401,574,5
57601,576,5
57602,576,5
57603,576,5
57604,576,0
57901,579,0
57902,579,0
58201,582,55
58501,585,5
58502,585,5
58503,585,5
58504,585,5
58505,585,
58801,588,5
58802,588,5
58803,588,55
58804,588,0
58901,589,55
58902,589,0
59001,590,55
59002,590,55
59003,590,5
59004,590,5
59301,593,0
59302,593,5
60401,604,5
60402,604,0
60403,604,100
60404,604,0
60801,608,0
60802,608,
60803,608,0
61101,611,5
61102,611,5
61401,614,0
61402,614,0
61501,615,0
61502,615,0
61801,618,55
61802,618,55
61803,618,5
61901,619,5
61902,619,5
61903,619,55
61904,619,5
61905,619,5
61906,619,5
62101,621,55
62102,621,55
62103,621,55
62201,622,5
62202,622,1
62203,622,0
62301,623,55
62302,623,55
62701,627,55
62702,627,55
62703,627,55
62704,627,55
63201,632,55
63202,632,5
63203,632,5
63401,634,5
63402,634,0
63403,634,0
63501,635,0
63502,635,5
64001,640,5
64002,640,0
64201,642,0
64202,642,0
64301,643,
64801,648,55
65001,650,55
65002,650,55
65401,654,55
65601,656,0
65602,656,0
65701,657,0
65702,657,0
66001,660,0
66002,660,0
66003,660,0
66201,662,5
66202,662,0
66401,664,55
66402,664,0
66501,665,0
66502,665,0
66801,668,55
66802,668,5
66803,668,5
66804,668,55
66805,668,0
67701,677,55
67702,677,55
67703,677,55
67704,677,5
68801,688,5
68802,688,5
68901,689,5
68902,689,55
68903,689,0
69101,691,0
69102,691,0
69103,691,0
69201,692,5
69202,692,55
69401,694,0
69402,694,0
69403,694,1
69404,694,1
69601,696,55
69801,698,55
69802,698,55
70301,703,100
70302,703,5
70303,703,55
70401,704,0
70402,704,1
70601,706,100
70602,706,55
70603,706,55
70604,706,55
70605,706,55
70801,708,55
71201,712,0
71202,712,0
71301,713,5
71302,713,5
72001,720,5
72002,720,5
72101,721,100
72102,721,100
72401,724,55
72402,724,55
72601,726,55
72602,726,55
72603,726,55
73301,733,
73302,733,0
73303,733,0
73304,733,0
73601,736,0
73602,736,1
73901,739,55
73902,739,55
73903,739,55
74001,740,5
74301,743,55
74302,743,55
74401,744,5
74402,744,55
74601,746,0
74602,746,0
75201,752,55
75202,752,55
75501,755,5
75502,755,5
75503,755,5
75601,756,5
75602,756,5
75603,756,55
75604,756,55
75605,756,55
75701,757,55
75702,757,1
75801,758,5
75901,759,100
75902,759,5
75903,759,5
75904,759,5
76101,761,5
76102,761,5
76103,761,5
76401,764,5
76402,764,5
76403,764,5
76404,764,5
76405,764,5
76801,768,0
76802,768,55
76803,768,5
76804,768,5
77001,770,5
77002,770,5
77501,775,0
77502,775,0
77503,775,0
77901,779,55
78301,783,0
78501,785,0
78701,787,0
78801,788,0
78901,789,0
79001,790,5
79201,792,55
79202,792,55
79203,792,55
79204,792,55
80101,801,5
80102,801,5
80103,801,5
80301,803,55
80302,803,55
80303,803,55
80304,803,0
80305,803,0
80306,803,0
80401,804,5
80402,804,5
80501,805,0
81001,810,0
81101,811,0
81201,812,0
81202,812,0
81203,812,0
81204,812,0
81401,814,1
81402,814,1
81601,816,1
81602,816,1
82001,820,0
82401,824,0
82801,828,5
82802,828,5
82901,829,5
82902,829,5
83001,830,5
83101,831,5
83102,831,5
83103,831,55
83104,831,1
83401,834,55
83402,834,5
83403,834,5
83501,835,5
83502,835,0
83601,836,5
83602,836,1
83603,836,55
83901,839,0
84001,840,5
84002,840,100
84101,841,0
84102,841,0
84201,842,5
84301,843,5
84501,845,5
84502,845,0
84503,845,5
84801,848,5
85201,852,0
85401,854,55
85402,854,55
85403,854,55
85404,854,55
85501,855,55
85502,855,0
85601,856,1
85602,856,1
85603,856,
86201,862,
86202,862,0
86601,866,5
86602,866,100
86603,866,55
86701,867,55
86901,869,0
86902,869,0
87501,875,5
87601,876,0
87602,876,0
87603,876,0
87604,876,0
87901,879,55
87902,879,55
88001,880,0
88002,880,0
88003,880,55
88601,886,0
88602,886,0
88701,887,0
88702,887,0
88901,889,0
88902,889,0
89301,893,0
89302,893,0
89303,893,0
89401,894,55
89402,894,55
89403,894,55
89501,895,100
89502,895,0
89601,896,0
89602,896,0
89801,898,0
89802,898,0
89803,898,0
90001,900,0
90002,900,0
90003,900,0
90004,900,0
90401,904,0
90601,906,5
90602,906,5
90603,906,5
91201,912,0
91202,912,0
91401,914,0
91402,914,0
91801,918,55
92301,923,55
92302,923,55
92303,923,55
92801,928,5
92802,928,5
93001,930,5
93002,930,5
93003,930,5
93004,930,5
93201,932,5
93202,932,100
93203,932,55
93501,935,0
93502,935,0
93503,935,0
93601,936,0
93602,936,0
93603,936,0
93901,939,5
93902,939,5
93903,939,5
93904,939,5
94001,940,55
94002,940,55
94201,942,5
94202,942,5
94901,949,55
94902,949,55
95001,950,5
95201,952,55
95301,953,5
95302,953,100
95401,954,0
95402,954,55
96201,962,55
96202,962,55
96203,962,55
96401,964,55
96601,966,55
96602,966,55
96701,967,0
96702,967,0
97101,971,55
97102,971,55
97401,974,5
97402,974,
97501,975,5
97502,975,0
97801,978,0
97802,978,0
97901,979,0
97902,979,5
98101,981,5
98102,981,5
98601,986,5
98801,988,55
99201,992,0
99202,992,0
99203,992,0
99501,995,55
99502,995,55
99801,998,0
99802,998,0
99803,998,0
99804,998,0
99805,998,0
99901,999,5
99902,999,5
100501,1005,55
100502,1005,55
100503,1005,55
100504,1005,55
100505,1005,55
100801,1008,0
100901,1009,5
101501,1015,55
101502,1015,55
101503,1015,5
101504,1015,55
101601,1016,0
101701,1017,0
101702,1017,5
101801,1018,0
101802,1018,0
101901,1019,0
101902,1019,
101903,1019,0
102401,1024,5
102501,1025,5
102502,1025,5
102503,1025,5
102504,1025,5
102505,1025,55
103001,1030,55
103002,1030,55
103003,1030,55
103004,1030,55
103301,1033,5
103302,1033,5
103303,1033,100
103304,1033,55
103401,1034,100
103402,1034,5
103403,1034,5
103501,1035,100
103502,1035,55
103601,1036,55
103801,1038,0
103802,1038,0
103901,1039,5
104001,1040,5
104801,1048,1
104802,1048,0
104901,1049,0
104902,1049,0
104903,1049,
105001,1050,0
105601,1056,5
105602,1056,100
105603,1056,5
105701,1057,55
105702,1057,5
105703,1057,55
105704,1057,5
106301,1063,5
106302,1063,5
106501,1065,0
106502,1065,55
106503,1065,0
106901,1069,55
106902,1069,55
107001,1070,100
107002,1070,5
107003,1070,5
107101,1071,0
107102,1071,0
107103,1071,0
107401,1074,5
107601,1076,55
107701,1077,55
107702,1077,55
107703,1077,5
107901,1079,55
108001,1080,0
108002,1080,0
108003,1080,0
108201,1082,0
108202,1082,0
108301,1083,0
108302,1083,5
108601,1086,1
108701,1087,0
108702,1087,0
108703,1087,5
108704,1087,0
108705,1087,0
108801,1088,0
108802,1088,0
108803,1088,0
108804,1088,5
108805,1088,0
108806,1088,0
109001,1090,5
109002,1090,100
109003,1090,55
109301,1093,0
109302,1093,0
109303,1093,1
110101,1101,5
110102,1101,5
110301,1103,0
110401,1104,5
110801,1108,0
110802,1108,0
111001,1110,0
111101,1111,5
111102,1111,0
111201,1112,0
111202,1112,0
111601,1116,5
111602,1116,5
111701,1117,
111702,1117,
111703,1117,
111801,1118,5
112101,1121,0
112102,1121,55
112301,1123,55
112302,1123,55
112303,1123,55
112304,1123,55
112305,1123,55
112601,1126,55
112602,1126,0
112603,1126,0
112801,1128,0
113001,1130,0
113002,1130,0
113101,1131,5
113201,1132,5
113202,1132,55
113301,1133,55
113302,1133,0
113303,1133,0
