"R0000100","T4924900","T4925100","T4925300","T4925600","T4925700"
1,-5,-5,-5,-5,-5
2,0,-4,-4,-4,-4
3,50000,-4,-4,-4,-4
4,-5,-5,-5,-5,-5
5,-5,-5,-5,-5,-5
6,70000,-4,-4,-4,-4
7,-5,-5,-5,-5,-5
8,0,-4,-4,-4,-4
9,80000,-4,-4,-4,-4
10,-5,-5,-5,-5,-5
11,-5,-5,-5,-5,-5
12,-5,-5,-5,-5,-5
13,-5,-5,-5,-5,-5
14,-4,-4,-4,-4,-4
15,358648,-4,-4,-4,-4
16,-4,-4,-4,-4,-4
17,-4,-4,-4,-4,-4
18,-4,-4,-4,-4,-4
19,-5,-5,-5,-5,-5
20,82000,-4,-4,-4,-4
21,105000,-4,-4,-4,-4
22,-4,-4,-4,-4,-4
23,-5,-5,-5,-5,-5
24,-5,-5,-5,-5,-5
25,110000,-4,-4,-4,-4
26,-5,-5,-5,-5,-5
27,-4,-4,-4,-4,-4
28,-5,-5,-5,-5,-5
29,-2,-2,-2,-4,0
30,0,-4,-4,-4,-4
31,25000,-4,-4,-4,-4
32,-5,-5,-5,-5,-5
33,-4,-4,-4,-4,-4
34,-4,-4,-4,-4,-4
35,-5,-5,-5,-5,-5
36,-4,-4,-4,-4,-4
37,120000,-4,-4,-4,-4
38,30000,-4,-4,-4,-4
39,35000,-4,-4,-4,-4
40,88700,-4,-4,-4,-4
41,8000,-4,-4,-4,-4
42,60000,-4,-4,-4,-4
43,-4,-4,-4,-4,-4
44,358648,-4,-4,-4,-4
45,-5,-5,-5,-5,-5
46,-5,-5,-5,-5,-5
47,95000,-4,-4,-4,-4
48,-5,-5,-5,-5,-5
49,68000,-4,-4,-4,-4
50,70000,-4,-4,-4,-4
51,-5,-5,-5,-5,-5
52,-4,-4,-4,-4,-4
53,-4,-4,-4,-4,-4
54,0,-4,-4,-4,-4
55,-5,-5,-5,-5,-5
56,-5,-5,-5,-5,-5
57,-4,-4,-4,-4,-4
58,53000,-4,-4,-4,-4
59,-2,-2,-2,-4,-4
60,-5,-5,-5,-5,-5
61,0,-4,-4,-4,-4
62,-4,-4,-4,-4,-4
63,175000,-4,-4,-4,-4
64,-5,-5,-5,-5,-5
65,-5,-5,-5,-5,-5
66,-4,-4,-4,-4,-4
67,0,-4,-4,-4,-4
68,100000,-4,-4,-4,-4
69,45000,-4,-4,-4,-4
70,-4,-4,-4,-4,-4
71,-4,-4,-4,-4,-4
72,-4,-4,-4,-4,-4
73,120000,-4,-4,-4,-4
74,-5,-5,-5,-5,-5
75,75000,-4,-4,-4,-4
76,50000,-4,-4,-4,-4
77,-4,-4,-4,-4,-4
78,-5,-5,-5,-5,-5
79,-5,-5,-5,-5,-5
80,-4,-4,-4,-4,-4
81,-4,-4,-4,-4,-4
82,-5,-5,-5,-5,-5
83,-4,-4,-4,-4,-4
84,-4,-4,-4,-4,-4
85,-4,-4,-4,-4,-4
86,-4,-4,-4,-4,-4
87,-4,-4,-4,-4,-4
88,34000,-4,-4,-4,-4
89,-5,-5,-5,-5,-5
90,55000,-4,-4,-4,-4
91,50000,-4,-4,-4,-4
92,-4,-4,-4,-4,-4
93,-4,-4,-4,-4,-4
94,-1,-4,-4,-4,-4
95,-4,-4,-4,-4,-4
96,42000,-4,-4,-4,-4
97,70000,-4,-4,-4,-4
