"R0000100","T2085500","T2085700","T2085900","T2086100","T2086200"
1,-5,-5,-5,-5,-5
2,0,-4,-4,-4,-4
3,45000,-4,-4,-4,-4
4,-5,-5,-5,-5,-5
5,-5,-5,-5,-5,-5
6,55000,-4,-4,-4,-4
7,-4,-4,-4,-4,-4
8,-2,400,400,-4,-4
9,15000,-4,-4,-4,-4
10,-5,-5,-5,-5,-5
11,-5,-5,-5,-5,-5
12,-5,-5,-5,-5,-5
13,-5,-5,-5,-5,-5
14,-4,-4,-4,-4,-4
15,289731,-4,-4,-4,-4
16,-4,-4,-4,-4,-4
17,44000,-4,-4,-4,-4
18,-4,-4,-4,-4,-4
19,-5,-5,-5,-5,-5
20,56000,-4,-4,-4,-4
21,78000,-4,-4,-4,-4
22,0,-4,-4,-4,-4
23,-5,-5,-5,-5,-5
24,-5,-5,-5,-5,-5
25,289731,-4,-4,-4,-4
26,-5,-5,-5,-5,-5
27,289731,-4,-4,-4,-4
28,-5,-5,-5,-5,-5
29,82000,-4,-4,-4,-4
30,48000,-4,-4,-4,-4
31,30000,-4,-4,-4,-4
32,-5,-5,-5,-5,-5
33,-4,-4,-4,-4,-4
34,42000,-4,-4,-4,-4
35,-5,-5,-5,-5,-5
36,-4,-4,-4,-4,-4
37,90000,-4,-4,-4,-4
38,40000,-4,-4,-4,-4
39,-1,-4,-4,1,-4
40,63000,-4,-4,-4,-4
41,0,-4,-4,-4,-4
42,50000,-4,-4,-4,-4
43,-4,-4,-4,-4,-4
44,150000,-4,-4,-4,-4
45,-5,-5,-5,-5,-5
46,90000,-4,-4,-4,-4
47,-4,-4,-4,-4,-4
48,-5,-5,-5,-5,-5
49,62000,-4,-4,-4,-4
50,52000,-4,-4,-4,-4
51,-5,-5,-5,-5,-5
52,-5,-5,-5,-5,-5
53,-4,-4,-4,-4,-4
54,-5,-5,-5,-5,-5
55,-5,-5,-5,-5,-5
56,-5,-5,-5,-5,-5
57,51000,-4,-4,-4,-4
58,47000,-4,-4,-4,-4
59,-2,-2,-2,-4,1
60,-5,-5,-5,-5,-5
61,0,-4,-4,-4,-4
62,-4,-4,-4,-4,-4
63,110000,-4,-4,-4,-4
64,-5,-5,-5,-5,-5
65,-5,-5,-5,-5,-5
66,-4,-4,-4,-4,-4
67,0,-4,-4,-4,-4
68,289731,-4,-4,-4,-4
69,18000,-4,-4,-4,-4
70,56000,-4,-4,-4,-4
71,-5,-5,-5,-5,-5
72,-4,-4,-4,-4,-4
73,-4,-4,-4,-4,-4
74,-5,-5,-5,-5,-5
75,80000,-4,-4,-4,-4
76,80000,-4,-4,-4,-4
77,-4,-4,-4,-4,-4
78,-5,-5,-5,-5,-5
79,-5,-5,-5,-5,-5
80,-4,-4,-4,-4,-4
81,-5,-5,-5,-5,-5
82,-4,-4,-4,-4,-4
83,-4,-4,-4,-4,-4
84,-4,-4,-4,-4,-4
85,-4,-4,-4,-4,-4
86,-4,-4,-4,-4,-4
87,-4,-4,-4,-4,-4
88,35000,-4,-4,-4,-4
89,60000,-4,-4,-4,-4
90,38000,-4,-4,-4,-4
91,45000,-4,-4,-4,-4
92,-4,-4,-4,-4,-4
93,0,-4,-4,-4,-4
94,-1,-4,-4,-4,0
95,-4,-4,-4,-4,-4
96,-4,-4,-4,-4,-4
97,58000,-4,-4,-4,-4
98,0,-4,-4,-4,-4
