R0000100,R0011500,R0225400,R0413000,R0658800,R0902700,R1202500,R1601800,R1901800,R2301800,R2502900,R2902900,R3103300,R3503300,R3703300,R7101001,T0011801,spouse_birth_year
59,-4,-4,-4,-4,-4,-4,-4,57,-4,-4,-4,52,-4,-4,-1904,-1904,57
60,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,61,-1905,-1905,61
61,-4,-4,-4,-4,-4,-4,63,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,63
62,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,58,-4,-1904,-1904,58
63,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-1904,-1904,-4
64,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-1905,-1905,-4
65,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-1905,-1905,-4
66,-4,-4,-4,-4,-4,-4,-4,-4,-4,-3,-4,-4,-5,-4,-1904,-1904,-3
67,-4,-4,-4,-4,-4,-4,-5,-5,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
68,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,61,-1904,-1904,61
69,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,69,-1904,69
70,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1905,-4
71,-4,-4,-4,-4,-4,-4,-4,-4,-4,63,-4,-4,-4,-4,-1905,-1905,63
72,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
73,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-5,-5,-5,-1904,-1904,-4
74,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1905,-1905,-4
75,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,62,-1904,-1904,62
76,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
77,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
78,-4,-4,-4,-4,-4,-4,-4,-4,-4,57,-4,-4,-4,-4,-1905,-1904,57
79,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-3,-4,-4,-4,-1904,-1905,-3
80,-4,-4,-4,-4,-4,-5,-4,-5,-5,-4,-4,-4,-4,-4,-1904,-1904,-4
81,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4,-4,-4,-1905,-1904,-4
82,-4,-4,-4,-5,-5,-5,-4,-4,-5,-4,-4,-4,-4,-4,-1905,-1905,-4
83,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
84,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
85,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-1904,-1904,-4
86,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
87,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
88,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
89,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,61,-4,-1904,-1904,61
90,-4,-4,-4,-4,-4,-4,-4,-4,-4,57,-4,-4,-4,-4,-1904,-1904,57
91,-4,-4,-4,-4,-4,-4,62,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,62
92,-4,-4,-4,-4,-4,-4,-4,62,62,-4,-4,-4,-4,-4,-1904,-1904,62
93,-4,-4,-4,-4,-4,-4,-4,-4,66,-4,-4,-4,-4,-4,-1904,-1904,66
94,-4,-4,-4,-4,-4,-4,-4,51,-4,-5,-4,-4,-4,-4,-1904,-1904,51
95,-4,-4,-4,-4,-4,56,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,56
96,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
97,-4,-4,-4,-4,-4,-4,-4,55,-4,-4,-4,-4,-4,-4,-1904,-1904,55
