"R0000100","R8325800","R8326000","R8326200","R8326400","R8326500"
315,-4,-4,-4,-4,-4
316,25000,-4,-4,-4,-4
317,18600,-4,-4,-4,-4
318,-5,-5,-5,-5,-5
319,-4,-4,-4,-4,-4
320,0,-4,-4,-4,-4
321,72000,-4,-4,-4,-4
322,80000,-4,-4,-4,-4
323,-5,-5,-5,-5,-5
324,-4,-4,-4,-4,-4
325,-5,-5,-5,-5,-5
326,-5,-5,-5,-5,-5
327,-4,-4,-4,-4,-4
328,-5,-5,-5,-5,-5
329,-5,-5,-5,-5,-5
330,-5,-5,-5,-5,-5
331,-4,-4,-4,-4,-4
332,-4,-4,-4,-4,-4
333,72000,-4,-4,-4,-4
334,-5,-5,-5,-5,-5
335,-4,-4,-4,-4,-4
336,-5,-5,-5,-5,-5
337,18000,-4,-4,-4,-4
338,35000,-4,-4,-4,-4
339,-4,-4,-4,-4,-4
340,-5,-5,-5,-5,-5
341,-5,-5,-5,-5,-5
342,30000,-4,-4,-4,-4
343,30000,-4,-4,-4,-4
344,95000,-4,-4,-4,-4
345,-5,-5,-5,-5,-5
346,-4,-4,-4,-4,-4
347,60000,-4,-4,-4,-4
348,92000,-4,-4,-4,-4
349,-1,-4,-4,-4,1
350,61000,-4,-4,-4,-4
351,0,-4,-4,-4,-4
352,65000,-4,-4,-4,-4
353,-5,-5,-5,-5,-5
354,75000,-4,-4,-4,-4
355,11700,-4,-4,-4,-4
356,50000,-4,-4,-4,-4
357,0,-4,-4,-4,-4
358,8000,-4,-4,-4,-4
359,-4,-4,-4,-4,-4
360,150000,-4,-4,-4,-4
361,-5,-5,-5,-5,-5
362,-4,-4,-4,-4,-4
363,-4,-4,-4,-4,-4
364,60000,-4,-4,-4,-4
365,130000,-4,-4,-4,-4
366,-5,-5,-5,-5,-5
367,-4,-4,-4,-4,-4
368,-4,-4,-4,-4,-4
369,60000,-4,-4,-4,-4
370,5000,-4,-4,-4,-4
371,-5,-5,-5,-5,-5
372,-1,-4,-4,-4,-4
373,20000,-4,-4,-4,-4
374,0,-4,-4,-4,-4
375,-4,-4,-4,-4,-4
376,-4,-4,-4,-4,-4
377,-4,-4,-4,-4,-4
378,-4,-4,-4,-4,-4
379,-4,-4,-4,-4,-4
380,9000,-4,-4,-4,-4
381,-4,-4,-4,-4,-4
382,-4,-4,-4,-4,-4
383,-5,-5,-5,-5,-5
384,-5,-5,-5,-5,-5
385,-2,-2,-2,0,-4
386,-1,-4,-4,-4,-4
387,-4,-4,-4,-4,-4
388,-4,-4,-4,-4,-4
389,-5,-5,-5,-5,-5
390,-5,-5,-5,-5,-5
391,25000,-4,-4,-4,-4
392,30000,-4,-4,-4,-4
393,30000,-4,-4,-4,-4
394,-4,-4,-4,-4,-4
395,-4,-4,-4,-4,-4
396,-4,-4,-4,-4,-4
397,-4,-4,-4,-4,-4
398,-4,-4,-4,-4,-4
399,-4,-4,-4,-4,-4
400,-4,-4,-4,-4,-4
401,52000,-4,-4,-4,-4
402,0,-4,-4,-4,-4
403,-2,-2,-2,-4,-4
404,-5,-5,-5,-5,-5
405,29000,-4,-4,-4,-4
406,19000,-4,-4,-4,-4
407,71000,-4,-4,-4,-4
408,3500,-4,-4,-4,-4
409,50000,-4,-4,-4,-4
410,52000,-4,-4,-4,-4
411,-4,-4,-4,-4,-4
412,34500,-4,-4,-4,-4
413,-5,-5,-5,-5,-5
414,50000,-4,-4,-4,-4
415,36000,-4,-4,-4,-4
416,-1,-4,-4,-4,-4
417,22000,-4,-4,-4,-4
418,16008,-4,-4,-4,-4
419,-4,-4,-4,-4,-4
420,-4,-4,-4,-4,-4
421,25000,-4,-4,-4,-4
422,14000,-4,-4,-4,-4
423,-5,-5,-5,-5,-5
424,0,-4,-4,-4,-4
425,-4,-4,-4,-4,-4
426,3000,-4,-4,-4,-4
427,-5,-5,-5,-5,-5
428,-5,-5,-5,-5,-5
429,-5,-5,-5,-5,-5
430,-5,-5,-5,-5,-5
431,50000,-4,-4,-4,-4
432,-5,-5,-5,-5,-5
433,8000,-4,-4,-4,-4
434,21000,-4,-4,-4,-4
435,-5,-5,-5,-5,-5
436,15000,-4,-4,-4,-4
437,62000,-4,-4,-4,-4
438,38000,-4,-4,-4,-4
439,60000,-4,-4,-4,-4
440,-5,-5,-5,-5,-5
441,0,-4,-4,-4,-4
442,65000,-4,-4,-4,-4
443,66000,-4,-4,-4,-4
444,86025,-4,-4,-4,-4
445,-4,-4,-4,-4,-4
446,59000,-4,-4,-4,-4
447,0,-4,-4,-4,-4
448,-5,-5,-5,-5,-5
449,40700,-4,-4,-4,-4
450,-4,-4,-4,-4,-4
451,-5,-5,-5,-5,-5
452,65000,-4,-4,-4,-4
453,17000,-4,-4,-4,-4
454,-5,-5,-5,-5,-5
455,140000,-4,-4,-4,-4
456,-4,-4,-4,-4,-4
457,-4,-4,-4,-4,-4
458,54500,-4,-4,-4,-4
459,96000,-4,-4,-4,-4
460,-4,-4,-4,-4,-4
461,-4,-4,-4,-4,-4
462,53000,-4,-4,-4,-4
463,-4,-4,-4,-4,-4
464,37000,-4,-4,-4,-4
465,150000,-4,-4,-4,-4
466,15000,-4,-4,-4,-4
467,-1,-4,-4,-4,-4
468,30000,-4,-4,-4,-4
469,-4,-4,-4,-4,-4
470,-4,-4,-4,-4,-4
471,90500,-4,-4,-4,-4
472,-4,-4,-4,-4,-4
473,-4,-4,-4,-4,-4
474,-4,-4,-4,-4,-4
475,-4,-4,-4,-4,-4
476,50000,-4,-4,-4,-4
477,-4,-4,-4,-4,-4
478,31000,-4,-4,-4,-4
479,15000,-4,-4,-4,-4
480,55000,-4,-4,-4,-4
481,4200,-4,-4,-4,-4
482,82000,-4,-4,-4,-4
483,18000,-4,-4,-4,-4
484,-4,-4,-4,-4,-4
485,55000,-4,-4,-4,-4
486,125000,-4,-4,-4,-4
487,40000,-4,-4,-4,-4
488,0,-4,-4,-4,-4
489,10000,-4,-4,-4,-4
490,-5,-5,-5,-5,-5
491,-4,-4,-4,-4,-4
492,157000,-4,-4,-4,-4
493,30000,-4,-4,-4,-4
494,-5,-5,-5,-5,-5
495,-4,-4,-4,-4,-4
496,-4,-4,-4,-4,-4
497,-5,-5,-5,-5,-5
498,-5,-5,-5,-5,-5
499,69000,-4,-4,-4,-4
500,41000,-4,-4,-4,-4
501,87500,-4,-4,-4,-4
502,-4,-4,-4,-4,-4
503,100000,-4,-4,-4,-4
504,10000,-4,-4,-4,-4
505,-4,-4,-4,-4,-4
506,-4,-4,-4,-4,-4
507,68000,-4,-4,-4,-4
508,-5,-5,-5,-5,-5
509,-5,-5,-5,-5,-5
510,-5,-5,-5,-5,-5
511,-5,-5,-5,-5,-5
512,-5,-5,-5,-5,-5
513,70000,-4,-4,-4,-4
514,-4,-4,-4,-4,-4
515,-5,-5,-5,-5,-5
516,-5,-5,-5,-5,-5
517,-4,-4,-4,-4,-4
518,-4,-4,-4,-4,-4
519,-4,-4,-4,-4,-4
520,23000,-4,-4,-4,-4
521,-4,-4,-4,-4,-4
522,-5,-5,-5,-5,-5
523,-5,-5,-5,-5,-5
524,-5,-5,-5,-5,-5
525,-5,-5,-5,-5,-5
526,309409,-4,-4,-4,-4
527,-4,-4,-4,-4,-4
528,43000,-4,-4,-4,-4
529,-5,-5,-5,-5,-5
530,0,-4,-4,-4,-4
531,0,-4,-4,-4,-4
532,-5,-5,-5,-5,-5
533,80000,-4,-4,-4,-4
534,0,-4,-4,-4,-4
535,-5,-5,-5,-5,-5
536,-4,-4,-4,-4,-4
537,-5,-5,-5,-5,-5
538,0,-4,-4,-4,-4
539,-5,-5,-5,-5,-5
540,0,-4,-4,-4,-4
541,-4,-4,-4,-4,-4
542,40000,-4,-4,-4,-4
543,74000,-4,-4,-4,-4
544,41000,-4,-4,-4,-4
545,-5,-5,-5,-5,-5
546,58000,-4,-4,-4,-4
547,58000,-4,-4,-4,-4
548,50000,-4,-4,-4,-4
549,45000,-4,-4,-4,-4
550,11316,-4,-4,-4,-4
551,-5,-5,-5,-5,-5
552,-1,-4,-4,-4,1
553,53000,-4,-4,-4,-4
554,0,-4,-4,-4,-4
555,-4,-4,-4,-4,-4
556,30000,-4,-4,-4,-4
557,44000,-4,-4,-4,-4
558,70000,-4,-4,-4,-4
559,26000,-4,-4,-4,-4
560,-4,-4,-4,-4,-4
561,-4,-4,-4,-4,-4
562,0,-4,-4,-4,-4
563,150000,-4,-4,-4,-4
564,-5,-5,-5,-5,-5
565,-4,-4,-4,-4,-4
566,-4,-4,-4,-4,-4
567,309409,-4,-4,-4,-4
568,-2,-2,-2,-4,-4
569,-5,-5,-5,-5,-5
570,36000,-4,-4,-4,-4
571,18000,-4,-4,-4,-4
572,-1,-4,-4,-4,0
573,19000,-4,-4,-4,-4
574,-5,-5,-5,-5,-5
575,0,-4,-4,-4,-4
576,64000,-4,-4,-4,-4
577,-4,-4,-4,-4,-4
578,3000,-4,-4,-4,-4
579,80000,-4,-4,-4,-4
580,3500,-4,-4,-4,-4
581,12000,-4,-4,-4,-4
582,-4,-4,-4,-4,-4
583,-4,-4,-4,-4,-4
584,-5,-5,-5,-5,-5
585,60000,-4,-4,-4,-4
586,-5,-5,-5,-5,-5
587,-5,-5,-5,-5,-5
588,-5,-5,-5,-5,-5
589,-4,-4,-4,-4,-4
590,0,-4,-4,-4,-4
591,-4,-4,-4,-4,-4
592,-5,-5,-5,-5,-5
593,-4,-4,-4,-4,-4
594,12000,-4,-4,-4,-4
595,-5,-5,-5,-5,-5
596,-5,-5,-5,-5,-5
597,-4,-4,-4,-4,-4
598,-5,-5,-5,-5,-5
599,-5,-5,-5,-5,-5
600,0,-4,-4,-4,-4
601,-5,-5,-5,-5,-5
602,-5,-5,-5,-5,-5
603,-5,-5,-5,-5,-5
604,94000,-4,-4,-4,-4
605,-4,-4,-4,-4,-4
606,-1,-4,-4,-4,-4
607,-5,-5,-5,-5,-5
608,82000,-4,-4,-4,-4
609,-4,-4,-4,-4,-4
610,-4,-4,-4,-4,-4
611,-4,-4,-4,-4,-4
612,-4,-4,-4,-4,-4
613,-2,-2,-2,0,-4
614,47000,-4,-4,-4,-4
615,26000,-4,-4,-4,-4
616,45000,-4,-4,-4,-4
617,-5,-5,-5,-5,-5
618,-4,-4,-4,-4,-4
619,-4,-4,-4,-4,-4
620,-2,-2,-2,-4,1
621,-4,-4,-4,-4,-4
622,65000,-4,-4,-4,-4
623,-4,-4,-4,-4,-4
624,26000,-4,-4,-4,-4
625,17000,-4,-4,-4,-4
626,-4,-4,-4,-4,-4
627,40000,-4,-4,-4,-4
628,-4,-4,-4,-4,-4
629,-4,-4,-4,-4,-4
630,25000,-4,-4,-4,-4
631,2500,-4,-4,-4,-4
632,58000,-4,-4,-4,-4
633,-5,-5,-5,-5,-5
634,-5,-5,-5,-5,-5
635,56384,-4,-4,-4,-4
636,-4,-4,-4,-4,-4
637,-4,-4,-4,-4,-4
638,0,-4,-4,-4,-4
639,-4,-4,-4,-4,-4
640,80000,-4,-4,-4,-4
641,-4,-4,-4,-4,-4
642,-5,-5,-5,-5,-5
643,-5,-5,-5,-5,-5
644,40000,-4,-4,-4,-4
645,8310,-4,-4,-4,-4
646,-4,-4,-4,-4,-4
647,4000,-4,-4,-4,-4
648,-4,-4,-4,-4,-4
649,25000,-4,-4,-4,-4
650,52000,-4,-4,-4,-4
651,-5,-5,-5,-5,-5
652,-5,-5,-5,-5,-5
653,40000,-4,-4,-4,-4
654,-5,-5,-5,-5,-5
655,125000,-4,-4,-4,-4
656,-1,-4,-4,-4,-4
657,309409,-4,-4,-4,-4
658,-4,-4,-4,-4,-4
659,52000,-4,-4,-4,-4
660,78000,-4,-4,-4,-4
661,-5,-5,-5,-5,-5
662,24000,-4,-4,-4,-4
663,-4,-4,-4,-4,-4
664,29000,-4,-4,-4,-4
665,70000,-4,-4,-4,-4
666,-4,-4,-4,-4,-4
667,48000,-4,-4,-4,-4
668,-1,-4,-4,-4,-4
669,-4,-4,-4,-4,-4
670,110000,-4,-4,-4,-4
671,1500,-4,-4,-4,-4
672,-4,-4,-4,-4,-4
673,14000,-4,-4,-4,-4
674,0,-4,-4,-4,-4
675,-4,-4,-4,-4,-4
676,-5,-5,-5,-5,-5
677,32000,-4,-4,-4,-4
678,-5,-5,-5,-5,-5
679,-4,-4,-4,-4,-4
680,-5,-5,-5,-5,-5
681,-4,-4,-4,-4,-4
682,-4,-4,-4,-4,-4
683,-4,-4,-4,-4,-4
684,12000,-4,-4,-4,-4
685,-4,-4,-4,-4,-4
686,-4,-4,-4,-4,-4
687,-4,-4,-4,-4,-4
688,-4,-4,-4,-4,-4
689,-5,-5,-5,-5,-5
690,26000,-4,-4,-4,-4
691,-5,-5,-5,-5,-5
692,-4,-4,-4,-4,-4
693,-5,-5,-5,-5,-5
694,-5,-5,-5,-5,-5
695,-5,-5,-5,-5,-5
696,-5,-5,-5,-5,-5
697,0,-4,-4,-4,-4
698,-4,-4,-4,-4,-4
699,-4,-4,-4,-4,-4
700,-5,-5,-5,-5,-5
701,-4,-4,-4,-4,-4
702,-5,-5,-5,-5,-5
703,-4,-4,-4,-4,-4
704,32000,-4,-4,-4,-4
705,-5,-5,-5,-5,-5
706,-4,-4,-4,-4,-4
707,-4,-4,-4,-4,-4
708,-4,-4,-4,-4,-4
709,-4,-4,-4,-4,-4
710,-5,-5,-5,-5,-5
711,-4,-4,-4,-4,-4
712,75000,-4,-4,-4,-4
713,-4,-4,-4,-4,-4
714,-2,-2,-2,-4,-4
715,-5,-5,-5,-5,-5
716,-4,-4,-4,-4,-4
717,-2,-2,-2,1,-4
718,-5,-5,-5,-5,-5
719,10000,-4,-4,-4,-4
720,-4,-4,-4,-4,-4
721,34000,-4,-4,-4,-4
722,36000,-4,-4,-4,-4
723,15000,-4,-4,-4,-4
724,-4,-4,-4,-4,-4
725,-4,-4,-4,-4,-4
726,28000,-4,-4,-4,-4
727,10000,-4,-4,-4,-4
728,25000,-4,-4,-4,-4
729,0,-4,-4,-4,-4
730,3800,-4,-4,-4,-4
731,-5,-5,-5,-5,-5
732,15000,-4,-4,-4,-4
733,64000,-4,-4,-4,-4
734,-5,-5,-5,-5,-5
735,0,-4,-4,-4,-4
736,88000,-4,-4,-4,-4
737,12000,-4,-4,-4,-4
738,-5,-5,-5,-5,-5
739,120000,-4,-4,-4,-4
740,0,-4,-4,-4,-4
741,-4,-4,-4,-4,-4
742,309409,-4,-4,-4,-4
743,62000,-4,-4,-4,-4
744,0,-4,-4,-4,-4
745,-2,-2,-2,-4,-4
746,32000,-4,-4,-4,-4
747,-4,-4,-4,-4,-4
748,35000,-4,-4,-4,-4
749,-5,-5,-5,-5,-5
750,-4,-4,-4,-4,-4
751,-4,-4,-4,-4,-4
752,-4,-4,-4,-4,-4
753,70000,-4,-4,-4,-4
754,-5,-5,-5,-5,-5
755,14000,-4,-4,-4,-4
756,37000,-4,-4,-4,-4
757,0,-4,-4,-4,-4
758,-4,-4,-4,-4,-4
759,-4,-4,-4,-4,-4
760,-5,-5,-5,-5,-5
761,0,-4,-4,-4,-4
762,24000,-4,-4,-4,-4
763,-4,-4,-4,-4,-4
764,-4,-4,-4,-4,-4
765,-5,-5,-5,-5,-5
766,-5,-5,-5,-5,-5
767,-5,-5,-5,-5,-5
768,85000,-4,-4,-4,-4
769,-4,-4,-4,-4,-4
770,-4,-4,-4,-4,-4
771,-5,-5,-5,-5,-5
772,-4,-4,-4,-4,-4
773,-5,-5,-5,-5,-5
774,-4,-4,-4,-4,-4
775,105000,-4,-4,-4,-4
776,106400,-4,-4,-4,-4
777,-4,-4,-4,-4,-4
778,0,-4,-4,-4,-4
779,-5,-5,-5,-5,-5
780,-5,-5,-5,-5,-5
781,-5,-5,-5,-5,-5
782,0,-4,-4,-4,-4
783,-4,-4,-4,-4,-4
784,-5,-5,-5,-5,-5
785,-5,-5,-5,-5,-5
786,-5,-5,-5,-5,-5
787,-5,-5,-5,-5,-5
788,-5,-5,-5,-5,-5
789,-5,-5,-5,-5,-5
790,-4,-4,-4,-4,-4
791,-4,-4,-4,-4,-4
792,-2,-2,-2,-4,0
793,-4,-4,-4,-4,-4
794,-5,-5,-5,-5,-5
795,-5,-5,-5,-5,-5
796,52000,-4,-4,-4,-4
797,0,-4,-4,-4,-4
798,-5,-5,-5,-5,-5
799,0,-4,-4,-4,-4
800,30000,-4,-4,-4,-4
801,-4,-4,-4,-4,-4
802,0,-4,-4,-4,-4
803,56000,-4,-4,-4,-4
804,-4,-4,-4,-4,-4
805,-5,-5,-5,-5,-5
806,35000,-4,-4,-4,-4
807,55000,-4,-4,-4,-4
808,-5,-5,-5,-5,-5
809,-5,-5,-5,-5,-5
810,82000,-4,-4,-4,-4
811,47000,-4,-4,-4,-4
812,130000,-4,-4,-4,-4
813,0,-4,-4,-4,-4
814,-5,-5,-5,-5,-5
815,29000,-4,-4,-4,-4
816,-5,-5,-5,-5,-5
817,15000,-4,-4,-4,-4
818,5000,-4,-4,-4,-4
819,0,-4,-4,-4,-4
820,63000,-4,-4,-4,-4
821,-4,-4,-4,-4,-4
