"R0000100","T8645700","T8645800","T8645900","T8646100","T8646200"
1,-5,-5,-5,-5,-5
2,30000,-4,-4,-4,-4
3,90000,-4,-4,-4,-4
4,2000,-4,-4,-4,-4
5,-5,-5,-5,-5,-5
6,123000,-4,-4,-4,-4
7,-5,-5,-5,-5,-5
8,46000,-4,-4,-4,-4
9,90000,-4,-4,-4,-4
10,-5,-5,-5,-5,-5
11,-5,-5,-5,-5,-5
12,-5,-5,-5,-5,-5
13,-5,-5,-5,-5,-5
14,-5,-5,-5,-5,-5
15,0,-4,-4,-4,-4
16,93000,-4,-4,-4,-4
17,77000,-4,-4,-4,-4
18,180000,-4,-4,-4,-4
19,-5,-5,-5,-5,-5
20,-5,-5,-5,-5,-5
21,28000,-4,-4,-4,-4
22,0,-4,-4,-4,-4
23,-5,-5,-5,-5,-5
24,-5,-5,-5,-5,-5
25,56227,-4,-4,-4,-4
26,-5,-5,-5,-5,-5
27,200000,-4,-4,-4,-4
28,-5,-5,-5,-5,-5
29,0,-4,-4,-4,-4
30,0,-4,-4,-4,-4
31,49000,-4,-4,-4,-4
32,-5,-5,-5,-5,-5
33,0,-4,-4,-4,-4
34,0,-4,-4,-4,-4
35,-5,-5,-5,-5,-5
36,78000,-4,-4,-4,-4
37,53000,-4,-4,-4,-4
38,129000,-4,-4,-4,-4
39,65000,-4,-4,-4,-4
40,75000,-4,-4,-4,-4
41,200000,-4,-4,-4,-4
42,-5,-5,-5,-5,-5
43,0,-4,-4,-4,-4
44,-1,-4,-4,-4,1
45,-5,-5,-5,-5,-5
46,-5,-5,-5,-5,-5
47,109000,-4,-4,-4,-4
48,-5,-5,-5,-5,-5
49,31000,-4,-4,-4,-4
50,45000,-4,-4,-4,-4
51,-5,-5,-5,-5,-5
52,-5,-5,-5,-5,-5
53,0,-4,-4,-4,-4
54,-2,-2,-2,-4,-4
55,-5,-5,-5,-5,-5
56,-5,-5,-5,-5,-5
57,45000,-4,-4,-4,-4
58,126000,-4,-4,-4,-4
59,45000,-4,-4,-4,-4
60,-5,-5,-5,-5,-5
61,10000,-4,-4,-4,-4
62,50000,-4,-4,-4,-4
63,200000,-4,-4,-4,-4
64,-5,-5,-5,-5,-5
65,-5,-5,-5,-5,-5
66,0,-4,-4,-4,-4
67,5500,-4,-4,-4,-4
68,500,-4,-4,-4,-4
69,145000,-4,-4,-4,-4
70,78000,-4,-4,-4,-4
71,-5,-5,-5,-5,-5
72,47000,-4,-4,-4,-4
73,-5,-5,-5,-5,-5
74,-5,-5,-5,-5,-5
75,180000,-4,-4,-4,-4
76,70000,-4,-4,-4,-4
77,160000,-4,-4,-4,-4
78,-5,-5,-5,-5,-5
79,-5,-5,-5,-5,-5
80,55000,-4,-4,-4,-4
81,38000,-4,-4,-4,-4
82,-5,-5,-5,-5,-5
83,0,-4,-4,-4,-4
84,0,-4,-4,-4,-4
85,0,-4,-4,-4,-4
86,18000,-4,-4,-4,-4
87,100,-4,-4,-4,-4
88,43000,-4,-4,-4,-4
89,79000,-4,-4,-4,-4
90,65000,-4,-4,-4,-4
91,0,-4,-4,-4,-4
92,47000,-4,-4,-4,-4
93,70000,-4,-4,-4,-4
94,0,-4,-4,-4,-4
95,57000,-4,-4,-4,-4
96,64000,-4,-4,-4,-4
97,800,-4,-4,-4,-4
98,54000,-4,-4,-4,-4
99,32000,-4,-4,-4,-4
100,108000,-4,-4,-4,-4
101,160000,-4,-4,-4,-4
102,-1,-4,-4,-4,1
103,92000,-4,-4,-4,-4
104,-5,-5,-5,-5,-5
105,-5,-5,-5,-5,-5
106,150000,-4,-4,-4,-4
107,119000,-4,-4,-4,-4
