code,birthyear,income_18,income_19,income_20,income_21,income_22,income_23,income_24,income_25,income_26,income_27,income_28,income_29,income_30,income_31,income_32,income_33,income_34,income_35,income_36,income_37,income_38,income_39,income_40,income_41,income_42,income_43,income_44,income_45,income_46,income_47,income_48,income_49,income_50,income_51,income_52,income_53,income_54,income_55,income_56,income_57,income_58,income_59,income_60,income_61,income_62
1,1958,,,15443.2766,,13230.18505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1959,,13370.80225,15022.76955,15876.22206,23981.90816,24856.06735,25177.09086,23089.46414,28380.32538,31830.49951,38381.60616,35033.93277,35179.69884,33377.97053,35224.0421,38850.60577,,,,,,,,,,,,,6141.097931,,5258.342782,,6098.402607,,18418.55538,,19656.69141,,21159.98641,,22239.70613,,25587.62067,,
3,1961,21031.87737,,16787.33571,,,2728.754853,,2984.109329,1919.080308,,10553.90965,6675.594107,6404.371291,9324.145386,,,60100.60812,,950.9221264,,,,,,,,,,31550.05669,,,,33928.91781,,37441.31697,,26679.98286,,71167.05962,,76762.862,,,,
4,1962,,2604.435227,158.1749741,,,14190.16269,34814.60884,40914.79217,40123.07248,,,48833.33109,51282.79962,,,50083.8401,,17659.98235,,,,,,,,,,,,,,,,,,67159.95686,,,,1705.841378,,,,,
5,1959,,7353.941236,6009.107819,8996.525836,5515.838878,4971.213471,22987.77861,,87409.37501,,109625.5435,115862.7474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1960,4679.780787,5107.741646,8467.318434,7794.120153,1656.317943,13135.87349,26867.74009,32637.37419,35809.31195,38381.60616,40565.60637,40456.65367,41722.46317,41628.41339,43512.67847,49057.77041,,50083.8401,,,,52362.11916,,53569.73409,,66972.42537,,72576.61191,,90443.49584,,91780.95923,,101786.7534,,104835.6875,,105799.932,,104081.8247,,104909.2447,,,
7,1964,21466.60362,,,,,,,,2503.34779,1601.092823,,40755.68619,,36632.75161,,36406.73284,,32726.32448,,33865.92385,,35560.57984,,21214.70194,,34179.22808,,,,,,,,,,,,,,,,,,,
8,1958,,,668.5401124,10515.93868,16209.62273,17986.43112,18077.13989,21893.12249,16792.33756,,17904.65597,8131.143265,28580.31358,29902.74402,29873.28363,28819.67081,27972.43616,30944.1321,,34343.20464,,29886.12397,,35868.05163,,38791.87641,,40301.99049,,40196.27736,,43118.41081,,42687.80185,,38775.90607,,43993.54744,,43239.97222,,45647.44163,,39234.35169,
9,1963,11990.95408,6778.92746,15325.18574,12100.97825,14190.16269,29841.09329,34543.44555,38721.71517,52769.54826,41722.46317,40027.32057,29526.46039,30189.39717,,74410.27672,,,,68070.75491,,61574.407,,65194.39637,,72576.61191,,52583.42782,,52852.82259,,72704.82387,,74882.63394,,82799.94681,,,,76762.862,,,,,,
10,1960,,1802.732346,12052.69858,21583.71735,20336.78238,6567.936747,12594.25317,,,9595.40154,,7035.939769,20026.78232,28819.67081,18648.29077,22642.04788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
