"R0000100","T5619500","T5619700","T5619900","T5620200","T5620300"
1,-5,-5,-5,-5,-5
2,23000,-4,-4,-4,-4
3,29000,-4,-4,-4,-4
4,73000,-4,-4,-4,-4
5,-5,-5,-5,-5,-5
6,115000,-4,-4,-4,-4
7,-5,-5,-5,-5,-5
8,47000,-4,-4,-4,-4
9,90000,-4,-4,-4,-4
10,-5,-5,-5,-5,-5
11,-5,-5,-5,-5,-5
12,-5,-5,-5,-5,-5
13,-5,-5,-5,-5,-5
14,70000,-4,-4,-4,-4
15,0,-4,-4,-4,-4
16,100000,-4,-4,-4,-4
17,73000,-4,-4,-4,-4
18,120000,-4,-4,-4,-4
19,-5,-5,-5,-5,-5
20,127000,-4,-4,-4,-4
21,130000,-4,-4,-4,-4
22,42200,-4,-4,-4,-4
23,-5,-5,-5,-5,-5
24,-5,-5,-5,-5,-5
25,50000,-4,-4,-4,-4
26,-5,-5,-5,-5,-5
27,170166,-4,-4,-4,-4
28,-5,-5,-5,-5,-5
29,0,-4,-4,-4,-4
30,0,-4,-4,-4,-4
31,40000,-4,-4,-4,-4
32,-5,-5,-5,-5,-5
33,0,-4,-4,-4,-4
34,0,-4,-4,-4,-4
35,-5,-5,-5,-5,-5
36,0,-4,-4,-4,-4
37,50000,-4,-4,-4,-4
38,130000,-4,-4,-4,-4
39,63000,-4,-4,-4,-4
40,37600,-4,-4,-4,-4
41,170000,-4,-4,-4,-4
42,62000,-4,-4,-4,-4
43,0,-4,-4,-4,-4
44,43680,-4,-4,-4,-4
45,-5,-5,-5,-5,-5
46,-5,-5,-5,-5,-5
47,100000,-4,-4,-4,-4
48,-5,-5,-5,-5,-5
49,32880,-4,-4,-4,-4
50,67000,-4,-4,-4,-4
51,-5,-5,-5,-5,-5
52,332954,-4,-4,-4,-4
53,0,-4,-4,-4,-4
54,42000,-4,-4,-4,-4
55,-5,-5,-5,-5,-5
56,-5,-5,-5,-5,-5
57,52000,-4,-4,-4,-4
58,119840,-4,-4,-4,-4
59,45000,-4,-4,-4,-4
60,-5,-5,-5,-5,-5
61,0,-4,-4,-4,-4
62,65000,-4,-4,-4,-4
63,155000,-4,-4,-4,-4
64,-5,-5,-5,-5,-5
65,-5,-5,-5,-5,-5
66,-1,-4,-4,-4,-4
67,130000,-4,-4,-4,-4
68,20000,-4,-4,-4,-4
69,125000,-4,-4,-4,-4
70,40000,-4,-4,-4,-4
71,-1,-4,-4,-4,-1
72,42000,-4,-4,-4,-4
73,332954,-4,-4,-4,-4
74,-5,-5,-5,-5,-5
75,150000,-4,-4,-4,-4
76,110000,-4,-4,-4,-4
77,150000,-4,-4,-4,-4
78,-5,-5,-5,-5,-5
79,-5,-5,-5,-5,-5
80,24000,-4,-4,-4,-4
81,25000,-4,-4,-4,-4
82,-5,-5,-5,-5,-5
83,0,-4,-4,-4,-4
84,0,-4,-4,-4,-4
85,0,-4,-4,-4,-4
86,24000,-4,-4,-4,-4
87,15000,-4,-4,-4,-4
88,35000,-4,-4,-4,-4
89,72000,-4,-4,-4,-4
90,146000,-4,-4,-4,-4
91,40000,-4,-4,-4,-4
92,42000,-4,-4,-4,-4
93,62000,-4,-4,-4,-4
94,0,-4,-4,-4,-4
95,32000,-4,-4,-4,-4
96,57000,-4,-4,-4,-4
97,30000,-4,-4,-4,-4
98,0,-4,-4,-4,-4
99,40000,-4,-4,-4,-4
