,,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income
age,,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0
code,spouse_birthyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,52836.06314923038,62160.969236881625,60378.794348421434,,58669.64125754549,,69281.46921243968,,58907.38405757002,,61574.407002445696,,65194.39637492358,,,,,,,,,,,,22999.98522480949,,,,,,,,,,,,,,
2120,1965.0,,,,,,22126.694382323112,26384.774132059265,30040.17348000584,36024.5885108389,35742.55731120693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2121,1955.0,,,,,,50140.50842921464,63095.63209991882,63504.888253845646,59954.77040898636,97950.98251780476,121003.28799758363,79763.60339955642,68923.64735589072,29841.093289614968,28786.204620890414,70067.8655440232,75636.35251190323,71762.63664668064,48032.78468111853,31080.484618440812,37736.7464677634,,85858.01159640803,,88299.9117413447,,31417.271497370682,,,,,,,,27343.382464023205,,38623.21650852522,,40714.70136984108,,42121.48159346152,,,,,,,,,,,,,,,,,,,,,,,,,
2122,1954.0,,,,,,,,,,,,,,,,,9219.455992634632,,,,,12075.758869684287,,15740.635459341473,,,,19635.794685856676,,22166.78652088045,,27263.111211331674,,22331.265202147657,,33653.39380187471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2123,1959.0,,,,,,24856.067354799587,32839.683733738995,23089.46414197686,24325.99318443202,29841.093289614968,23028.96369671233,22495.4726220285,28143.75907419655,33377.97053333983,24016.392340559265,26418.41192567469,22642.047880658036,,22895.469759042142,,20376.902709541082,,26181.05958114223,,29555.715361173934,,47414.106454489876,,48012.22018461746,,47325.08503388631,,55902.023893918085,,48469.88258314414,,65522.30470094015,,55199.96453954278,,71167.05961692071,,63969.05167045134,,,,,,,,,,,,,,,,,,,,,,,
2124,1964.0,,,,,,13433.562156415528,23970.585580850042,24625.78918992198,29205.724216672348,27218.577985967164,27972.436156596727,28679.92731550018,,28619.337198802677,,28527.663793357515,,37962.53639265624,,46796.54932185873,,47414.106454489876,,53595.03648515438,,52583.42781542924,,54885.62345948321,,48469.88258314414,,51481.81083645297,,55199.96453954278,,57823.23593874808,,63969.05167045134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2125,1959.0,,,12018.215638079775,,,2259.642486799962,17514.497991327466,20990.421947251692,20452.078769811218,29841.093289614968,34543.4455450685,36877.82397053853,43974.62355343211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2126,1952.0,,,,,,,,,,27040.985185679492,,26380.098979954,14235.747666839761,10946.561244579667,16372.52911885632,15903.118044322431,15915.249754461316,,,,,,27972.436156596727,31698.867032921255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2128,1957.0,,,,,,,,9038.569947199849,19703.810240243398,25188.50633670203,15264.56072323109,,,,1495.1372008166916,4806.427756800935,7907.797451334814,932.4145385532244,3018.9397174210717,,10016.768019580937,,19018.44252890501,,18326.741706799563,,17240.833960684795,,379.312851635919,,15631.885641503359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2129,1948.0,,,,,,,,,,,,,,,,,,,,,,21109.883388652972,25814.476779376968,24625.78918992198,25033.47790000487,25617.485163263216,24864.38769475265,25660.98759807911,,28619.337198802677,,23773.053161131265,,26181.05958114223,,28816.822477144586,,30819.169195418417,,29030.644762791955,,13671.691232011603,,24393.610426436982,,,,,,,,,,,,,,,,,,,,,,
2130,1958.0,,,,,,,,,,,,,,,,,,,,20033.536039161874,,33961.504515901805,,26181.05958114223,,32018.691641271766,,47414.106454489876,,41312.84062397316,,26291.71390771462,,10895.812657141852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2131,1958.0,,,,,,,,65679.36746747799,109435.66386419143,85140.97614551206,79576.24877230659,,,,,72049.1770216778,59052.92077503754,,,85858.01159640803,,61130.70812862324,,78543.1787434267,,66500.35956264136,,53340.86976130111,,64537.35643420673,,57000.435751925295,,54885.62345948321,,73169.16534986274,,84441.40216687447,,81879.94740032178,,,,,,,,,,,,,,,,,,,,,,,,,,
2132,1961.0,,,,,6567.9367467478005,10495.210973625846,10135.83049351334,13925.843535153652,19190.80308059361,14751.129588215412,21107.819305647412,20026.782320003895,20814.206695151363,19518.54434038083,19623.108163236968,,,,23093.823070813225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2133,1961.0,,,,14461.71191551976,17952.360441110653,19311.18819147156,17230.91183897268,31830.499508922632,29745.74477492009,29502.259176430824,12312.89459496099,21695.680846670886,24016.392340559265,34188.53308028489,21132.578021947502,,,,29886.123973993585,,39271.58937171335,,34481.66792136959,,,,33496.89780322149,,42066.74225234339,,32524.81390191598,,38775.906066515316,,40249.41574486323,,43239.97222264184,,44479.41226057545,,43498.955135906916,,,,,,,,,,,,,,,,,,,,,,,,,
2134,1962.0,,20384.62193905536,29488.33445273951,32128.15725284132,34516.64985006068,33853.673848334554,25862.28085099964,,,21107.819305647412,20026.782320003895,,,603.7879434842143,,18602.569179221744,,16301.522167632866,,,,4618.080525183427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2135,1962.0,,4316.743469447018,,1346.427033083299,,8108.664394810672,7957.624877230658,11514.481848356165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2137,1960.0,,,,57556.579592626906,56491.06216999905,56922.11847181427,58773.18145230474,60814.982961080044,69629.21767576826,67167.81078207762,66380.08314696934,73877.36756976593,80107.12928001558,78453.54831249359,85471.33270071223,89058.72166392162,,93012.8458961087,,115469.11535406613,,143995.8276962823,,328421.8776052247,,177802.89920433704,,195398.570518792,,184041.99735400235,,152460.06516523115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2138,1958.0,,,,,,,,,,,,,,43974.62355343211,33377.97053333983,32021.856454079018,31080.484618440812,28679.92731550018,,30050.30405874281,,32603.04433526573,,31417.271497370682,,29555.715361173934,,36745.932502229654,,33496.89780322149,,34705.06235818329,,42688.81824626472,,43622.89432482974,,41185.448669162375,,41399.97340465708,,42700.23577015244,,,,,,,,,,,,,,,,,,,,,,,,
2139,1959.0,,,,,,,,,,,,168527.967762964,52769.54826411853,16688.985266669915,28819.670808671115,124321.93847376325,117738.6489794218,,80134.1441566475,,67923.00903180361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2140,1964.0,,,17841.85865516394,2027.166098702668,,,,,33377.97053333983,30420.76363137507,37296.58154212897,25660.98759807911,,,,24452.2832514493,,,,35713.15606141851,,,,35730.02432343625,,46588.917044470305,,,,23265.543639909192,,21528.757258880334,,21159.98640682473,,24908.470865922252,,24734.699979241188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2141,1969.0,,,12312.89459496099,16688.985266669915,24016.392340559265,24864.38769475265,,,,,,,,,,,,,42429.40388408055,,25240.045351406035,,25410.01086087186,,24234.94129157207,,24336.85603177777,,27599.98226977139,,26687.647356345267,,25587.620668180538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2142,1957.0,,,,,,,38371.05306175127,51971.77719639913,50354.18172506646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2145,1961.0,,,,,,23089.46414197686,8108.664394810672,25862.28085099964,19190.80308059361,14751.129588215412,17589.849421372845,13351.18821333593,17612.02104974346,18648.290771064487,21132.578021947502,,28619.337198802677,,29886.123973993585,,32726.324476427795,,30787.203501222848,,42672.69580904089,,35730.02432343625,,42066.74225234339,,43705.218680699596,,53316.870841458556,,46801.64621495725,,36799.97635969519,,53375.294712690535,,51175.241336361076,,,,,,,,,,,,,,,,,,,,,,,,,
2147,1966.0,,,,,3687.782397053853,7035.939768549138,10013.391160001947,3202.185645407902,,,,,,,,3141.727149737068,,,,2370.7053227244937,,,,39963.40513972622,,39131.41672574266,,43622.89432482974,,40249.41574486323,,42779.97251814565,,45369.00050578696,,44351.87582484627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2148,1966.0,,,,26490.984572451416,19233.629091834366,16710.3569503042,,,,,,31481.270918682945,,63847.628489895396,,34603.506448395696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2151,1966.0,,,,11514.481848356165,9219.455992634632,15830.864479235557,10013.391160001947,11207.649758927657,9324.145385532243,12075.758869684287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2153,1964.0,,16689.12727348616,18891.37975252652,19258.077937675345,17904.655973768982,21109.883388652972,14751.129588215412,15873.080117846854,,22415.299517855314,20979.32711744755,18113.63830452643,,24326.436618982276,,21838.605863905497,,,,,,,,,,,,32524.81390191598,,38775.906066515316,,21528.757258880334,,31511.819756806988,,28466.82384676829,,29852.2241128773,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2154,1958.0,,,,,,19185.526530875635,13557.854920799775,21893.122489159334,25188.50633670203,24325.99318443202,19894.062193076647,23028.96369671233,25814.476779376968,26384.774132059265,27536.825690005353,25617.485163263216,23310.36346383061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2155,1959.0,,,,,,,,,,,,,,70093.73812001363,75251.36266708569,73039.13885333591,113210.23940329018,,275868.94609355874,,288645.6191815526,,157086.3574868534,,328421.8776052247,,366758.7815994314,,334388.365136959,,304700.98248784256,,306364.4353477942,,263962.1335595447,,335706.33623403974,,310074.7608079736,,,,,,,,,,,,,,,,,,,,,,,,,,,
2156,1964.0,,,,,,,23638.685165115196,40456.65366915754,40053.56464000779,37625.681333542845,41958.6542348951,,,,,61130.70812862324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2157,1963.0,,,,,,,,,,,,,,,,,1358.4601806360722,,,,4433.357304176091,,22521.70056588269,,15631.885641503359,,,,6098.402606609246,,6591.904031307604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2158,1954.0,,,,,,,48469.158148240815,,,,,,,,21883.468412384307,57572.40924178083,38721.71516906545,43974.62355343211,40248.82576762783,48032.78468111853,,,,,,,,62834.542994741365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2159,1961.0,,,,,,,19258.077937675345,31830.499508922632,38381.60616118722,,,66755.94106667966,67245.89855356594,62160.969236881625,72454.55321810572,,71548.34299700671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2160,1960.0,,,,,10846.28393663982,6567.9367467478005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2161,1956.0,,,,,50140.50842921464,48072.8625523191,55566.77722211494,53621.14846298104,62488.15332996615,70057.99196530986,56674.13925757956,58787.81686237737,67639.8114564606,63329.65016595891,44253.388764646224,35179.69884274569,35046.869060006815,38426.22774489482,54235.44565917922,42114.209058023946,,48366.679865976526,,47546.10632226253,,54980.225120398696,,46796.54932185873,,49784.81177721437,,49128.783444724846,,47325.08503388631,,53869.22302504833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2162,1966.0,67169.35023120542,34461.82367794536,18899.359083422813,,,42215.638611294824,40053.56464000779,41628.413390302725,,33359.28387750284,,40925.65219428783,,44829.185960990384,,58907.38405757002,,26353.84619704676,,157651.90396117885,,99764.92729059466,,82045.92242041424,,76230.03258261557,,34898.315459863785,,31825.11942617093,,91999.94089923796,,80062.94206903582,,78468.70338242032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2163,1958.0,,,,9013.661728559831,,1798.6431122695908,,7005.799196530987,17631.95443569142,17230.91183897268,16909.95286411515,5757.240924178082,4609.727996317316,2110.7819305647413,,,6216.096923688163,7547.349293552679,,858.5801159640804,,2037.6902709541082,,6545.264895285558,,12314.881400489141,,17780.2899204337,,,,10516.685563085848,,,,,,,,9199.994089923797,,,,10235.048267272216,,,,,,,,,,,,,,,,,,,,,,
2164,1962.0,,,,,,,,45098.38723939498,33190.04157348467,21107.819305647412,21695.680846670886,32021.856454079018,38228.9960806822,39095.26934060288,,38636.10521838362,,39395.34523844609,,3141.727149737068,,29555.715361173934,,33189.87451814291,,38968.057777747665,,60470.94198774363,,21852.609340349798,,96939.76516628829,,96411.39120281194,,111319.92848807793,,81842.11855945883,,86997.91027181383,,,,,,,,,,,,,,,,,,,,,,,,,,
2165,1959.0,,,,,,,,,,,,,,10013.391160001947,11559.890179922526,15540.242309220406,,,,,,,,,,,,,,,,,6098.402606609246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2167,1962.0,,,,,,,,,,,46729.158746675756,51234.97032652643,52836.82385134938,48303.03547873715,,51514.80695784483,,47546.10632226253,,47125.90724605602,,46796.54932185873,,52155.517099938865,,53595.03648515438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2168,1964.0,,,10495.210973625846,24325.99318443202,9947.031096538323,15352.642464474888,,,,,,,,37205.13835844349,,39395.34523844609,,41889.69532982758,,41870.59676166307,,,,,,,,,,,,,,,,86290.05978551638,,85292.06889393512,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2170,1962.0,,,,1011.4622589991611,5247.605486812923,,,,,,,1921.3113872447411,2994.604692986772,,,,,,,654.5264895285559,,13546.369540538055,,14224.231936346961,,6699.379560644297,,8413.348450468677,,5082.0021721743715,,6785.78356164018,,561.619754579487,,2483.998404279425,,2401.888262071074,,3411.6827557574056,,,,,,,,,,,,,,,,,,,,,,,,,,
2171,1967.0,,,,,,,,,,,,,,,,,43102.08490171198,,39116.637824954145,,33496.89780322149,,39963.40513972622,,35574.015205220596,,35867.71311152667,,,,41399.97340465708,,,,38381.43100227081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2172,1961.0,,,,,,,22298.827085729346,,23028.96369671233,16595.020786742334,12312.89459496099,33377.97053333983,206556.9850570367,22533.35134836959,23396.782810013305,,20033.536039161874,,14943.061986996792,,17017.688727742454,,,,23707.053227244938,,27914.08150268457,,22749.694210067308,,24393.610426436982,,8142.940273968217,,14976.52678878632,,18399.988179847594,,16012.588413807161,,18764.255156665728,,,,,,,,,,,,,,,,,,,,,,,,,
2173,1964.0,9038.569947199849,15325.185742411531,14693.295363076186,16217.328789621344,17904.655973768982,17271.72277253425,22126.694382323112,31661.728958471114,23364.579373337878,20814.206695151363,24864.38769475265,23396.782810013305,,31481.270918682945,,29886.123973993585,,26181.05958114223,,32018.691641271766,,17780.2899204337,,31263.771283006718,,38911.73658341764,,36590.415639655475,,,,,,,,22239.706130287726,,21323.01722348378,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2174,1960.0,,,,7194.572449078363,20336.78238119966,19703.810240243398,20990.421947251692,30407.491480540022,23872.874631691975,15352.642464474888,,,,,,,,44359.97265814415,,54338.40722544288,,185885.52302610988,,22166.78652088045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2175,1956.0,,,,,,,13230.18505288451,,2259.642486799962,26271.746986991202,29386.59072615237,28380.325381837356,29841.093289614968,36462.52585312786,35033.9327720116,,,,,54944.70285706351,,,,38036.88505781002,,52362.11916228446,,43102.08490171198,,92457.50758625526,,53595.03648515438,,66255.11904744084,,,,72704.82387471622,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2176,1961.0,,,21583.717347235088,20336.78238119966,24082.434738075266,29386.59072615237,26353.159283134686,,46057.92739342466,44253.388764646224,49251.57837984396,51735.85432667674,,,,,32912.23777862308,,31244.58415462966,,45816.85426699891,,,,49784.81177721437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2178,1970.0,,,,32021.856454079018,46620.72692766122,,,35774.171498503354,,40753.805419082164,,,,,,,,,,126200.22675703016,,,,,,74882.6339439316,,73599.95271939038,,80062.94206903582,,72498.25855984486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2179,1961.0,3004.5539095199438,,9592.763265437818,18077.139894399697,28944.897242917552,31485.63292087754,36894.42299638856,35809.311947537964,,,,,,,,,17171.602319281606,,,,,,,,,,,,,,,,2908.192954988649,,13338.469171262816,,4599.997044961899,,17791.76490423018,,7676.286200454161,,,,,,,,,,,,,,,,,,,,,,,,,
2180,1963.0,,,19703.810240243398,16792.337557801355,16217.328789621344,19894.062193076647,26867.124312831056,16595.020786742334,,10013.391160001947,14409.835404335558,13986.218078298363,15094.698587105358,,14309.668599401339,,27169.20361272144,,18326.741706799563,,14777.857680586967,,13038.879274984716,,16748.448901610744,,18930.034013554527,,16262.40695095799,,18418.555381594775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2181,1953.0,,,,,,,,,,,,,,,,,26855.609830982696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2182,1960.0,,17234.121225006395,13230.18505288451,,,,,,,,,,20026.782320003895,19213.11387244741,23310.36346383061,21132.578021947502,,28619.337198802677,,27169.20361272144,,,,32787.14024066229,,11853.526613622469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2183,1961.0,,,,24856.067354799587,26271.746986991202,29386.59072615237,24325.99318443202,35809.311947537964,40300.68646924658,36877.82397053853,36938.68378488297,41722.46316667478,38426.22774489482,40404.630003973056,39246.216326473936,,42929.005798204016,,38036.88505781002,,45816.85426699891,,43102.08490171198,,47414.106454489876,,44662.530404295314,,42066.74225234339,,40656.01737739497,,43622.89432482974,,42121.48159346152,,41399.97340465708,,40031.47103451791,,38381.43100227081,,,,,,,,,,,,,,,,,,,,,,,,,
2185,1961.0,,,,,,,,,46057.92739342466,40565.60636759238,43974.62355343211,,,,,,30050.30405874281,,44829.185960990384,,44507.8012879418,,36944.64420146742,,47414.106454489876,,44662.530404295314,,42066.74225234339,,40656.01737739497,,24234.94129157207,,28080.98772897435,,32199.979314733286,,35583.52980846036,,34116.827557574055,,,,,,,,,,,,,,,,,,,,,,,,,
2186,1959.0,,,,,,,,,,,37422.06600715753,46097.279963173154,,,,,,,,,54338.40722544288,,,,,,,,,,,,76230.03258261557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2187,1962.0,,,49712.13470959917,39407.620480486796,27287.5485314272,36488.98977664803,51724.56170199928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2189,1964.0,,,,,,,,,41722.46316667478,40027.32056759878,15540.242309220406,,,,,,,,,3694.4644201467418,,8297.468629535728,,13398.759121288595,,5258.342781542924,,,,,,,,,,,,25587.620668180538,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2190,1957.0,,,,,33050.09300471938,39690.55515865354,45565.62551082963,47452.49222279921,44880.90110277663,46178.92828395372,48651.98636886404,47745.74926338395,51815.168317602736,50707.00795949047,49251.57837984396,45060.260220008764,56038.24879463828,40404.630003973056,45284.09576131607,,48652.87323796455,,51621.48686417074,,51053.06618322736,,43102.08490171198,,47414.106454489876,,45779.0936644027,,43118.41080865198,,38623.21650852522,,44592.29197649262,,42121.48159346152,,42319.97281364946,,40921.059279729416,,35822.668935452755,,,,,,,,,,,,,,,,,,,,,
2191,1961.0,,,,,,,12162.99659221601,15915.249754461316,15352.642464474888,19360.857584532725,24625.78918992198,24032.138784004674,22415.299517855314,21756.339232908565,,,20749.01946913194,,24452.2832514493,,,,22166.78652088045,,28448.463872693923,,31263.771283006718,,34705.06235818329,,33541.21433635085,,31020.724853212254,,34633.21819906836,,32199.979314733286,,35583.52980846036,,38381.43100227081,,,,,,,,,,,,,,,,,,,,,,,,,
2192,1960.0,3676.9706181424067,,,,,,19940.900849889105,18694.525762236004,21883.468412384307,24948.04400477169,22126.694382323112,22866.804247784698,22530.130110004382,17612.02104974346,23310.36346383061,22189.206923044876,,25041.920048952346,,,,,,,,,,33496.89780322149,,,,,,,,,,,,,,25587.620668180538,,,,,,,,,,,,,,,,,,,,,,,,
2193,1957.0,,,,25070.25421460732,,,,,10946.561244579667,,22870.487925563502,23872.874631691975,26943.887525153426,22126.694382323112,26384.774132059265,26702.37642667186,20814.206695151363,26418.41192567469,27472.351428531754,,22895.469759042142,,28799.355829484728,,22253.9006439709,,20935.298380831537,,1185.3526613622469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2194,1964.0,,,,,,,,9146.721699113878,15353.86644533632,,,,,,,,,,,1231.488140048914,,474.14106454489877,,,,,,,,,,,,,,12454.235432961126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2195,1957.0,,,,18384.853090712033,15022.769547599719,15876.222063461411,23022.63183705076,24856.067354799587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2196,1957.0,,,,23398.903933633497,24036.43127615955,12436.37394971144,10151.54172564957,6778.927460399887,,,,,,,,,,,37736.7464677634,,,,59772.24794798717,,68070.75491096982,,61574.407002445696,,64900.42891490574,,32826.95984715706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2198,1959.0,,13370.80224779057,15022.769547599719,13230.18505288451,19185.526530875635,18077.139894399697,26271.746986991202,25188.50633670203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2199,1959.0,,,24036.43127615955,18522.259074038313,35972.862245391814,40673.56476239932,54732.806222898325,46178.92828395372,42570.48807275603,,,52550.8991580174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200,1956.0,,,,,,,,,,,,,,,,,,35224.04209948692,,,,50083.84009790469,,,,,,61574.407002445696,,94828.21290897975,,83742.24450805371,,78875.14172314385,,,,58163.85909977298,,74882.6339439316,,73599.95271939038,,106750.58942538107,,102350.48267272215,,,,,,,,,,,,,,,,,,,,
2203,1946.0,,,,,,,,,,,,,,,,,,,,,,,,15352.642464474888,22126.694382323112,24625.78918992198,25033.47790000487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2204,1961.0,,,,18077.139894399697,26271.746986991202,16414.509962750824,,,,44253.388764646224,31661.728958471114,20026.782320003895,32021.856454079018,37296.58154212897,33208.33689163179,,40067.07207832375,,44829.185960990384,,41889.69532982758,,59111.43072234787,,61638.338390836834,,56180.99699556307,,62784.612811622515,,53058.13547836931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2205,1953.0,,,,,,,,,,,,,,,,41777.53060546096,49896.08800954338,47941.171161700084,45733.608495569395,48731.83697867615,,37296.58154212897,39246.216326473936,,42973.36577086216,,45780.108087435634,,39271.58937171335,,38915.02522554569,,47414.106454489876,,42858.164175961785,,28437.11776258413,,4370.521868069959,,,,730.105680953333,,,,,,,,,,,,,,,,,,,,,,,
2206,1951.0,,,,,,,,,,,,7938.111031730706,4796.381632718909,1807.71398943997,5473.280622289833,,4865.198636886404,9947.031096538323,13433.562156415528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2207,1970.0,,,,,,,,,,,,,,,,23707.053227244938,,35730.02432343625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208,1960.0,,,,,,,,,,,,14071.879537098275,10013.391160001947,4002.732056759877,,,,11447.734879521071,,,,,,,,,,,,,,,,,,1123.239509158974,,2299.9985224809493,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2209,1969.0,5757.240924178082,14751.129588215412,,48598.32509654279,,,,,,,,,,,36944.64420146742,,17780.2899204337,,31263.771283006718,,25240.045351406035,,36590.415639655475,,38775.906066515316,,28080.98772897435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,1955.0,,,,,,,,,,,,,40543.32197405336,43766.936824768614,38381.60616118722,36877.82397053853,51010.563321981244,41722.46316667478,48032.78468111853,,46793.56562002661,,42929.005798204016,,3396.15045159018,,30108.21851831357,,,,34967.90351018628,,33496.89780322149,,,,37606.816074090355,,35185.257164756,,,,,,,,,,,,,,,,,,,,,,,,,,,
2214,1963.0,16787.33571451618,29375.35232839951,32839.683733738995,,,,,,25505.281660990622,36715.76758667381,40027.32056759878,43512.67846581713,33208.33689163179,,40067.07207832375,,51621.48686417074,,85088.44363871226,,59111.43072234787,,61638.338390836834,,75926.30168730202,,50311.823733802696,,48787.220852873965,,80460.00508801929,,50545.777912153826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2215,1969.0,,,,,,,18113.63830452643,,21464.502899102008,,24452.2832514493,,19635.794685856676,,8620.416980342397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2216,1961.0,1051.5938683319803,13230.18505288451,,2686.7149168051556,,2099.0421947251693,,11936.437315845988,15352.642464474888,22126.694382323112,17589.849421372845,21695.680846670886,20814.206695151363,21756.339232908565,22642.047880658036,,21464.502899102008,,,,26181.05958114223,,30787.203501222848,,17780.2899204337,,24564.391722362423,,42066.74225234339,,40656.01737739497,,24234.94129157207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2217,1960.0,18384.853090712033,37556.9238689993,43659.61067451889,,,32778.38299076935,41980.843894503385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2218,1965.0,,,,1989.4062193076645,,3687.782397053853,4397.462355343211,,,,,,,,,,,,,,14224.231936346961,,16748.448901610744,,21033.371126171696,,25410.01086087186,,27143.13424656072,,26208.92188037606,,38639.975177679946,,40031.47103451791,,42646.03444696756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2219,1966.0,10495.210973625846,14190.162690918678,14920.546644807484,16312.182618504567,1475.112958821541,,13351.18821333593,,,,,,,3396.15045159018,,47125.90724605602,,40639.10862161416,,47414.106454489876,,45779.0936644027,,46273.416477577724,,50820.02172174372,,43622.89432482974,,54289.90960935041,,59799.96158450467,,60492.000674382616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2220,1963.0,,18077.139894399697,4378.624497831866,,,19894.062193076647,19190.80308059361,5531.673595580778,21107.819305647412,13351.18821333593,16010.928227039509,,,,,,33961.504515901805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2221,1954.0,,,,,,,15042.15252876439,20130.511193783623,,31176.480612672905,36154.279788799395,37218.30823157087,37782.75950505304,36488.98977664803,37798.718166845625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
