"R0000100","T3045300","T3045500","T3045700","T3046000","T3046100"
1,-5,-5,-5,-5,-5
2,6000,-4,-4,-4,-4
3,-5,-5,-5,-5,-5
4,-5,-5,-5,-5,-5
5,-5,-5,-5,-5,-5
6,90300,-4,-4,-4,-4
7,0,-4,-4,-4,-4
8,41999,-4,-4,-4,-4
9,52000,-4,-4,-4,-4
10,-5,-5,-5,-5,-5
11,-5,-5,-5,-5,-5
12,-5,-5,-5,-5,-5
13,-5,-5,-5,-5,-5
14,95000,-4,-4,-4,-4
15,0,-4,-4,-4,-4
16,64000,-4,-4,-4,-4
17,50000,-4,-4,-4,-4
18,60000,-4,-4,-4,-4
19,0,-4,-4,-4,-4
20,-5,-5,-5,-5,-5
21,312324,-4,-4,-4,-4
22,40000,-4,-4,-4,-4
23,-5,-5,-5,-5,-5
24,-5,-5,-5,-5,-5
25,32760,-4,-4,-4,-4
26,95000,-4,-4,-4,-4
27,16000,-4,-4,-4,-4
28,0,-4,-4,-4,-4
29,30000,-4,-4,-4,-4
30,0,-4,-4,-4,-4
31,0,-4,-4,-4,-4
32,75000,-4,-4,-4,-4
33,0,-4,-4,-4,-4
34,30000,-4,-4,-4,-4
35,-5,-5,-5,-5,-5
36,0,-4,-4,-4,-4
37,44000,-4,-4,-4,-4
38,97500,-4,-4,-4,-4
39,60000,-4,-4,-4,-4
40,40000,-4,-4,-4,-4
41,130000,-4,-4,-4,-4
42,48000,-4,-4,-4,-4
43,0,-4,-4,-4,-4
44,29120,-4,-4,-4,-4
45,-5,-5,-5,-5,-5
46,-5,-5,-5,-5,-5
47,68000,-4,-4,-4,-4
48,-5,-5,-5,-5,-5
49,55000,-4,-4,-4,-4
50,49500,-4,-4,-4,-4
51,-5,-5,-5,-5,-5
52,-5,-5,-5,-5,-5
53,6000,-4,-4,-4,-4
54,40000,-4,-4,-4,-4
55,-5,-5,-5,-5,-5
56,-5,-5,-5,-5,-5
57,61000,-4,-4,-4,-4
58,97000,-4,-4,-4,-4
59,45200,-4,-4,-4,-4
60,-5,-5,-5,-5,-5
61,0,-4,-4,-4,-4
62,46000,-4,-4,-4,-4
63,140000,-4,-4,-4,-4
64,-5,-5,-5,-5,-5
65,-5,-5,-5,-5,-5
66,-1,-4,-4,-4,-4
67,312324,-4,-4,-4,-4
68,0,-4,-4,-4,-4
69,146000,-4,-4,-4,-4
70,40000,-4,-4,-4,-4
71,-1,-4,-4,-4,-1
72,45000,-4,-4,-4,-4
73,110000,-4,-4,-4,-4
74,-5,-5,-5,-5,-5
75,85000,-4,-4,-4,-4
76,70000,-4,-4,-4,-4
77,110000,-4,-4,-4,-4
78,-5,-5,-5,-5,-5
79,-5,-5,-5,-5,-5
80,32000,-4,-4,-4,-4
81,-5,-5,-5,-5,-5
82,-5,-5,-5,-5,-5
83,0,-4,-4,-4,-4
84,0,-4,-4,-4,-4
85,0,-4,-4,-4,-4
86,-2,12000,10000,-4,-4
87,26009,-4,-4,-4,-4
88,30000,-4,-4,-4,-4
89,-5,-5,-5,-5,-5
90,128000,-4,-4,-4,-4
91,30000,-4,-4,-4,-4
92,25940,-4,-4,-4,-4
93,85000,-4,-4,-4,-4
94,44000,-4,-4,-4,-4
95,46000,-4,-4,-4,-4
96,53500,-4,-4,-4,-4
97,52000,-4,-4,-4,-4
98,0,-4,-4,-4,-4
99,35000,-4,-4,-4,-4
100,80000,-4,-4,-4,-4
101,112000,-4,-4,-4,-4
102,-1,-4,-4,-4,1
103,71000,-4,-4,-4,-4
104,-5,-5,-5,-5,-5
105,52000,-4,-4,-4,-4
106,110000,-4,-4,-4,-4
107,51000,-4,-4,-4,-4
108,65000,-4,-4,-4,-4
109,-5,-5,-5,-5,-5
110,94000,-4,-4,-4,-4
111,38000,-4,-4,-4,-4
112,16000,-4,-4,-4,-4
113,-5,-5,-5,-5,-5
114,-5,-5,-5,-5,-5
115,-5,-5,-5,-5,-5
116,-5,-5,-5,-5,-5
