"R0000100","T4915800","T4915900","T4916000","T4916300","T4916400"
1,-5,-5,-5,-5,-5
2,21000,-4,-4,-4,-4
3,40000,-4,-4,-4,-4
4,-5,-5,-5,-5,-5
5,-5,-5,-5,-5,-5
6,112000,-4,-4,-4,-4
7,-5,-5,-5,-5,-5
8,47000,-4,-4,-4,-4
9,80000,-4,-4,-4,-4
10,-5,-5,-5,-5,-5
11,-5,-5,-5,-5,-5
12,-5,-5,-5,-5,-5
13,-5,-5,-5,-5,-5
14,45000,-4,-4,-4,-4
15,0,-4,-4,-4,-4
16,74000,-4,-4,-4,-4
17,68000,-4,-4,-4,-4
18,151000,-4,-4,-4,-4
19,-5,-5,-5,-5,-5
20,112000,-4,-4,-4,-4
21,370314,-4,-4,-4,-4
22,10300,-4,-4,-4,-4
23,-5,-5,-5,-5,-5
24,-5,-5,-5,-5,-5
25,36000,-4,-4,-4,-4
26,-5,-5,-5,-5,-5
27,46000,-4,-4,-4,-4
28,-5,-5,-5,-5,-5
29,0,-4,-4,-4,-4
30,0,-4,-4,-4,-4
31,26000,-4,-4,-4,-4
32,-5,-5,-5,-5,-5
33,0,-4,-4,-4,-4
34,26000,-4,-4,-4,-4
35,-5,-5,-5,-5,-5
36,28000,-4,-4,-4,-4
37,45000,-4,-4,-4,-4
38,96000,-4,-4,-4,-4
39,65000,-4,-4,-4,-4
40,15000,-4,-4,-4,-4
41,140000,-4,-4,-4,-4
42,60000,-4,-4,-4,-4
43,0,-4,-4,-4,-4
44,45000,-4,-4,-4,-4
45,-5,-5,-5,-5,-5
46,-5,-5,-5,-5,-5
47,90000,-4,-4,-4,-4
48,-5,-5,-5,-5,-5
49,500,-4,-4,-4,-4
50,65000,-4,-4,-4,-4
51,-5,-5,-5,-5,-5
52,370314,-4,-4,-4,-4
53,0,-4,-4,-4,-4
54,44000,-4,-4,-4,-4
55,-5,-5,-5,-5,-5
56,-5,-5,-5,-5,-5
57,31000,-4,-4,-4,-4
58,110000,-4,-4,-4,-4
59,0,-4,-4,-4,-4
60,-5,-5,-5,-5,-5
61,0,-4,-4,-4,-4
62,58000,-4,-4,-4,-4
63,150000,-4,-4,-4,-4
64,-5,-5,-5,-5,-5
65,-5,-5,-5,-5,-5
66,0,-4,-4,-4,-4
67,370314,-4,-4,-4,-4
68,0,-4,-4,-4,-4
69,140000,-4,-4,-4,-4
70,34000,-4,-4,-4,-4
71,-1,-4,-4,-4,-4
72,46000,-4,-4,-4,-4
73,370314,-4,-4,-4,-4
74,-5,-5,-5,-5,-5
75,117000,-4,-4,-4,-4
76,60000,-4,-4,-4,-4
77,134000,-4,-4,-4,-4
78,-5,-5,-5,-5,-5
79,-5,-5,-5,-5,-5
80,23783,-4,-4,-4,-4
81,54000,-4,-4,-4,-4
82,-5,-5,-5,-5,-5
83,0,-4,-4,-4,-4
84,0,-4,-4,-4,-4
85,0,-4,-4,-4,-4
86,24000,-4,-4,-4,-4
87,0,-4,-4,-4,-4
88,36000,-4,-4,-4,-4
89,-5,-5,-5,-5,-5
90,129000,-4,-4,-4,-4
91,40000,-4,-4,-4,-4
92,41000,-4,-4,-4,-4
93,49000,-4,-4,-4,-4
94,50000,-4,-4,-4,-4
95,52000,-4,-4,-4,-4
96,52000,-4,-4,-4,-4
97,27000,-4,-4,-4,-4
98,0,-4,-4,-4,-4
99,32000,-4,-4,-4,-4
100,96000,-4,-4,-4,-4
101,-5,-5,-5,-5,-5
102,-1,-4,-4,-4,1
103,90000,-4,-4,-4,-4
104,-5,-5,-5,-5,-5
105,-5,-5,-5,-5,-5
106,122000,-4,-4,-4,-4
107,75000,-4,-4,-4,-4
108,60000,-4,-4,-4,-4
109,-5,-5,-5,-5,-5
110,90000,-4,-4,-4,-4
111,42000,-4,-4,-4,-4
112,34000,-4,-4,-4,-4
113,-5,-5,-5,-5,-5
114,-5,-5,-5,-5,-5
115,20000,-4,-4,-4,-4
116,-5,-5,-5,-5,-5
117,45000,-4,-4,-4,-4
118,-5,-5,-5,-5,-5
119,15000,-4,-4,-4,-4
120,120000,-4,-4,-4,-4
121,62000,-4,-4,-4,-4
122,100000,-4,-4,-4,-4
123,-5,-5,-5,-5,-5
124,0,-4,-4,-4,-4
125,-5,-5,-5,-5,-5
126,75000,-4,-4,-4,-4
127,-5,-5,-5,-5,-5
128,148000,-4,-4,-4,-4
129,120000,-4,-4,-4,-4
130,-5,-5,-5,-5,-5
131,-5,-5,-5,-5,-5
132,-5,-5,-5,-5,-5
133,15000,-4,-4,-4,-4
134,-5,-5,-5,-5,-5
135,80000,-4,-4,-4,-4
136,0,-4,-4,-4,-4
137,180000,-4,-4,-4,-4
138,20000,-4,-4,-4,-4
139,-5,-5,-5,-5,-5
140,76000,-4,-4,-4,-4
141,72000,-4,-4,-4,-4
142,-5,-5,-5,-5,-5
143,-5,-5,-5,-5,-5
144,23000,-4,-4,-4,-4
145,-5,-5,-5,-5,-5
146,114000,-4,-4,-4,-4
147,12000,-4,-4,-4,-4
148,48000,-4,-4,-4,-4
149,110000,-4,-4,-4,-4
150,-5,-5,-5,-5,-5
151,-5,-5,-5,-5,-5
152,25000,-4,-4,-4,-4
153,0,-4,-4,-4,-4
154,-5,-5,-5,-5,-5
155,-5,-5,-5,-5,-5
156,0,-4,-4,-4,-4
157,130000,-4,-4,-4,-4
158,68000,-4,-4,-4,-4
159,-5,-5,-5,-5,-5
160,80000,-4,-4,-4,-4
161,55000,-4,-4,-4,-4
162,-5,-5,-5,-5,-5
163,-5,-5,-5,-5,-5
164,49000,-4,-4,-4,-4
165,50000,-4,-4,-4,-4
166,-5,-5,-5,-5,-5
167,-5,-5,-5,-5,-5
168,14000,-4,-4,-4,-4
169,0,-4,-4,-4,-4
170,-5,-5,-5,-5,-5
171,126000,-4,-4,-4,-4
172,0,-4,-4,-4,-4
173,-5,-5,-5,-5,-5
174,55000,-4,-4,-4,-4
175,-2,-2,-2,-2,-4
176,-5,-5,-5,-5,-5
177,-5,-5,-5,-5,-5
178,-5,-5,-5,-5,-5
179,42000,-4,-4,-4,-4
180,98000,-4,-4,-4,-4
181,75000,-4,-4,-4,-4
182,0,-4,-4,-4,-4
183,-5,-5,-5,-5,-5
184,43000,-4,-4,-4,-4
185,69000,-4,-4,-4,-4
186,110000,-4,-4,-4,-4
187,-5,-5,-5,-5,-5
188,19715,-4,-4,-4,-4
189,100000,-4,-4,-4,-4
190,145000,-4,-4,-4,-4
191,370314,-4,-4,-4,-4
192,36000,-4,-4,-4,-4
193,135871,-4,-4,-4,-4
194,-5,-5,-5,-5,-5
195,0,-4,-4,-4,-4
196,-5,-5,-5,-5,-5
197,22000,-4,-4,-4,-4
198,-5,-5,-5,-5,-5
199,51000,-4,-4,-4,-4
200,45000,-4,-4,-4,-4
201,8000,-4,-4,-4,-4
202,16000,-4,-4,-4,-4
203,-5,-5,-5,-5,-5
204,0,-4,-4,-4,-4
205,-2,-2,-2,-4,-4
206,-5,-5,-5,-5,-5
207,-5,-5,-5,-5,-5
208,-5,-5,-5,-5,-5
209,-5,-5,-5,-5,-5
210,70000,-4,-4,-4,-4
211,12000,-4,-4,-4,-4
212,65000,-4,-4,-4,-4
213,-5,-5,-5,-5,-5
214,120000,-4,-4,-4,-4
215,-5,-5,-5,-5,-5
216,-5,-5,-5,-5,-5
217,-5,-5,-5,-5,-5
218,370314,-4,-4,-4,-4
219,125000,-4,-4,-4,-4
220,130000,-4,-4,-4,-4
221,2100,-4,-4,-4,-4
222,0,-4,-4,-4,-4
223,61000,-4,-4,-4,-4
224,14000,-4,-4,-4,-4
225,-5,-5,-5,-5,-5
226,-5,-5,-5,-5,-5
227,30000,-4,-4,-4,-4
228,0,-4,-4,-4,-4
229,1200,-4,-4,-4,-4
230,80000,-4,-4,-4,-4
231,60000,-4,-4,-4,-4
232,-5,-5,-5,-5,-5
233,50000,-4,-4,-4,-4
234,92000,-4,-4,-4,-4
235,0,-4,-4,-4,-4
236,50000,-4,-4,-4,-4
237,0,-4,-4,-4,-4
238,-5,-5,-5,-5,-5
239,0,-4,-4,-4,-4
240,45000,-4,-4,-4,-4
241,-5,-5,-5,-5,-5
242,101000,-4,-4,-4,-4
243,128000,-4,-4,-4,-4
244,12000,-4,-4,-4,-4
245,36000,-4,-4,-4,-4
246,-5,-5,-5,-5,-5
247,120000,-4,-4,-4,-4
248,0,-4,-4,-4,-4
249,0,-4,-4,-4,-4
250,1500,-4,-4,-4,-4
251,27268,-4,-4,-4,-4
252,9400,-4,-4,-4,-4
253,30000,-4,-4,-4,-4
254,43000,-4,-4,-4,-4
255,22000,-4,-4,-4,-4
256,12500,-4,-4,-4,-4
257,11000,-4,-4,-4,-4
258,0,-4,-4,-4,-4
259,57000,-4,-4,-4,-4
260,75000,-4,-4,-4,-4
261,105000,-4,-4,-4,-4
262,-5,-5,-5,-5,-5
263,-5,-5,-5,-5,-5
264,-5,-5,-5,-5,-5
265,18000,-4,-4,-4,-4
266,-5,-5,-5,-5,-5
267,0,-4,-4,-4,-4
268,0,-4,-4,-4,-4
269,370314,-4,-4,-4,-4
270,-5,-5,-5,-5,-5
271,-5,-5,-5,-5,-5
272,3500,-4,-4,-4,-4
273,48000,-4,-4,-4,-4
274,0,-4,-4,-4,-4
275,69700,-4,-4,-4,-4
276,-5,-5,-5,-5,-5
277,30000,-4,-4,-4,-4
278,-5,-5,-5,-5,-5
279,101000,-4,-4,-4,-4
280,-5,-5,-5,-5,-5
281,138000,-4,-4,-4,-4
282,30000,-4,-4,-4,-4
283,82000,-4,-4,-4,-4
284,148000,-4,-4,-4,-4
285,80000,-4,-4,-4,-4
286,70000,-4,-4,-4,-4
287,-5,-5,-5,-5,-5
288,21000,-4,-4,-4,-4
289,10000,-4,-4,-4,-4
290,1002,-4,-4,-4,-4
291,130,-4,-4,-4,-4
292,66000,-4,-4,-4,-4
293,73000,-4,-4,-4,-4
294,75000,-4,-4,-4,-4
295,-5,-5,-5,-5,-5
296,-2,-2,40000,-4,-4
297,30000,-4,-4,-4,-4
298,-5,-5,-5,-5,-5
299,0,-4,-4,-4,-4
300,-5,-5,-5,-5,-5
301,60000,-4,-4,-4,-4
302,0,-4,-4,-4,-4
303,36400,-4,-4,-4,-4
304,15000,-4,-4,-4,-4
305,0,-4,-4,-4,-4
306,33000,-4,-4,-4,-4
307,23000,-4,-4,-4,-4
308,0,-4,-4,-4,-4
309,110000,-4,-4,-4,-4
310,120000,-4,-4,-4,-4
311,40000,-4,-4,-4,-4
312,79675,-4,-4,-4,-4
313,42000,-4,-4,-4,-4
314,-5,-5,-5,-5,-5
315,-5,-5,-5,-5,-5
316,16964,-4,-4,-4,-4
317,52000,-4,-4,-4,-4
318,-5,-5,-5,-5,-5
319,-1,-4,-4,-4,-1
320,80000,-4,-4,-4,-4
321,-5,-5,-5,-5,-5
322,-5,-5,-5,-5,-5
323,90000,-4,-4,-4,-4
324,-5,-5,-5,-5,-5
325,-5,-5,-5,-5,-5
326,-5,-5,-5,-5,-5
327,-5,-5,-5,-5,-5
328,-5,-5,-5,-5,-5
329,-5,-5,-5,-5,-5
330,-5,-5,-5,-5,-5
331,0,-4,-4,-4,-4
332,0,-4,-4,-4,-4
333,0,-4,-4,-4,-4
334,-5,-5,-5,-5,-5
335,17000,-4,-4,-4,-4
336,12000,-4,-4,-4,-4
337,0,-4,-4,-4,-4
338,-5,-5,-5,-5,-5
339,20000,-4,-4,-4,-4
340,10000,-4,-4,-4,-4
341,-5,-5,-5,-5,-5
342,100000,-4,-4,-4,-4
343,23000,-4,-4,-4,-4
344,-5,-5,-5,-5,-5
345,-5,-5,-5,-5,-5
346,170000,-4,-4,-4,-4
347,90000,-4,-4,-4,-4
348,-5,-5,-5,-5,-5
349,-5,-5,-5,-5,-5
350,75000,-4,-4,-4,-4
351,-5,-5,-5,-5,-5
352,0,-4,-4,-4,-4
353,-5,-5,-5,-5,-5
354,12000,-4,-4,-4,-4
355,370314,-4,-4,-4,-4
356,79000,-4,-4,-4,-4
357,110000,-4,-4,-4,-4
358,170000,-4,-4,-4,-4
359,-5,-5,-5,-5,-5
360,0,-4,-4,-4,-4
361,-5,-5,-5,-5,-5
362,40000,-4,-4,-4,-4
363,4000,-4,-4,-4,-4
364,100000,-4,-4,-4,-4
365,13000,-4,-4,-4,-4
366,-5,-5,-5,-5,-5
367,72000,-4,-4,-4,-4
368,54085,-4,-4,-4,-4
369,48000,-4,-4,-4,-4
370,40000,-4,-4,-4,-4
371,-5,-5,-5,-5,-5
372,-1,-4,-4,-4,1
373,25600,-4,-4,-4,-4
374,-5,-5,-5,-5,-5
375,20000,-4,-4,-4,-4
376,90000,-4,-4,-4,-4
377,-5,-5,-5,-5,-5
378,25000,-4,-4,-4,-4
379,0,-4,-4,-4,-4
380,3000,-4,-4,-4,-4
381,110000,-4,-4,-4,-4
382,28000,-4,-4,-4,-4
383,-5,-5,-5,-5,-5
384,-5,-5,-5,-5,-5
385,0,-4,-4,-4,-4
386,-1,-4,-4,-4,-4
387,0,-4,-4,-4,-4
388,61000,-4,-4,-4,-4
389,-5,-5,-5,-5,-5
390,-5,-5,-5,-5,-5
