"R0000100","T0912400","T0912600","T0912800","T0913000","T0913100"
1,-5,-5,-5,-5,-5
2,5500,-4,-4,-4,-4
3,0,-4,-4,-4,-4
4,-5,-5,-5,-5,-5
5,-5,-5,-5,-5,-5
6,65000,-4,-4,-4,-4
7,19000,-4,-4,-4,-4
8,36000,-4,-4,-4,-4
9,65000,-4,-4,-4,-4
10,-5,-5,-5,-5,-5
11,-5,-5,-5,-5,-5
12,-5,-5,-5,-5,-5
13,8000,-4,-4,-4,-4
14,116000,-4,-4,-4,-4
15,0,-4,-4,-4,-4
16,71000,-4,-4,-4,-4
17,43000,-4,-4,-4,-4
18,120000,-4,-4,-4,-4
19,0,-4,-4,-4,-4
20,64000,-4,-4,-4,-4
21,279816,-4,-4,-4,-4
22,45300,-4,-4,-4,-4
23,-5,-5,-5,-5,-5
24,-5,-5,-5,-5,-5
25,23000,-4,-4,-4,-4
26,-5,-5,-5,-5,-5
27,0,-4,-4,-4,-4
28,-5,-5,-5,-5,-5
29,85000,-4,-4,-4,-4
30,0,-4,-4,-4,-4
31,40000,-4,-4,-4,-4
32,35000,-4,-4,-4,-4
33,0,-4,-4,-4,-4
34,279816,-4,-4,-4,-4
35,-5,-5,-5,-5,-5
36,0,-4,-4,-4,-4
37,37000,-4,-4,-4,-4
38,70000,-4,-4,-4,-4
39,67000,-4,-4,-4,-4
40,0,-4,-4,-4,-4
41,120000,-4,-4,-4,-4
42,45000,-4,-4,-4,-4
43,0,-4,-4,-4,-4
44,7200,-4,-4,-4,-4
45,-5,-5,-5,-5,-5
46,42000,-4,-4,-4,-4
47,66309,-4,-4,-4,-4
48,-5,-5,-5,-5,-5
49,34000,-4,-4,-4,-4
50,0,-4,-4,-4,-4
51,-5,-5,-5,-5,-5
52,-5,-5,-5,-5,-5
53,325,-4,-4,-4,-4
54,-5,-5,-5,-5,-5
55,-5,-5,-5,-5,-5
56,-5,-5,-5,-5,-5
57,12000,-4,-4,-4,-4
58,55500,-4,-4,-4,-4
59,-2,0,50000,-4,-4
60,-5,-5,-5,-5,-5
61,63000,-4,-4,-4,-4
62,30000,-4,-4,-4,-4
63,108000,-4,-4,-4,-4
64,-5,-5,-5,-5,-5
65,-5,-5,-5,-5,-5
66,25000,-4,-4,-4,-4
67,0,-4,-4,-4,-4
68,0,-4,-4,-4,-4
69,120000,-4,-4,-4,-4
70,-5,-5,-5,-5,-5
71,-5,-5,-5,-5,-5
72,44000,-4,-4,-4,-4
73,279816,-4,-4,-4,-4
74,-5,-5,-5,-5,-5
75,40000,-4,-4,-4,-4
76,37000,-4,-4,-4,-4
77,95000,-4,-4,-4,-4
78,14657,-4,-4,-4,-4
79,-5,-5,-5,-5,-5
80,13000,-4,-4,-4,-4
81,40000,-4,-4,-4,-4
82,-5,-5,-5,-5,-5
83,0,-4,-4,-4,-4
84,0,-4,-4,-4,-4
85,0,-4,-4,-4,-4
86,14000,-4,-4,-4,-4
87,17000,-4,-4,-4,-4
