"R0000100","R0006500","R0007900","T9900000"
389,12,16,12
390,11,12,10
391,12,12,12
392,11,12,12
393,11,12,13
394,9,8,12
395,10,-2,14
396,7,-2,12
397,6,-3,9
398,12,12,10
399,12,10,18
400,12,10,16
401,11,11,12
402,8,11,12
403,12,10,7
404,10,-3,10
405,12,15,13
406,-3,-3,14
407,16,-3,18
408,12,12,12
409,16,16,16
410,12,12,12
411,11,12,12
412,11,12,14
413,14,11,12
414,17,16,14
415,8,-2,10
416,-3,-3,19
417,12,16,12
418,13,12,13
419,18,-3,12
420,18,-3,16
421,16,20,20
422,16,20,19
423,16,20,20
424,-3,12,12
425,14,12,12
426,12,12,12
427,12,9,12
428,12,16,14
429,12,12,18
430,12,-3,12
431,15,15,14
432,12,12,12
433,12,11,12
434,8,8,12
435,7,12,12
436,12,12,12
437,8,10,12
438,10,12,13
439,12,8,16
440,12,12,12
441,12,9,12
442,12,8,13
443,16,14,14
444,13,16,16
445,14,16,16
446,12,11,12
447,-3,6,12
448,12,12,12
449,12,12,12
450,12,12,12
451,12,12,12
452,12,-3,18
453,12,12,13
454,12,12,17
455,12,12,20
456,12,14,20
457,15,14,16
458,12,12,18
459,12,12,20
460,12,10,13
461,12,18,16
462,16,14,18
463,12,12,12
464,12,12,14
465,12,12,12
466,12,19,19
467,12,18,16
468,12,12,16
469,16,12,12
470,8,6,12
471,14,13,12
472,12,12,11
473,12,12,12
474,12,12,12
475,12,12,12
476,12,12,12
477,8,12,12
478,7,9,12
479,12,12,16
480,12,12,18
481,16,16,19
482,16,16,19
483,12,10,12
484,12,10,12
485,12,12,12
486,12,14,12
487,14,13,14
488,15,14,12
489,12,18,14
490,12,12,15
491,12,11,12
492,12,12,12
493,12,12,13
494,12,12,15
495,12,12,17
496,12,12,17
497,12,11,12
498,10,11,12
499,10,11,14
500,10,11,16
501,12,12,19
502,16,12,12
503,10,10,12
504,10,10,9
505,12,12,12
506,12,14,16
507,14,-3,14
508,14,9,12
509,12,12,13
510,11,14,13
511,12,12,16
512,10,10,13
513,11,6,14
514,11,6,12
515,8,8,16
516,16,-3,12
517,11,-4,12
518,11,-3,12
519,11,-2,11
520,12,8,16
521,11,11,17
522,11,11,13
523,11,11,15
524,-2,-2,15
525,-2,-2,15
526,11,11,12
527,13,20,13
528,12,12,12
529,12,-3,12
530,5,8,9
531,-2,12,9
532,12,3,12
533,12,12,15
534,11,-3,12
535,9,10,12
536,8,7,10
537,8,7,12
538,-2,-2,12
539,8,8,14
540,8,8,12
541,8,-2,12
542,6,7,12
543,12,12,12
544,12,11,12
545,12,10,14
546,9,16,10
547,9,16,11
548,12,15,12
549,12,16,12
550,14,16,12
551,12,12,10
552,12,18,16
553,12,16,16
554,12,16,19
555,-3,14,12
556,12,12,18
557,12,15,17
558,12,15,20
559,12,16,16
560,12,18,14
561,12,14,20
562,12,13,20
563,6,6,13
564,12,12,14
565,12,12,13
566,12,12,12
567,12,12,14
568,12,14,12
569,12,12,12
570,12,12,16
571,12,16,13
572,12,12,12
573,14,16,17
574,12,12,17
575,12,16,19
576,12,16,18
577,12,17,17
578,12,-3,18
579,12,11,13
580,12,12,12
581,12,12,12
582,17,20,16
583,12,15,13
584,12,11,10
585,12,12,9
586,6,12,14
587,-2,-2,12
588,-3,-2,12
589,-2,-2,1
590,11,11,13
591,12,16,14
592,9,-2,12
593,13,12,14
594,10,12,12
595,-2,11,10
596,14,12,16
597,7,0,11
598,15,14,16
599,12,16,14
600,16,16,16
601,16,16,17
602,-2,10,11
603,12,12,13
604,12,12,15
605,11,12,12
606,11,14,13
607,15,16,12
608,14,16,16
609,14,16,16
610,16,16,12
611,12,12,20
612,12,12,17
613,16,12,12
614,-3,1,19
615,9,9,11
616,9,9,12
617,10,-3,10
618,12,12,16
619,10,12,12
620,12,-2,12
621,12,-1,12
622,13,13,15
623,16,-3,14
624,16,-2,17
625,12,-2,12
626,16,7,12
627,12,12,12
628,10,-4,12
629,10,10,8
630,10,10,12
631,10,9,11
632,9,9,12
633,12,12,12
634,8,3,12
635,12,12,12
636,12,12,12
637,12,12,13
638,12,15,16
639,12,15,12
640,10,11,12
641,13,14,12
642,12,12,12
643,12,13,12
644,12,14,20
645,12,14,16
646,12,12,12
647,12,18,12
648,12,17,13
649,17,17,17
650,17,17,16
651,12,12,17
652,12,12,16
653,16,13,18
654,12,18,14
655,12,14,16
656,13,-3,18
657,16,18,20
658,12,18,12
659,12,16,14
660,12,16,14
661,12,16,12
662,12,16,12
663,12,16,16
664,12,17,17
665,12,17,17
666,13,12,12
667,12,10,14
668,12,12,14
669,11,8,12
670,12,15,16
671,18,13,16
672,18,13,18
673,-2,12,12
674,10,11,12
675,9,12,11
676,9,12,15
677,9,-4,12
678,12,9,12
679,8,4,12
680,10,8,12
681,9,4,12
682,9,8,12
683,10,10,18
684,12,12,12
685,12,12,12
686,12,12,18
687,10,14,12
688,11,11,20
689,11,11,13
690,12,-3,12
691,11,12,13
692,13,12,13
693,12,12,12
694,12,12,12
695,12,12,12
696,12,12,13
697,3,12,12
698,7,12,10
699,14,9,16
700,14,9,12
701,12,12,9
702,12,12,12
703,9,9,15
704,12,14,13
705,9,9,13
706,12,12,15
707,11,10,14
708,11,10,12
709,9,9,12
710,9,6,16
711,8,8,12
712,12,12,13
713,12,9,12
714,12,9,11
715,12,10,11
716,12,-3,12
717,12,9,12
718,12,12,12
719,8,6,12
720,8,2,12
721,8,6,13
722,11,12,11
723,11,12,12
724,17,19,15
725,17,19,20
726,12,12,15
727,12,12,12
728,9,15,12
729,12,12,13
730,12,12,15
731,12,12,12
732,12,12,12
733,12,12,13
734,12,12,12
735,8,-3,12
736,10,12,12
737,12,-3,12
738,8,8,12
739,12,12,12
740,13,12,14
741,12,8,12
742,-3,20,17
743,14,20,18
744,12,12,14
745,12,12,12
746,14,12,13
747,14,12,12
748,12,10,13
749,12,8,12
750,13,14,12
751,13,14,20
752,8,10,19
753,9,-2,12
754,9,8,16
755,5,3,12
756,5,3,12
757,11,9,16
758,10,2,12
759,10,2,13
760,10,2,13
761,12,12,15
762,8,12,12
763,10,12,12
764,8,12,16
765,8,12,12
766,14,8,12
767,12,12,9
768,10,-3,12
769,12,12,12
770,11,11,12
771,12,12,12
772,12,14,12
773,12,12,12
774,10,12,14
775,11,12,16
776,12,13,17
777,12,13,16
778,12,13,17
779,17,12,14
780,12,12,12
781,12,12,13
782,10,10,12
783,10,12,12
784,10,12,13
785,8,-3,12
786,8,7,12
787,8,8,12
788,12,16,16
789,12,12,12
