"R0000100","R0006500","R0007900","T9900000"
3211,8,-2,13
3212,12,12,13
3213,12,12,12
3214,12,12,12
3215,12,16,12
3216,12,16,18
3217,12,12,16
3218,12,16,13
3219,12,16,14
3220,12,16,12
3221,12,16,19
3222,12,16,16
3223,12,16,17
3224,15,16,18
3225,12,14,14
3226,11,16,16
3227,11,-3,16
3228,-3,16,17
3229,14,16,20
3230,9,12,10
3231,12,12,14
3232,12,8,14
3233,12,10,12
3234,12,8,15
3235,12,10,12
3236,9,12,12
3237,10,10,13
3238,12,16,19
3239,12,12,17
3240,12,12,19
3241,14,12,19
3242,12,14,12
3243,14,15,16
3244,14,12,18
3245,12,8,12
3246,12,8,12
3247,12,8,12
3248,12,12,13
3249,12,17,14
3250,12,11,14
3251,14,-2,12
3252,12,12,12
3253,-2,-2,12
3254,12,12,12
3255,12,20,13
3256,17,17,20
3257,17,17,18
3258,14,16,13
3259,11,9,8
3260,11,9,8
3261,11,11,9
3262,16,17,12
3263,12,11,16
3264,3,5,11
3265,5,8,12
3266,12,12,16
3267,12,12,12
3268,11,5,12
3269,9,12,14
3270,3,6,9
3271,11,10,7
3272,11,10,12
3273,8,12,12
3274,8,12,12
3275,12,14,16
3276,8,16,20
3277,12,12,12
3278,12,12,19
3279,12,12,12
3280,12,12,14
3281,5,14,13
3282,2,16,13
3283,2,16,12
3284,8,8,15
3285,16,10,12
3286,18,20,20
3287,10,10,13
3288,3,0,9
3289,12,12,16
3290,12,12,20
3291,12,12,16
3292,15,8,15
3293,12,-2,12
3294,12,12,18
3295,12,12,18
3296,10,8,8
3297,11,11,12
3298,3,3,8
3299,12,12,15
3300,12,12,14
3301,12,12,14
3302,12,12,13
3303,14,16,16
3304,16,20,13
3305,16,20,18
3306,10,8,12
3307,14,15,15
3308,14,15,14
3309,12,15,17
3310,12,12,12
3311,12,11,11
3312,13,12,16
3313,16,11,9
3314,16,11,9
3315,13,12,18
3316,13,14,18
3317,13,12,12
3318,13,12,7
3319,9,6,10
3320,9,6,8
3321,9,6,12
3322,12,12,13
3323,11,12,14
3324,12,13,12
3325,11,6,12
3326,12,12,12
3327,12,-2,12
3328,5,8,12
3329,5,12,12
3330,5,12,13
3331,8,7,13
3332,9,-3,13
3333,-3,9,12
3334,13,12,12
3335,12,12,12
3336,9,8,12
3337,12,8,18
3338,12,12,16
3339,12,12,12
3340,12,16,10
3341,11,12,18
3342,11,15,18
3343,10,10,10
3344,12,12,12
3345,12,12,13
3346,12,12,12
3347,12,12,12
3348,12,12,12
3349,12,12,12
3350,12,12,14
3351,12,12,15
3352,12,12,16
3353,13,14,12
3354,13,14,14
3355,11,14,14
3356,12,12,14
3357,12,18,18
3358,12,18,16
3359,12,18,15
3360,12,15,19
3361,12,16,20
3362,14,8,12
3363,11,12,12
3364,12,14,14
3365,12,14,14
3366,12,10,19
3367,12,16,20
3368,12,19,16
3369,12,19,16
3370,12,12,18
3371,-2,12,12
3372,12,12,15
3373,14,10,12
3374,12,11,12
3375,12,12,16
3376,12,12,18
3377,12,12,18
3378,12,12,16
3379,12,12,18
3380,12,12,14
3381,12,12,12
3382,12,12,16
3383,14,-3,15
3384,12,16,14
3385,12,12,13
3386,12,-2,14
3387,18,20,16
3388,18,20,17
3389,12,19,12
3390,17,17,20
3391,16,18,17
3392,14,12,13
3393,17,16,17
3394,14,14,19
3395,12,8,15
3396,12,12,12
3397,12,12,12
3398,12,11,12
3399,12,12,12
3400,12,12,12
3401,12,12,13
3402,10,12,16
3403,8,12,12
3404,12,12,16
3405,12,12,16
3406,12,16,16
3407,12,12,16
3408,12,12,12
3409,12,12,13
3410,12,12,16
3411,12,14,15
3412,12,11,12
3413,12,10,12
3414,16,17,16
3415,16,17,15
3416,12,-3,12
3417,12,12,12
3418,13,12,12
3419,14,16,14
3420,16,14,14
3421,16,16,13
3422,16,12,18
3423,13,12,16
3424,13,12,14
3425,13,12,13
3426,16,16,16
3427,12,16,14
3428,16,16,19
3429,16,16,16
3430,16,16,16
3431,16,16,17
3432,14,16,13
3433,14,17,16
3434,4,-2,16
3435,8,6,0
3436,5,2,8
3437,-2,-2,7
3438,8,2,7
3439,19,12,12
3440,6,6,12
3441,6,4,12
3442,15,15,18
3443,16,12,17
3444,10,8,12
3445,-3,12,12
3446,12,12,12
3447,14,6,12
3448,12,12,9
3449,16,16,13
3450,12,14,15
3451,14,14,18
3452,12,12,12
3453,12,8,12
3454,17,17,12
3455,14,12,12
3456,14,12,12
3457,14,12,14
3458,14,12,14
3459,12,12,18
3460,12,12,12
3461,16,13,14
3462,16,13,13
3463,16,13,16
3464,12,16,16
3465,12,16,14
3466,12,16,16
3467,12,12,12
3468,12,12,15
3469,12,10,18
3470,12,12,12
3471,12,12,12
3472,12,10,18
3473,12,10,12
3474,12,10,12
3475,14,12,12
3476,14,12,15
3477,12,13,14
3478,12,12,12
3479,12,12,12
3480,12,8,12
3481,12,20,14
3482,3,1,13
3483,5,0,13
3484,5,12,12
3485,13,16,18
3486,12,14,14
3487,12,12,12
3488,12,14,12
3489,12,12,15
3490,14,16,13
3491,11,10,12
3492,12,8,12
3493,10,10,12
3494,12,12,13
3495,9,10,12
3496,11,5,14
3497,11,8,15
3498,12,14,14
3499,9,12,18
3500,17,12,17
3501,9,9,12
3502,6,10,12
3503,12,12,12
3504,10,10,12
3505,12,12,14
3506,14,12,16
3507,14,12,14
3508,12,12,12
3509,10,12,12
3510,10,8,11
3511,8,12,12
3512,10,12,12
3513,9,12,12
3514,12,11,12
3515,16,18,18
3516,12,12,12
3517,12,12,12
3518,12,12,12
3519,12,12,12
3520,12,12,18
3521,12,12,14
3522,11,12,12
3523,12,9,12
3524,11,12,13
3525,12,12,16
3526,12,10,12
3527,12,10,12
3528,12,10,13
3529,12,10,16
3530,14,16,16
3531,12,16,13
3532,12,8,12
3533,12,12,14
3534,16,18,16
3535,16,17,19
3536,16,17,17
3537,12,14,12
3538,12,12,12
3539,11,16,9
3540,11,16,11
3541,-3,11,13
3542,9,-2,10
3543,11,7,13
3544,11,11,12
3545,12,11,14
3546,12,11,15
3547,12,10,14
3548,12,10,14
3549,8,8,12
3550,9,9,12
3551,10,9,16
3552,10,9,16
3553,11,9,12
3554,11,9,10
3555,12,9,12
3556,12,8,12
3557,-3,8,12
3558,14,12,17
3559,9,13,12
3560,9,-3,12
3561,12,10,12
3562,10,8,12
3563,10,8,12
3564,10,-3,12
3565,12,8,12
3566,12,-2,12
3567,12,12,14
3568,12,12,12
3569,12,12,12
3570,9,9,12
3571,9,-2,9
3572,9,10,10
3573,11,8,12
3574,11,8,12
3575,12,12,12
3576,12,12,12
3577,12,12,12
3578,12,12,12
3579,8,8,12
3580,12,13,12
3581,12,12,16
3582,12,14,18
3583,12,14,19
3584,12,12,12
3585,12,12,16
3586,12,7,13
3587,12,16,14
3588,12,16,18
3589,12,12,12
3590,12,11,13
3591,12,12,12
3592,12,12,12
3593,-3,12,12
3594,9,-2,12
3595,12,13,12
3596,12,12,12
3597,11,12,14
3598,12,12,12
3599,12,12,12
3600,12,8,12
3601,13,12,16
3602,11,12,13
3603,11,12,12
3604,9,9,12
3605,16,17,12
3606,12,12,13
3607,12,12,11
3608,14,15,16
3609,14,15,14
3610,12,12,15
3611,12,12,12
3612,12,12,12
3613,12,10,12
3614,16,12,19
3615,13,12,12
3616,12,9,12
3617,11,15,16
3618,11,15,16
3619,12,12,18
3620,12,10,12
3621,12,9,12
3622,12,9,12
3623,12,11,16
3624,8,12,16
3625,8,12,16
3626,13,12,17
3627,9,-2,12
3628,16,18,17
3629,-3,16,16
3630,-3,12,15
3631,9,11,12
3632,12,11,10
3633,12,11,12
3634,12,11,9
3635,12,-2,12
3636,12,13,18
3637,16,9,12
3638,8,9,12
3639,9,10,9
3640,9,10,12
3641,12,10,18
3642,16,12,19
3643,16,12,17
3644,12,-2,14
3645,9,12,13
3646,12,8,10
3647,10,12,12
3648,11,10,12
3649,11,12,12
3650,12,9,12
3651,10,12,16
3652,10,12,10
3653,-2,12,12
3654,12,11,12
3655,12,-2,12
3656,12,7,17
3657,8,5,12
3658,8,5,12
3659,8,5,12
3660,8,6,12
3661,13,12,14
3662,12,12,12
3663,12,17,17
3664,17,12,18
3665,12,12,15
3666,12,12,13
3667,13,16,14
3668,14,16,19
3669,14,17,16
3670,20,20,20
3671,20,20,16
3672,16,16,16
3673,16,16,16
3674,16,16,16
3675,16,16,16
3676,12,16,16
3677,12,20,16
3678,14,14,13
3679,13,14,16
3680,16,14,16
3681,16,20,18
3682,18,20,16
3683,18,20,16
3684,18,20,20
3685,16,18,16
3686,16,16,16
3687,16,16,16
3688,16,19,16
3689,20,20,20
3690,20,20,18
3691,6,1,12
3692,-2,-2,12
3693,14,14,9
3694,12,10,12
3695,16,11,10
3696,16,11,15
3697,9,3,12
3698,9,-3,12
3699,9,8,12
3700,-2,6,13
3701,-2,5,10
3702,5,-4,12
3703,12,6,12
3704,11,6,12
3705,10,12,14
3706,12,12,13
3707,12,12,16
3708,12,12,12
3709,16,15,16
3710,17,16,14
3711,13,18,16
3712,16,18,16
3713,5,5,14
3714,13,12,15
3715,12,16,12
3716,11,9,12
3717,10,9,16
3718,10,8,15
3719,12,9,12
3720,10,12,12
3721,16,11,12
3722,11,10,12
3723,11,14,12
3724,11,12,12
3725,12,12,13
3726,11,12,14
3727,-3,12,12
3728,12,11,12
3729,12,11,12
3730,13,12,14
3731,12,12,14
3732,12,19,12
3733,12,-3,12
3734,12,12,15
3735,12,12,12
3736,12,12,12
3737,12,12,12
3738,12,8,12
3739,12,12,12
3740,12,12,12
3741,12,12,12
3742,12,10,9
3743,12,11,18
3744,12,12,13
3745,12,12,16
3746,12,12,12
3747,11,12,14
3748,12,12,12
3749,12,12,12
3750,12,12,12
3751,12,12,12
3752,12,8,13
3753,12,8,12
3754,9,8,12
3755,12,-3,12
3756,8,12,12
3757,12,18,18
3758,12,12,13
3759,12,12,14
3760,12,12,12
3761,12,12,12
3762,8,8,12
3763,8,10,12
3764,12,12,12
3765,12,10,12
3766,12,20,15
3767,6,-3,9
3768,-2,-2,7
3769,12,11,14
3770,11,8,12
3771,12,8,18
3772,12,8,12
3773,12,6,14
3774,12,8,9
3775,12,8,16
3776,12,8,12
3777,11,12,12
3778,12,12,10
3779,12,12,17
3780,12,10,12
3781,20,12,16
3782,10,8,14
3783,11,12,16
3784,8,8,12
3785,12,12,16
3786,10,10,14
3787,12,12,16
3788,12,13,12
3789,12,10,12
3790,7,7,12
3791,9,12,16
3792,15,14,17
3793,12,12,14
3794,12,12,15
3795,15,17,13
3796,14,12,13
3797,-3,12,14
3798,12,12,20
3799,12,12,16
3800,12,8,17
3801,12,12,12
3802,14,13,13
3803,18,18,18
3804,16,18,18
3805,16,18,16
3806,16,16,14
3807,12,17,15
3808,16,18,20
3809,16,18,16
3810,-2,-2,12
3811,12,12,16
3812,12,13,16
3813,16,16,14
3814,16,16,12
3815,12,18,16
3816,16,19,16
3817,12,-3,18
3818,14,18,18
3819,12,12,13
3820,12,12,15
3821,6,4,12
3822,6,4,12
3823,14,-3,14
3824,12,-3,14
3825,6,7,12
3826,5,7,12
3827,12,-4,12
3828,12,12,12
3829,9,10,16
3830,11,12,12
3831,12,12,12
3832,12,12,12
3833,12,12,12
3834,17,12,15
3835,12,12,13
3836,12,12,19
3837,12,12,12
3838,12,12,12
3839,11,-4,12
3840,12,-2,13
3841,12,12,12
3842,-3,12,9
3843,15,13,12
3844,15,13,14
3845,12,12,12
3846,12,12,12
3847,12,10,12
3848,12,10,16
3849,12,10,12
3850,12,12,12
3851,12,12,12
3852,12,12,12
3853,12,12,14
3854,14,19,20
3855,14,19,20
3856,12,12,12
3857,12,12,16
3858,12,12,12
3859,12,12,12
3860,12,13,19
3861,12,13,16
3862,16,14,14
3863,14,18,19
3864,12,12,16
3865,12,14,20
3866,12,12,18
3867,14,16,14
3868,12,16,18
3869,18,12,13
3870,10,12,14
3871,18,18,20
3872,18,18,16
3873,18,18,20
3874,18,15,16
3875,16,15,16
3876,14,20,16
3877,14,20,15
3878,14,20,14
3879,12,14,13
3880,12,16,15
3881,12,16,12
3882,13,18,16
3883,13,18,15
3884,13,12,16
3885,12,17,16
3886,12,17,17
3887,14,17,20
3888,14,16,13
3889,14,16,16
3890,17,14,18
3891,12,11,13
3892,12,16,16
3893,12,16,12
3894,12,12,18
3895,14,16,20
3896,15,16,16
3897,15,16,17
3898,15,16,16
3899,15,12,14
3900,15,12,12
3901,12,12,15
3902,12,12,16
3903,16,16,17
3904,16,16,18
3905,12,16,12
3906,12,16,12
3907,13,20,13
3908,12,12,13
3909,12,12,14
3910,16,16,16
3911,12,17,18
3912,12,16,18
3913,12,12,18
3914,12,-4,12
3915,12,16,16
3916,16,16,18
3917,16,16,16
3918,16,18,19
3919,16,-2,14
3920,12,16,12
3921,14,14,16
3922,16,16,16
3923,-2,-2,18
3924,16,-2,20
3925,16,18,17
3926,16,18,18
3927,12,12,12
3928,10,-3,14
3929,12,8,12
3930,12,11,12
3931,11,-2,11
3932,11,11,12
3933,10,11,12
3934,8,-2,12
3935,11,12,12
3936,12,12,12
3937,11,3,12
3938,11,8,12
3939,12,11,10
3940,12,-2,10
3941,9,-2,12
3942,12,6,11
3943,12,-2,12
3944,12,-2,12
3945,12,-2,12
3946,12,-2,15
3947,12,-3,12
3948,-2,-4,9
3949,12,7,15
3950,12,12,13
3951,12,12,12
3952,12,10,16
3953,12,12,16
3954,12,10,13
3955,12,10,12
3956,12,12,13
3957,12,12,12
3958,9,12,12
3959,16,-2,13
3960,12,12,14
3961,10,-3,8
3962,8,12,12
3963,10,-4,12
3964,11,6,18
3965,12,10,15
3966,10,10,20
3967,14,18,16
3968,12,16,16
3969,14,16,17
3970,12,14,16
3971,14,11,20
3972,16,12,17
3973,14,14,12
3974,12,9,13
3975,5,7,12
3976,5,5,12
3977,5,7,12
3978,5,5,16
3979,15,18,19
3980,12,14,16
3981,12,8,10
3982,12,10,12
3983,11,-3,12
3984,16,17,16
3985,10,11,13
3986,10,13,12
3987,12,-3,12
3988,10,-4,12
3989,12,8,13
3990,12,10,12
3991,12,10,9
3992,7,8,13
3993,12,12,14
3994,12,11,12
3995,12,12,14
3996,11,12,14
3997,14,12,17
3998,11,-2,10
3999,10,12,11
4000,10,12,7
4001,12,13,13
4002,17,14,18
4003,12,10,9
4004,12,12,12
4005,9,-3,12
4006,11,12,20
4007,14,-3,16
4008,16,16,13
4009,10,9,15
4010,16,12,19
4011,10,3,7
4012,-3,6,13
4013,6,12,12
4014,6,12,12
4015,10,6,14
4016,11,9,13
4017,9,12,14
4018,15,18,12
4019,16,8,17
4020,8,11,12
4021,8,11,18
4022,16,16,12
4023,8,11,16
4024,4,12,12
4025,11,4,12
4026,12,12,13
4027,14,-2,14
4028,12,11,12
4029,-2,10,9
4030,9,12,16
4031,9,12,13
4032,12,12,12
4033,12,12,15
4034,12,12,12
4035,12,12,13
4036,12,12,12
4037,12,12,15
4038,9,12,12
4039,17,12,14
4040,18,12,16
4041,13,12,13
4042,14,14,15
4043,9,12,14
4044,12,14,14
4045,9,11,16
4046,9,10,12
4047,10,12,9
4048,7,7,12
4049,12,8,12
4050,9,12,13
4051,9,12,13
4052,14,13,13
4053,14,15,18
4054,14,15,14
4055,13,17,18
4056,12,14,16
4057,12,12,16
4058,14,16,17
4059,12,9,18
4060,16,12,14
4061,12,12,12
4062,12,12,12
4063,12,12,12
4064,12,12,12
4065,12,15,12
4066,14,16,12
4067,10,12,12
4068,10,12,8
4069,10,-2,12
4070,10,7,8
4071,10,3,12
4072,10,3,12
4073,8,12,12
4074,16,-2,19
4075,10,12,12
4076,12,12,13
4077,12,12,12
4078,4,3,12
4079,-2,-2,13
4080,9,9,12
4081,-2,-2,12
4082,-3,-3,10
4083,10,3,12
4084,12,12,17
4085,10,8,12
4086,12,12,16
4087,12,12,16
4088,15,14,13
4089,9,12,12
4090,12,7,12
4091,12,-3,12
4092,12,12,18
4093,12,12,18
4094,13,20,18
4095,13,16,18
4096,11,12,12
4097,12,12,12
4098,12,12,12
4099,12,12,12
4100,10,12,12
4101,12,8,12
4102,12,17,15
4103,10,8,12
4104,10,8,12
4105,10,8,12
4106,16,17,16
4107,16,17,19
4108,14,16,16
4109,14,16,14
4110,10,12,12
4111,-2,-2,11
4112,12,7,12
4113,12,7,12
4114,11,8,12
4115,5,-2,10
4116,-2,12,16
4117,5,-4,12
4118,5,-2,10
4119,8,6,9
4120,12,6,13
4121,4,12,12
4122,12,16,17
4123,12,-2,12
4124,12,12,18
4125,12,12,13
4126,3,3,12
4127,12,12,13
4128,12,16,12
4129,6,6,14
4130,6,6,12
4131,15,12,13
4132,10,12,14
4133,10,12,12
4134,-2,-2,12
4135,-2,-2,12
4136,10,10,8
4137,8,6,16
4138,11,12,12
4139,12,12,12
4140,12,12,13
4141,11,10,12
4142,12,16,12
4143,12,13,12
4144,12,9,12
4145,8,8,12
4146,12,12,12
4147,12,12,16
4148,14,16,15
4149,12,12,12
4150,12,12,13
4151,8,8,12
4152,12,14,13
4153,12,10,15
4154,12,-2,13
4155,12,13,11
4156,9,10,9
4157,14,9,12
4158,13,12,12
4159,14,14,12
4160,15,13,12
4161,12,12,12
4162,12,9,12
4163,8,8,12
4164,16,14,16
4165,16,-3,12
4166,12,12,12
4167,8,-2,7
4168,-2,-2,12
4169,3,4,12
4170,12,14,14
4171,12,13,16
4172,15,16,16
4173,12,12,12
4174,12,12,15
4175,12,12,12
4176,-2,12,14
4177,7,12,7
4178,11,-3,12
4179,13,16,16
4180,11,-4,12
4181,12,12,11
4182,-2,-2,12
4183,-3,6,7
4184,6,6,12
4185,6,-2,13
4186,3,2,16
4187,2,3,12
4188,12,-4,12
4189,12,-2,5
4190,9,12,20
4191,16,13,18
4192,16,16,16
4193,-2,20,18
4194,12,12,20
4195,12,9,13
4196,11,11,12
4197,11,11,12
4198,-3,12,11
4199,9,10,10
4200,8,7,15
4201,12,8,13
4202,-3,7,12
4203,12,7,14
4204,12,-3,15
4205,12,13,12
4206,12,13,12
4207,16,16,19
4208,-3,16,20
4209,12,8,12
4210,12,-3,12
4211,-3,6,9
4212,-3,-3,14
4213,12,-3,16
4214,12,14,17
4215,-2,-2,13
4216,12,12,12
4217,-2,-2,12
4218,11,11,12
4219,7,11,14
4220,9,7,12
4221,-2,-2,11
4222,12,19,12
4223,12,-3,12
4224,18,20,19
4225,18,6,16
4226,19,6,20
4227,19,8,18
4228,12,16,13
4229,0,16,15
4230,9,8,14
4231,12,7,15
4232,12,12,17
4233,12,15,13
4234,11,10,12
4235,12,7,10
4236,14,8,13
4237,10,16,12
4238,14,12,15
4239,12,12,12
4240,14,12,12
4241,12,12,0
4242,12,12,12
4243,12,8,12
4244,16,14,18
4245,16,14,17
4246,8,11,15
4247,9,11,14
4248,15,15,14
4249,12,12,12
4250,12,5,12
4251,15,14,12
4252,16,16,14
4253,12,10,8
4254,13,18,15
4255,14,16,20
4256,12,12,13
4257,17,18,16
4258,15,12,13
4259,12,12,12
4260,12,15,13
4261,10,12,8
4262,-2,5,7
4263,6,5,12
4264,6,12,10
4265,6,0,13
4266,6,-2,12
4267,0,1,14
4268,6,7,12
4269,6,7,12
4270,11,-3,15
4271,-2,-2,16
4272,-2,-2,16
4273,-2,2,8
4274,9,0,12
4275,4,-2,13
4276,-2,-2,12
4277,9,12,12
4278,12,12,12
4279,11,10,12
4280,11,12,18
4281,12,8,12
4282,-2,7,14
4283,12,12,12
4284,11,13,15
4285,9,12,16
4286,11,8,12
4287,14,20,16
4288,12,15,16
4289,12,20,20
4290,12,20,20
4291,3,5,13
4292,13,11,14
4293,12,12,18
4294,10,7,12
4295,12,12,14
4296,12,16,16
4297,12,18,13
4298,12,12,20
4299,12,12,16
4300,10,7,12
4301,8,12,12
4302,12,14,20
4303,12,14,12
4304,12,12,13
4305,12,12,12
4306,17,19,18
4307,12,16,14
4308,12,16,11
4309,15,17,17
4310,12,14,13
4311,15,12,15
4312,11,10,12
4313,11,10,12
4314,11,10,12
4315,10,12,15
4316,10,12,14
4317,10,12,13
4318,12,12,14
4319,12,12,14
4320,10,11,15
4321,11,14,12
4322,-2,12,12
4323,12,12,13
4324,11,9,12
4325,12,8,13
4326,12,12,12
4327,12,12,12
4328,-2,8,12
4329,12,12,12
4330,12,11,14
4331,12,12,12
4332,14,11,16
4333,12,10,12
4334,-2,-2,12
4335,11,11,11
4336,12,10,12
4337,12,8,14
4338,10,16,12
4339,10,13,12
4340,12,12,11
4341,-2,-2,12
4342,16,15,14
4343,16,16,13
4344,12,16,13
4345,12,14,12
4346,12,12,12
4347,10,10,12
4348,13,12,14
4349,14,12,12
4350,12,12,16
4351,17,20,19
4352,17,16,16
4353,11,12,16
4354,17,16,15
4355,12,16,16
4356,16,20,17
4357,17,12,12
4358,12,12,15
4359,8,12,17
4360,10,8,16
4361,6,4,13
4362,6,7,12
4363,6,6,14
4364,10,12,16
4365,8,7,12
4366,9,7,15
4367,9,9,12
4368,8,-3,12
4369,10,9,12
4370,12,12,12
4371,12,12,12
4372,12,8,18
4373,12,20,12
4374,13,16,12
4375,12,17,12
4376,12,11,14
4377,12,15,12
4378,12,12,12
4379,8,16,13
4380,12,20,13
4381,16,20,16
4382,12,12,16
4383,12,8,15
4384,12,-3,12
4385,7,8,8
4386,7,8,12
4387,16,12,17
4388,-4,16,14
4389,12,12,11
4390,12,8,12
4391,12,12,13
4392,12,12,16
4393,16,16,12
4394,16,17,12
4395,12,12,13
4396,-2,-2,12
4397,14,13,12
4398,12,12,11
4399,12,12,12
4400,-2,-2,14
4401,13,12,12
4402,12,-2,12
4403,12,16,13
4404,-2,-2,12
4405,12,-4,12
4406,15,12,20
4407,16,16,16
4408,16,16,18
4409,12,12,13
4410,12,14,16
4411,12,14,14
4412,12,8,12
4413,12,8,16
4414,10,-2,10
4415,-2,4,8
4416,-3,-3,3
4417,6,6,10
4418,12,12,16
4419,-2,16,12
4420,-2,16,12
4421,12,14,18
4422,12,14,12
4423,16,15,18
4424,16,15,20
4425,16,14,18
4426,16,0,16
4427,13,9,12
4428,14,15,19
4429,9,16,19
4430,9,11,15
4431,13,13,13
4432,16,16,12
4433,11,-2,11
4434,-2,-2,4
4435,-2,20,12
4436,13,20,9
4437,14,16,16
4438,12,12,13
4439,12,16,14
4440,-4,16,12
4441,12,-3,17
4442,12,12,13
4443,14,12,12
4444,12,12,12
4445,12,12,12
4446,-2,-2,10
4447,12,10,14
4448,12,10,16
4449,12,12,12
4450,12,-2,15
4451,12,16,14
4452,12,16,12
4453,12,16,14
4454,12,12,12
4455,14,16,10
4456,-2,-2,12
4457,18,16,16
4458,18,19,12
4459,16,12,12
4460,16,-3,18
4461,16,14,12
4462,-2,-4,12
4463,12,12,13
4464,11,12,13
4465,16,14,14
4466,12,12,16
4467,-2,-2,12
4468,12,16,13
4469,12,15,12
4470,12,15,18
4471,12,12,20
4472,14,16,12
4473,12,8,12
4474,12,8,10
4475,12,12,13
4476,12,10,8
4477,12,10,13
4478,12,14,14
4479,12,14,18
4480,12,16,16
4481,16,-3,18
4482,12,-2,10
4483,8,9,11
4484,12,12,12
4485,11,8,11
4486,12,13,16
4487,8,12,12
4488,8,11,13
4489,9,14,12
4490,9,11,10
4491,16,-4,14
4492,-3,16,14
4493,16,16,16
4494,16,16,15
4495,16,16,12
4496,12,12,12
4497,9,-3,13
4498,9,13,12
4499,9,12,14
4500,7,13,14
4501,7,13,8
4502,12,16,12
4503,12,16,11
4504,12,16,12
4505,12,16,12
4506,12,12,14
4507,12,12,10
4508,16,18,16
4509,13,20,14
4510,15,16,14
4511,12,12,14
4512,12,16,16
4513,11,11,15
4514,11,14,15
4515,16,12,14
4516,16,-3,16
4517,12,12,16
4518,12,12,15
4519,12,12,12
4520,15,16,12
4521,14,16,14
4522,11,-2,12
4523,11,12,12
4524,12,11,12
4525,14,14,15
4526,12,12,12
4527,12,11,12
4528,10,8,14
4529,17,18,15
4530,16,20,16
4531,15,18,16
4532,9,12,16
4533,9,12,16
4534,12,12,13
4535,10,8,14
4536,13,8,13
4537,6,6,17
4538,10,9,12
4539,-3,12,15
4540,12,12,16
4541,7,11,12
4542,7,11,13
4543,7,11,12
4544,7,11,12
4545,12,12,12
4546,12,12,12
4547,12,12,12
4548,12,8,16
4549,12,14,18
4550,12,7,16
4551,12,7,13
4552,12,12,15
4553,8,8,13
4554,15,18,16
4555,15,18,17
4556,14,16,16
4557,9,7,12
4558,9,-2,12
4559,17,13,12
4560,13,14,14
4561,7,9,12
4562,12,12,12
4563,10,12,12
4564,12,12,16
4565,12,13,16
4566,12,12,12
4567,13,20,16
4568,13,20,15
4569,12,11,12
4570,12,12,17
4571,12,12,14
4572,-3,12,12
4573,9,12,12
4574,12,13,13
4575,12,12,12
4576,15,12,18
4577,9,11,12
4578,12,12,12
4579,12,12,14
4580,-3,15,12
4581,8,13,12
4582,8,13,13
4583,8,13,12
4584,12,8,12
4585,14,10,10
4586,13,8,12
4587,16,16,14
4588,12,16,9
4589,12,12,12
4590,13,17,17
4591,13,17,17
4592,14,17,18
4593,13,12,13
4594,13,12,12
4595,13,12,14
4596,16,16,12
4597,16,16,12
4598,12,12,12
4599,12,12,12
4600,12,12,13
4601,12,12,12
4602,15,12,14
4603,16,12,12
4604,12,12,14
4605,16,20,14
4606,15,20,16
4607,14,16,17
4608,12,18,12
4609,12,10,20
4610,12,12,12
4611,18,20,16
4612,16,-4,12
4613,15,14,14
4614,12,12,12
4615,12,12,12
4616,12,12,17
4617,12,-4,11
4618,16,10,12
4619,10,10,12
4620,10,10,10
4621,8,8,12
4622,12,10,12
4623,12,10,12
4624,16,12,15
4625,12,12,15
4626,14,18,20
4627,13,-3,14
4628,10,8,12
4629,13,14,13
4630,13,15,12
4631,14,13,16
4632,14,14,16
4633,12,12,13
4634,12,14,18
4635,12,14,17
4636,12,16,14
4637,12,6,12
4638,12,7,12
4639,12,12,11
4640,12,-4,12
4641,11,8,16
4642,12,16,13
4643,12,14,14
4644,14,12,14
4645,12,10,16
4646,11,10,12
4647,11,10,14
4648,12,-2,16
4649,15,-2,15
4650,12,15,16
4651,12,12,13
4652,12,16,16
4653,-2,12,13
4654,12,-2,16
4655,11,11,14
4656,12,12,12
4657,11,-2,12
4658,8,-2,6
4659,12,20,16
4660,13,20,16
4661,16,20,14
4662,12,16,16
4663,13,16,12
4664,12,16,18
4665,14,14,14
4666,14,-3,20
4667,8,8,17
4668,12,12,16
4669,12,16,14
4670,8,12,12
4671,8,-2,11
4672,-2,-2,14
4673,10,9,12
4674,11,12,14
4675,12,12,13
4676,12,12,12
4677,7,10,12
4678,11,12,12
4679,12,12,14
4680,12,12,12
4681,12,10,13
4682,12,16,16
4683,17,16,18
4684,17,12,13
4685,0,-2,12
4686,12,14,17
4687,12,16,13
4688,16,16,16
4689,16,16,16
4690,12,17,12
4691,16,18,18
4692,16,17,20
4693,12,16,16
4694,12,16,15
4695,16,16,16
4696,16,16,14
4697,14,20,14
4698,14,12,16
4699,13,14,14
4700,13,13,16
4701,12,16,12
4702,10,15,14
4703,12,12,12
4704,11,16,15
4705,12,16,16
4706,12,16,16
4707,12,14,12
4708,12,12,12
4709,15,20,16
4710,10,10,12
4711,10,8,12
4712,10,7,12
4713,10,12,15
4714,10,12,12
4715,12,12,16
4716,12,12,12
4717,12,12,14
4718,12,11,12
4719,-2,-2,12
4720,12,9,12
4721,10,10,20
4722,12,12,12
4723,12,12,16
4724,11,16,12
4725,8,12,12
4726,8,12,16
4727,10,12,12
4728,13,13,12
4729,10,10,14
4730,10,9,11
4731,12,10,11
4732,12,10,12
4733,11,8,11
4734,11,8,12
4735,10,6,12
4736,10,12,9
4737,-3,15,16
4738,10,10,14
4739,15,11,15
